stream,condition,step,replicate,probe_diff,payload_diff,relevant_semantic_diff,recheck_success,myopic_success
4,matched_high,0,primary,False,False,False,True,True
4,matched_high,1,primary,False,False,False,False,False
4,matched_high,2,primary,True,True,True,True,False
4,matched_high,3,primary,False,True,True,True,False
4,matched_high,4,primary,False,True,True,True,False
4,matched_high,5,primary,False,False,False,True,True
4,matched_high,5,repeat,False,False,False,True,True
4,matched_high,6,primary,False,False,False,True,True
4,matched_high,7,primary,False,False,False,True,True
4,matched_high,8,primary,True,False,False,True,True
4,matched_high,9,primary,False,False,False,True,True
4,matched_high,10,primary,False,False,False,True,True
4,matched_high,11,primary,True,False,False,True,True
5,matched_high,0,primary,False,False,False,True,True
5,matched_high,1,primary,False,False,False,True,True
5,matched_high,2,primary,True,False,False,True,True
5,matched_high,3,primary,False,False,False,True,True
5,matched_high,4,primary,False,False,False,True,True
5,matched_high,5,primary,False,False,False,True,True
5,matched_high,5,repeat,False,False,False,True,True
5,matched_high,6,primary,False,False,False,True,True
5,matched_high,7,primary,False,False,False,True,True
5,matched_high,8,primary,True,False,False,True,True
5,matched_high,9,primary,False,False,False,True,True
5,matched_high,10,primary,False,False,False,True,True
5,matched_high,11,primary,True,True,True,False,True
6,matched_high,0,primary,False,False,False,True,True
6,matched_high,1,primary,False,False,False,False,False
6,matched_high,2,primary,True,True,True,True,False
6,matched_high,3,primary,False,True,True,False,False
6,matched_high,4,primary,False,True,True,False,False
6,matched_high,5,primary,False,False,False,True,True
6,matched_high,5,repeat,False,False,False,True,True
6,matched_high,6,primary,False,False,False,True,True
6,matched_high,7,primary,False,False,False,True,True
6,matched_high,8,primary,True,False,False,True,True
6,matched_high,9,primary,False,False,False,True,True
6,matched_high,10,primary,False,False,False,True,True
6,matched_high,11,primary,True,False,False,True,True
7,matched_high,0,primary,False,False,False,True,True
7,matched_high,1,primary,False,False,False,True,True
7,matched_high,2,primary,False,False,False,True,True
7,matched_high,3,primary,False,False,False,True,True
7,matched_high,4,primary,False,False,False,True,True
7,matched_high,5,primary,False,False,False,True,True
7,matched_high,5,repeat,False,False,False,True,True
7,matched_high,6,primary,False,False,False,True,True
7,matched_high,7,primary,False,False,False,True,True
7,matched_high,8,primary,False,False,False,True,True
7,matched_high,9,primary,True,False,False,True,True
7,matched_high,10,primary,False,False,False,False,False
7,matched_high,11,primary,False,False,False,False,False
8,no_drift,0,primary,False,False,False,True,True
8,no_drift,1,primary,False,False,False,True,True
8,no_drift,2,primary,True,False,False,True,True
8,no_drift,3,primary,False,False,False,True,True
8,no_drift,4,primary,False,False,False,True,True
8,no_drift,5,primary,False,False,False,True,True
8,no_drift,5,repeat,False,False,False,True,True
8,no_drift,6,primary,False,False,False,True,True
8,no_drift,7,primary,False,False,False,True,True
8,no_drift,8,primary,True,False,False,True,True
8,no_drift,9,primary,False,False,False,True,True
8,no_drift,10,primary,False,False,False,True,True
8,no_drift,11,primary,True,False,False,True,True
9,no_drift,0,primary,False,False,False,True,True
9,no_drift,1,primary,False,False,False,True,True
9,no_drift,2,primary,True,False,False,True,True
9,no_drift,3,primary,False,False,False,True,True
9,no_drift,4,primary,True,False,False,True,True
9,no_drift,5,primary,True,False,False,True,True
9,no_drift,5,repeat,True,False,False,True,True
9,no_drift,6,primary,False,False,False,True,True
9,no_drift,7,primary,True,False,False,True,True
9,no_drift,8,primary,True,False,False,True,True
9,no_drift,9,primary,False,False,False,True,True
9,no_drift,10,primary,False,False,False,True,True
9,no_drift,11,primary,False,False,False,True,True
10,no_drift,0,primary,False,False,False,True,True
10,no_drift,1,primary,False,False,False,True,True
10,no_drift,2,primary,True,False,False,True,True
10,no_drift,3,primary,False,False,False,True,True
10,no_drift,4,primary,False,False,False,True,True
10,no_drift,5,primary,False,False,False,True,True
10,no_drift,5,repeat,False,False,False,True,True
10,no_drift,6,primary,False,False,False,True,True
10,no_drift,7,primary,False,False,False,True,True
10,no_drift,8,primary,True,False,False,True,True
10,no_drift,9,primary,False,False,False,True,True
10,no_drift,10,primary,False,False,False,True,True
10,no_drift,11,primary,True,False,False,True,True
11,no_drift,0,primary,False,False,False,True,True
11,no_drift,1,primary,False,False,False,True,True
11,no_drift,2,primary,False,False,False,True,True
11,no_drift,3,primary,False,False,False,True,True
11,no_drift,4,primary,False,False,False,True,True
11,no_drift,5,primary,False,False,False,True,True
11,no_drift,5,repeat,False,False,False,True,True
11,no_drift,6,primary,False,False,False,True,True
11,no_drift,7,primary,False,False,False,True,True
11,no_drift,8,primary,False,False,False,True,True
11,no_drift,9,primary,False,False,False,True,True
11,no_drift,10,primary,False,False,False,True,True
11,no_drift,11,primary,False,False,False,True,True
12,underestimated_drift,0,primary,False,False,False,True,True
12,underestimated_drift,1,primary,False,False,False,True,True
12,underestimated_drift,2,primary,True,False,False,True,True
12,underestimated_drift,3,primary,False,False,False,True,True
12,underestimated_drift,4,primary,False,False,False,True,True
12,underestimated_drift,5,primary,False,False,False,True,True
12,underestimated_drift,5,repeat,False,False,False,True,True
12,underestimated_drift,6,primary,False,False,False,True,True
12,underestimated_drift,7,primary,False,False,False,True,True
12,underestimated_drift,8,primary,False,False,False,True,True
12,underestimated_drift,9,primary,False,False,False,True,True
12,underestimated_drift,10,primary,False,False,False,False,False
12,underestimated_drift,11,primary,False,False,False,False,False
13,underestimated_drift,0,primary,False,False,False,True,True
13,underestimated_drift,1,primary,False,False,False,False,False
13,underestimated_drift,2,primary,True,True,True,True,False
13,underestimated_drift,3,primary,False,True,True,False,True
13,underestimated_drift,4,primary,False,True,True,True,False
13,underestimated_drift,5,primary,False,False,False,True,True
13,underestimated_drift,5,repeat,False,False,False,True,True
13,underestimated_drift,6,primary,False,False,False,True,True
13,underestimated_drift,7,primary,False,False,False,False,False
13,underestimated_drift,8,primary,True,True,True,True,False
13,underestimated_drift,9,primary,False,True,True,True,False
13,underestimated_drift,10,primary,False,True,True,True,False
13,underestimated_drift,11,primary,True,False,False,True,True
14,underestimated_drift,0,primary,False,False,False,False,False
14,underestimated_drift,1,primary,False,False,False,False,False
14,underestimated_drift,2,primary,True,True,True,True,False
14,underestimated_drift,3,primary,False,True,True,False,False
14,underestimated_drift,4,primary,False,True,True,False,False
14,underestimated_drift,5,primary,False,False,False,True,True
14,underestimated_drift,5,repeat,False,False,False,True,True
14,underestimated_drift,6,primary,False,False,False,True,True
14,underestimated_drift,7,primary,False,False,False,True,True
14,underestimated_drift,8,primary,True,False,False,True,True
14,underestimated_drift,9,primary,False,False,False,True,True
14,underestimated_drift,10,primary,False,False,False,False,False
14,underestimated_drift,11,primary,True,True,True,False,True
15,underestimated_drift,0,primary,False,False,False,True,True
15,underestimated_drift,1,primary,False,False,False,True,True
15,underestimated_drift,2,primary,False,False,False,True,True
15,underestimated_drift,3,primary,False,False,False,True,True
15,underestimated_drift,4,primary,False,False,False,True,True
15,underestimated_drift,5,primary,False,False,False,True,True
15,underestimated_drift,5,repeat,False,False,False,True,True
15,underestimated_drift,6,primary,False,False,False,True,True
15,underestimated_drift,7,primary,False,False,False,True,True
15,underestimated_drift,8,primary,False,False,False,True,True
15,underestimated_drift,9,primary,False,False,False,True,True
15,underestimated_drift,10,primary,False,False,False,True,True
15,underestimated_drift,11,primary,False,False,False,True,True
