source,trial,model,persona,samples,sha256
toolsandbox/mistral_large_2411/nonexpert/trial_6_results.json,6,mistral_large_2411,nonexpert,37,0ec5fa13c8d63e3db1a28eced11becf54c9a69e1ac6249468254c72bdb3f36ae
toolsandbox/mistral_large_2411/nonexpert/trial_7_results.json,7,mistral_large_2411,nonexpert,37,2997d9934113a17f0c9c12c27b2db0cc21c2ee62a931b60d4d9d0e7f209865c1
toolsandbox/mistral_nemo/expert/trial_2_results.json,2,mistral_nemo,expert,37,5e9f55df8107ab7e536efa0adacda299a4cd81351cf1edafa3c826235b96de12
toolsandbox/mistral_nemo/expert/trial_3_results.json,3,mistral_nemo,expert,37,d294f1661a37d3fc473b374e0c589c09aaca988482e22a34e3766cab54d91d3b
toolsandbox/mistral_nemo/expert/trial_4_results.json,4,mistral_nemo,expert,37,3fb7fa71640c87e4b27cf9c4710555930ca202164e4265e01bf7ca238adb4e6e
toolsandbox/mistral_nemo/expert/trial_5_results.json,5,mistral_nemo,expert,37,f608691ea8d510d73fd48ea9b2ea47f9b91a30574936c70fe76b4021f035b896
toolsandbox/mistral_nemo/expert/trial_6_results.json,6,mistral_nemo,expert,37,1f8e35fd34501053985db7a31227f773d62f32237fa34b713353f49b432f6edf
toolsandbox/mistral_nemo/expert/trial_7_results.json,7,mistral_nemo,expert,37,707b791c40203f044691826fe797b9af93d207ac121f1e9592fede5389db11fb
toolsandbox/mistral_nemo/nonexpert/trial_2_results.json,2,mistral_nemo,nonexpert,37,5eb7a86d1c2993e38822dec32dd00750cbdfb3ac2940c31e466475159e4bae28
toolsandbox/mistral_nemo/nonexpert/trial_3_results.json,3,mistral_nemo,nonexpert,37,a6155da8a2c54f8e9960c2ae3dfe838707be7676f51d926e4bb87a0e4dda7119
toolsandbox/mistral_nemo/nonexpert/trial_4_results.json,4,mistral_nemo,nonexpert,37,06a3210e65d39e94c968a2e1333962ecf628d8cf2cbb6a99db638480175b8aff
toolsandbox/mistral_nemo/nonexpert/trial_5_results.json,5,mistral_nemo,nonexpert,37,225f0e7cfaced70fd4f41c88b82d866ddc790de13c42b26ccd115468417bd8a0
toolsandbox/mistral_nemo/nonexpert/trial_6_results.json,6,mistral_nemo,nonexpert,37,dcf4f55320085b856c4fd68668187216ad5e5dbbe9bb33ec8b6acb350fa7719c
toolsandbox/mistral_nemo/nonexpert/trial_7_results.json,7,mistral_nemo,nonexpert,37,1ab9b506ea9d9a6229d49969b3fdb6bb24876b2f1afbbcfbc58bf154b20e7ec5
