key,boundary,phase1,phase2,scoped_complete,original_progress
gpt_5/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
gpt_5/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
gpt_5/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
gpt_5/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,1.0
gpt_5/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,1.0
gpt_5/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,1.0
gpt_5/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,3,True,True,True,1.0
gpt_5/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
gpt_5/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
gpt_5/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
mistral_large_2411/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,4,True,True,True,1.0
mistral_large_2411/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
mistral_large_2411/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,False,True,False,0.6
mistral_large_2411/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,False,True,False,0.6
mistral_large_2411/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,,,,0.2
mistral_large_2411/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,3,True,True,True,0.8
mistral_large_2411/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
mistral_large_2411/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
mistral_large_2411/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,0.8
mistral_large_2411/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
mistral_large_2411/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,False,True,False,0.6
mistral_large_2411/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,0.8
mistral_large_2411/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,False,False,0.6
mistral_large_2411/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
mistral_large_2411/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,1.0
mistral_large_2411/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,1,True,True,True,0.8
mistral_nemo/expert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,3,True,True,True,1.0
mistral_nemo/expert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,4,False,True,False,0.4
mistral_nemo/expert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,0.8
mistral_nemo/expert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,3,False,True,False,0.0
mistral_nemo/expert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,0.8
mistral_nemo/expert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,,True,,0.6
mistral_nemo/expert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,0.8
mistral_nemo/expert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,6,,,,0.0
mistral_nemo/nonexpert/0/update_contact_relationship_with_relationship_twice_multiple_user_turn,4,True,True,True,0.8
mistral_nemo/nonexpert/1/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,0.8
mistral_nemo/nonexpert/2/update_contact_relationship_with_relationship_twice_multiple_user_turn,,,,,0.2
mistral_nemo/nonexpert/3/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,0.8
mistral_nemo/nonexpert/4/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,True,True,True,0.8
mistral_nemo/nonexpert/5/update_contact_relationship_with_relationship_twice_multiple_user_turn,4,True,True,True,0.8
mistral_nemo/nonexpert/6/update_contact_relationship_with_relationship_twice_multiple_user_turn,2,,True,,0.4
mistral_nemo/nonexpert/7/update_contact_relationship_with_relationship_twice_multiple_user_turn,4,True,True,True,0.8
