condition,menu,method,deployment_episodes,price_per_calibration_workflow,runtime_j_per_episode,startup_proxy_per_episode,standalone_calibration_workflows,amortized_proxy_per_episode,scope
data_shift,shared,full_joint,100,0.01,1.275,0.3,2992.0,1.8742,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,full_joint,1000,0.0,1.275,0.3,2992.0,1.575,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,full_joint,1000,0.001,1.275,0.3,2992.0,1.577992,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,full_joint,1000,0.01,1.275,0.3,2992.0,1.60492,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,never,10,0.0,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,never,10,0.001,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,never,10,0.01,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,never,100,0.0,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,never,100,0.001,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,never,100,0.01,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,never,1000,0.0,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,never,1000,0.001,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,never,1000,0.01,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_16,10,0.0,1.3671875,0.3,1648.0,1.6671875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_16,10,0.001,1.3671875,0.3,1648.0,1.8319875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_16,10,0.01,1.3671875,0.3,1648.0,3.3151875000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_16,100,0.0,1.3671875,0.3,1648.0,1.6671875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_16,100,0.001,1.3671875,0.3,1648.0,1.6836675,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_16,100,0.01,1.3671875,0.3,1648.0,1.8319875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_16,1000,0.0,1.3671875,0.3,1648.0,1.6671875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_16,1000,0.001,1.3671875,0.3,1648.0,1.6688355000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_16,1000,0.01,1.3671875,0.3,1648.0,1.6836675,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_32,10,0.0,1.275,0.3,1904.0,1.575,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_32,10,0.001,1.275,0.3,1904.0,1.7654,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_32,10,0.01,1.275,0.3,1904.0,3.479,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_32,100,0.0,1.275,0.3,1904.0,1.575,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_32,100,0.001,1.275,0.3,1904.0,1.59404,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_32,100,0.01,1.275,0.3,1904.0,1.7653999999999999,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_32,1000,0.0,1.275,0.3,1904.0,1.575,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_32,1000,0.001,1.275,0.3,1904.0,1.5769039999999999,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,occupancy_32,1000,0.01,1.275,0.3,1904.0,1.59404,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_16,10,0.0,1.153125,0.3,1648.0,1.453125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_16,10,0.001,1.153125,0.3,1648.0,1.617925,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_16,10,0.01,1.153125,0.3,1648.0,3.101125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_16,100,0.0,1.153125,0.3,1648.0,1.453125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_16,100,0.001,1.153125,0.3,1648.0,1.469605,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_16,100,0.01,1.153125,0.3,1648.0,1.617925,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_16,1000,0.0,1.153125,0.3,1648.0,1.453125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_16,1000,0.001,1.153125,0.3,1648.0,1.454773,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_16,1000,0.01,1.153125,0.3,1648.0,1.469605,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_32,10,0.0,1.153125,0.3,1904.0,1.453125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_32,10,0.001,1.153125,0.3,1904.0,1.643525,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_32,10,0.01,1.153125,0.3,1904.0,3.357125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_32,100,0.0,1.153125,0.3,1904.0,1.453125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_32,100,0.001,1.153125,0.3,1904.0,1.472165,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_32,100,0.01,1.153125,0.3,1904.0,1.643525,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_32,1000,0.0,1.153125,0.3,1904.0,1.453125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_32,1000,0.001,1.153125,0.3,1904.0,1.455029,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,random_32,1000,0.01,1.153125,0.3,1904.0,1.472165,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,single_only,10,0.0,1.2453125,0.3,1392.0,1.5453125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,single_only,10,0.001,1.2453125,0.3,1392.0,1.6845125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,single_only,10,0.01,1.2453125,0.3,1392.0,2.9373125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,single_only,100,0.0,1.2453125,0.3,1392.0,1.5453125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,single_only,100,0.001,1.2453125,0.3,1392.0,1.5592325,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,single_only,100,0.01,1.2453125,0.3,1392.0,1.6845125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,single_only,1000,0.0,1.2453125,0.3,1392.0,1.5453125,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,single_only,1000,0.001,1.2453125,0.3,1392.0,1.5467045000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,shared,single_only,1000,0.01,1.2453125,0.3,1392.0,1.5592325,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,any_exact,10,0.0,1.5875,0.3,0.0,1.8875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,any_exact,10,0.001,1.5875,0.3,0.0,1.8875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,any_exact,10,0.01,1.5875,0.3,0.0,1.8875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,any_exact,100,0.0,1.5875,0.3,0.0,1.8875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,any_exact,100,0.001,1.5875,0.3,0.0,1.8875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,any_exact,100,0.01,1.5875,0.3,0.0,1.8875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,any_exact,1000,0.0,1.5875,0.3,0.0,1.8875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,any_exact,1000,0.001,1.5875,0.3,0.0,1.8875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,any_exact,1000,0.01,1.5875,0.3,0.0,1.8875,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_16,10,0.0,1.5375,0.3,1648.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_16,10,0.001,1.5375,0.3,1648.0,2.0023,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_16,10,0.01,1.5375,0.3,1648.0,3.4855,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_16,100,0.0,1.5375,0.3,1648.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_16,100,0.001,1.5375,0.3,1648.0,1.8539800000000002,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_16,100,0.01,1.5375,0.3,1648.0,2.0023,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_16,1000,0.0,1.5375,0.3,1648.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_16,1000,0.001,1.5375,0.3,1648.0,1.8391480000000002,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_16,1000,0.01,1.5375,0.3,1648.0,1.8539800000000002,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_32,10,0.0,1.5375,0.3,1904.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_32,10,0.001,1.5375,0.3,1904.0,2.0279000000000003,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_32,10,0.01,1.5375,0.3,1904.0,3.7415000000000003,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_32,100,0.0,1.5375,0.3,1904.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_32,100,0.001,1.5375,0.3,1904.0,1.85654,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_32,100,0.01,1.5375,0.3,1904.0,2.0279000000000003,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_32,1000,0.0,1.5375,0.3,1904.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_32,1000,0.001,1.5375,0.3,1904.0,1.839404,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,decision_32,1000,0.01,1.5375,0.3,1904.0,1.85654,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,full_joint,10,0.0,1.5375,0.3,2992.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,full_joint,10,0.001,1.5375,0.3,2992.0,2.1367000000000003,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,full_joint,10,0.01,1.5375,0.3,2992.0,4.8295,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,full_joint,100,0.0,1.5375,0.3,2992.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,full_joint,100,0.001,1.5375,0.3,2992.0,1.86742,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,full_joint,100,0.01,1.5375,0.3,2992.0,2.1367000000000003,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,full_joint,1000,0.0,1.5375,0.3,2992.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,full_joint,1000,0.001,1.5375,0.3,2992.0,1.8404920000000002,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,full_joint,1000,0.01,1.5375,0.3,2992.0,1.86742,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,never,10,0.0,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,never,10,0.001,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,never,10,0.01,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,never,100,0.0,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,never,100,0.001,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,never,100,0.01,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,never,1000,0.0,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,never,1000,0.001,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,never,1000,0.01,2.5,0.3,0.0,2.8,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_16,10,0.0,1.5375,0.3,1648.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_16,10,0.001,1.5375,0.3,1648.0,2.0023,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_16,10,0.01,1.5375,0.3,1648.0,3.4855,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_16,100,0.0,1.5375,0.3,1648.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_16,100,0.001,1.5375,0.3,1648.0,1.8539800000000002,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_16,100,0.01,1.5375,0.3,1648.0,2.0023,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_16,1000,0.0,1.5375,0.3,1648.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_16,1000,0.001,1.5375,0.3,1648.0,1.8391480000000002,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_16,1000,0.01,1.5375,0.3,1648.0,1.8539800000000002,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_32,10,0.0,1.5375,0.3,1904.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_32,10,0.001,1.5375,0.3,1904.0,2.0279000000000003,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_32,10,0.01,1.5375,0.3,1904.0,3.7415000000000003,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_32,100,0.0,1.5375,0.3,1904.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_32,100,0.001,1.5375,0.3,1904.0,1.85654,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_32,100,0.01,1.5375,0.3,1904.0,2.0279000000000003,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_32,1000,0.0,1.5375,0.3,1904.0,1.8375000000000001,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_32,1000,0.001,1.5375,0.3,1904.0,1.839404,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,occupancy_32,1000,0.01,1.5375,0.3,1904.0,1.85654,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_16,10,0.0,1.415625,0.3,1648.0,1.715625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_16,10,0.001,1.415625,0.3,1648.0,1.880425,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_16,10,0.01,1.415625,0.3,1648.0,3.363625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_16,100,0.0,1.415625,0.3,1648.0,1.715625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_16,100,0.001,1.415625,0.3,1648.0,1.732105,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_16,100,0.01,1.415625,0.3,1648.0,1.880425,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_16,1000,0.0,1.415625,0.3,1648.0,1.715625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_16,1000,0.001,1.415625,0.3,1648.0,1.717273,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_16,1000,0.01,1.415625,0.3,1648.0,1.732105,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_32,10,0.0,1.415625,0.3,1904.0,1.715625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_32,10,0.001,1.415625,0.3,1904.0,1.906025,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_32,10,0.01,1.415625,0.3,1904.0,3.619625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_32,100,0.0,1.415625,0.3,1904.0,1.715625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_32,100,0.001,1.415625,0.3,1904.0,1.734665,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_32,100,0.01,1.415625,0.3,1904.0,1.9060249999999999,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_32,1000,0.0,1.415625,0.3,1904.0,1.715625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_32,1000,0.001,1.415625,0.3,1904.0,1.7175289999999999,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,random_32,1000,0.01,1.415625,0.3,1904.0,1.734665,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,single_only,10,0.0,1.415625,0.3,1392.0,1.715625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,single_only,10,0.001,1.415625,0.3,1392.0,1.854825,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,single_only,10,0.01,1.415625,0.3,1392.0,3.1076249999999996,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,single_only,100,0.0,1.415625,0.3,1392.0,1.715625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,single_only,100,0.001,1.415625,0.3,1392.0,1.7295449999999999,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,single_only,100,0.01,1.415625,0.3,1392.0,1.854825,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,single_only,1000,0.0,1.415625,0.3,1392.0,1.715625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,single_only,1000,0.001,1.415625,0.3,1392.0,1.717017,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
data_shift,single,single_only,1000,0.01,1.415625,0.3,1392.0,1.7295449999999999,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,any_exact,10,0.0,2.8265625,0.3,0.0,3.1265625000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,any_exact,10,0.001,2.8265625,0.3,0.0,3.1265625000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,any_exact,10,0.01,2.8265625,0.3,0.0,3.1265625000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,any_exact,100,0.0,2.8265625,0.3,0.0,3.1265625000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,any_exact,100,0.001,2.8265625,0.3,0.0,3.1265625000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,any_exact,100,0.01,2.8265625,0.3,0.0,3.1265625000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,any_exact,1000,0.0,2.8265625,0.3,0.0,3.1265625000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,any_exact,1000,0.001,2.8265625,0.3,0.0,3.1265625000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,any_exact,1000,0.01,2.8265625,0.3,0.0,3.1265625000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_16,10,0.0,2.6625,0.3,1648.0,2.9625000000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_16,10,0.001,2.6625,0.3,1648.0,3.1273000000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_16,10,0.01,2.6625,0.3,1648.0,4.6105,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_16,100,0.0,2.6625,0.3,1648.0,2.9625000000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_16,100,0.001,2.6625,0.3,1648.0,2.9789800000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_16,100,0.01,2.6625,0.3,1648.0,3.1273000000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_16,1000,0.0,2.6625,0.3,1648.0,2.9625000000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_16,1000,0.001,2.6625,0.3,1648.0,2.9641480000000002,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_16,1000,0.01,2.6625,0.3,1648.0,2.9789800000000004,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_32,10,0.0,2.6015625,0.3,1904.0,2.9015625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_32,10,0.001,2.6015625,0.3,1904.0,3.0919624999999997,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_32,10,0.01,2.6015625,0.3,1904.0,4.8055625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_32,100,0.0,2.6015625,0.3,1904.0,2.9015625,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
fast_drift,shared,decision_32,100,0.001,2.6015625,0.3,1904.0,2.9206024999999998,hypothetical_cost_sensitivity_not_currency_or_measured_deployment
