stream,panel,condition,menu,method,step,failure,credits,task_cost_units,memory_before,memory_after,true_mode,predicted_failure_own_kernel,planning_seconds,probe_seconds,tool_seconds
3,0,matched,single,single_only,1,1,0,20,6,6,7,0.4188601190399999,7.666880264878273e-06,6.249174475669861e-07,3.125052899122238e-06
3,0,matched,single,single_only,2,0,4,4,6,7,7,0.08765999999999999,7.2089023888111115e-06,1.708976924419403e-06,1.5249941498041153e-05
3,0,matched,single,single_only,3,0,0,0,7,7,3,0.2411909952,7.458031177520752e-06,6.249174475669861e-07,1.3832934200763702e-05
3,0,matched,single,single_only,4,0,2,2,7,7,6,0.174934676544,7.458031177520752e-06,1.125037670135498e-06,1.1417083442211151e-05
3,0,matched,single,single_only,5,1,0,20,7,7,6,0.2984139702349087,7.958151400089264e-06,4.998873919248581e-07,2.337503246963024e-05
3,0,matched,single,single_only,6,1,2,22,7,7,2,0.22360211018648224,7.791910320520401e-06,1.166015863418579e-06,1.133396290242672e-05
3,0,matched,single,single_only,7,1,0,20,7,7,2,0.3305803096773467,7.832888513803482e-06,6.2515027821064e-07,1.1167023330926895e-05
4,0,matched,single,single_only,0,0,0,0,1,1,0,0.051824999999999996,1.037493348121643e-05,9.168870747089386e-07,1.5875091776251793e-05
4,0,matched,single,single_only,1,0,0,0,1,1,0,0.09030911999999999,8.207978680729866e-06,7.080379873514175e-07,1.2541888281702995e-05
4,0,matched,single,single_only,2,0,0,0,1,1,0,0.11903554771199999,7.542083039879799e-06,5.41098415851593e-07,1.1750031262636185e-05
4,0,matched,single,single_only,3,0,2,2,1,1,0,0.0,8.082948625087738e-06,1.166015863418579e-06,4.624947905540466e-06
4,0,matched,single,single_only,4,0,4,4,1,0,0,0.0,7.4999406933784485e-06,1.6670674085617065e-06,1.1292053386569023e-05
4,0,matched,single,single_only,5,0,0,0,0,0,0,0.18521855999999998,7.999828085303307e-06,5.420297384262085e-07,1.4333054423332214e-05
4,0,matched,single,single_only,6,0,2,2,0,0,0,0.10695093119999999,7.6249707490205765e-06,1.125037670135498e-06,1.3457844033837318e-05
4,0,matched,single,single_only,7,0,0,0,0,0,0,0.2357307151097856,7.4999406933784485e-06,5.420297384262085e-07,1.4374963939189911e-05
5,0,matched,single,single_only,0,0,0,0,6,6,6,0.2256,1.0250136256217957e-05,8.749775588512421e-07,1.637497916817665e-05
5,0,matched,single,single_only,1,0,0,0,6,6,6,0.37779455999999995,8.041970431804657e-06,6.66128471493721e-07,1.3709068298339844e-05
5,0,matched,single,single_only,2,0,4,4,6,6,6,0.08765999999999999,7.6249707490205765e-06,1.7499551177024841e-06,1.7124926671385765e-05
5,0,matched,single,single_only,3,1,0,20,6,6,7,0.30623176704,7.541151717305183e-06,5.83939254283905e-07,2.8328504413366318e-06
5,0,matched,single,single_only,4,1,0,20,6,6,7,0.450363883715543,7.166992872953415e-06,5.420297384262085e-07,2.5418121367692947e-06
5,0,matched,single,single_only,5,0,4,4,6,7,7,0.12614063615999999,7.750000804662704e-06,1.5408731997013092e-06,1.7666956409811974e-05
5,0,matched,single,single_only,6,1,0,20,7,7,5,0.26596175030891517,7.875030860304832e-06,5.420297384262085e-07,1.2208940461277962e-05
5,0,matched,single,single_only,7,1,0,20,7,7,5,0.36556354439247263,7.541151717305183e-06,5.830079317092896e-07,1.058308407664299e-05
6,0,matched,single,single_only,0,0,0,0,1,1,1,0.12,1.0333023965358734e-05,9.168870747089386e-07,6.624963134527206e-06
6,0,matched,single,single_only,1,0,2,2,1,1,1,0.0,7.834052667021751e-06,1.250067725777626e-06,5.083158612251282e-06
6,0,matched,single,single_only,2,0,2,2,1,1,1,0.2696052,7.3749106377363205e-06,9.59029421210289e-07,1.4541903510689735e-05
6,0,matched,single,single_only,3,0,0,0,1,1,1,0.42703738306559996,7.875030860304832e-06,6.249174475669861e-07,1.237494871020317e-05
6,0,matched,single,single_only,4,0,2,2,1,1,1,0.349492416,7.667113095521927e-06,1.250067725777626e-06,1.1582858860492706e-05
6,0,matched,single,single_only,5,0,2,2,1,1,1,0.0,7.458031177520752e-06,1.0421499609947205e-06,4.375120624899864e-06
6,0,matched,single,single_only,6,0,0,0,1,1,1,0.11999999999999998,8.207978680729866e-06,5.830079317092896e-07,4.124827682971954e-06
6,0,matched,single,single_only,7,0,0,0,1,1,0,0.2112,7.6249707490205765e-06,4.5797787606716156e-07,4.00003045797348e-06
7,0,matched,single,single_only,0,1,0,20,0,0,4,0.28368,9.874813258647919e-06,7.918570190668106e-07,1.850002445280552e-05
7,0,matched,single,single_only,1,1,0,20,0,0,4,0.4599256780799999,7.875030860304832e-06,6.66128471493721e-07,1.4625024050474167e-05
7,0,matched,single,single_only,2,1,2,22,0,0,4,0.40665263615999997,7.6249707490205765e-06,1.2919772416353226e-06,1.5333062037825584e-05
7,0,matched,single,single_only,3,0,4,4,0,4,4,0.12,7.875030860304832e-06,1.6249250620603561e-06,1.3208016753196716e-05
7,0,matched,single,single_only,4,0,0,0,4,4,4,0.3579168,8.00006091594696e-06,6.2515027821064e-07,1.291697844862938e-05
7,0,matched,single,single_only,5,0,2,2,4,5,5,0.3153216,7.707858458161354e-06,1.125037670135498e-06,1.4458084478974342e-05
7,0,matched,single,single_only,6,0,0,0,5,5,5,0.4600538989056,7.500173524022102e-06,6.249174475669861e-07,1.3167038559913635e-05
7,0,matched,single,single_only,7,0,0,0,5,5,1,0.555675555936967,7.790978997945786e-06,5.420297384262085e-07,1.291697844862938e-05
8,0,no_drift,single,single_only,0,0,0,0,3,3,3,0.1992,1.0250136256217957e-05,7.920898497104645e-07,1.691700890660286e-05
8,0,no_drift,single,single_only,1,0,0,0,3,3,3,0.33614591999999993,8.16606916487217e-06,6.249174475669861e-07,1.3708136975765228e-05
8,0,no_drift,single,single_only,2,0,4,4,3,3,3,0.0,7.500173524022102e-06,1.7920974642038345e-06,1.35831069201231e-05
8,0,no_drift,single,single_only,3,0,0,0,3,3,3,0.1992,7.5409188866615295e-06,5.420297384262085e-07,1.3499986380338669e-05
8,0,no_drift,single,single_only,4,0,0,0,3,3,3,0.33614592,7.375143468379974e-06,5.420297384262085e-07,1.2208940461277962e-05
8,0,no_drift,single,single_only,5,0,4,4,3,3,3,0.0,7.458031177520752e-06,1.334119588136673e-06,1.237494871020317e-05
8,0,no_drift,single,single_only,6,0,0,0,3,3,3,0.1992,7.4999406933784485e-06,5.830079317092896e-07,1.2499978765845299e-05
8,0,no_drift,single,single_only,7,0,0,0,3,3,3,0.33614591999999993,7.375143468379974e-06,5.00120222568512e-07,1.2458069249987602e-05
9,0,no_drift,single,single_only,0,0,0,0,6,6,6,0.12,1.00000761449337e-05,7.918570190668106e-07,6.4999330788850784e-06
9,0,no_drift,single,single_only,1,0,2,2,6,6,6,0.0,7.999828085303307e-06,1.3329554349184036e-06,4.792120307683945e-06
9,0,no_drift,single,single_only,2,0,0,0,6,6,6,0.12,7.500173524022102e-06,5.830079317092896e-07,4.458008334040642e-06
9,0,no_drift,single,single_only,3,0,4,4,6,6,6,0.0,7.834052667021751e-06,1.6670674085617065e-06,1.0457821190357208e-05
9,0,no_drift,single,single_only,4,0,0,0,6,6,6,0.2256,7.832888513803482e-06,5.420297384262085e-07,9.207986295223236e-06
9,0,no_drift,single,single_only,5,0,2,2,6,6,6,0.2112,7.665948942303658e-06,1.0828953236341476e-06,8.624978363513947e-06
9,0,no_drift,single,single_only,6,0,0,0,6,6,6,0.36685056,7.6249707490205765e-06,4.5797787606716156e-07,8.250121027231216e-06
9,0,no_drift,single,single_only,7,0,0,0,6,6,6,0.47401957785599996,7.792143151164055e-06,5.00120222568512e-07,8.375151082873344e-06
10,0,no_drift,single,single_only,0,0,0,0,7,7,7,0.25926,1.00000761449337e-05,7.909256964921951e-07,1.500011421740055e-05
10,0,no_drift,single,single_only,1,0,0,0,7,7,7,0.4237746585599999,7.667113095521927e-06,5.830079317092896e-07,1.1041061952710152e-05
10,0,no_drift,single,single_only,2,0,2,2,7,7,7,0.34881947712,7.542083039879799e-06,1.166015863418579e-06,1.0666903108358383e-05
10,0,no_drift,single,single_only,3,0,0,0,7,7,7,0.0428557728,7.6249707490205765e-06,5.420297384262085e-07,1.1542113497853279e-05
10,0,no_drift,single,single_only,4,0,0,0,7,7,7,0.06200275446528,7.4999406933784485e-06,5.408655852079391e-07,1.0875053703784943e-05
10,0,no_drift,single,single_only,5,0,2,2,7,7,7,0.025228127232,7.542083039879799e-06,1.0838266462087631e-06,1.0082963854074478e-05
10,0,no_drift,single,single_only,6,0,0,0,7,7,7,0.0485732257206528,7.667113095521927e-06,4.5890919864177704e-07,1.1124880984425545e-05
10,0,no_drift,single,single_only,7,0,0,0,7,7,7,0.06627200434415075,7.6249707490205765e-06,4.5797787606716156e-07,1.0875053703784943e-05
11,0,no_drift,single,single_only,0,0,0,0,6,6,6,0.25464,9.916024282574654e-06,8.749775588512421e-07,1.75421591848135e-05
11,0,no_drift,single,single_only,1,0,0,0,6,6,6,0.4188601190399999,8.125090971589088e-06,6.249174475669861e-07,1.4582881703972816e-05
11,0,no_drift,single,single_only,2,0,4,4,6,6,6,0.08765999999999999,7.666880264878273e-06,1.750187948346138e-06,1.491699367761612e-05
11,0,no_drift,single,single_only,3,0,0,0,6,6,6,0.30623176704,7.541850209236145e-06,5.841720849275589e-07,1.4374963939189911e-05
11,0,no_drift,single,single_only,4,0,2,2,6,6,6,0.06200275446528,7.5409188866615295e-06,1.2498348951339722e-06,1.3707904145121574e-05
11,0,no_drift,single,single_only,5,0,0,0,6,6,6,0.18731756121385304,7.708091288805008e-06,5.420297384262085e-07,1.3125129044055939e-05
11,0,no_drift,single,single_only,6,0,2,2,6,6,6,0.2112,7.709022611379623e-06,1.0421499609947205e-06,1.0750023648142815e-05
11,0,no_drift,single,single_only,7,0,0,0,6,6,6,0.3162323499007488,7.417052984237671e-06,5.830079317092896e-07,1.333397813141346e-05
12,0,no_drift,single,single_only,0,0,0,0,4,4,4,0.1462515,9.290874004364014e-06,9.578652679920197e-07,1.6999896615743637e-05
12,0,no_drift,single,single_only,1,0,2,2,4,4,4,0.052277279999999995,8.125090971589088e-06,1.375097781419754e-06,1.4625024050474167e-05
12,0,no_drift,single,single_only,2,0,0,0,4,4,4,0.18090118049664,8.207978680729866e-06,7.080379873514175e-07,1.4374963939189911e-05
12,0,no_drift,single,single_only,3,0,2,2,4,4,4,0.0819963230896128,9.167008101940155e-06,1.250067725777626e-06,1.3292068615555763e-05
12,0,no_drift,single,single_only,4,0,0,0,4,4,4,0.2006727313432131,7.583992555737495e-06,5.83939254283905e-07,1.3750046491622925e-05
12,0,no_drift,single,single_only,5,0,2,2,4,4,4,0.09900313371709805,7.542083039879799e-06,1.125037670135498e-06,1.3083918020129204e-05
12,0,no_drift,single,single_only,6,0,0,0,4,4,4,0.2120120077466732,7.916940376162529e-06,6.2515027821064e-07,2.6499852538108826e-05
12,0,no_drift,single,single_only,7,0,2,2,4,4,4,0.10877325214834643,7.833121344447136e-06,1.166015863418579e-06,1.3333046808838844e-05
13,0,no_drift,single,single_only,0,0,0,0,0,0,0,0.2256,1.037493348121643e-05,9.159557521343231e-07,1.6249949112534523e-05
13,0,no_drift,single,single_only,1,0,0,0,0,0,0,0.4517125662719999,8.082948625087738e-06,6.670597940683365e-07,1.8041813746094704e-05
13,0,no_drift,single,single_only,2,0,2,2,0,0,0,0.394038572544,7.916940376162529e-06,1.375097781419754e-06,1.574982888996601e-05
13,0,no_drift,single,single_only,3,0,4,4,0,0,0,0.12,7.709022611379623e-06,1.583946868777275e-06,1.5042023733258247e-05
13,0,no_drift,single,single_only,4,0,2,2,0,0,0,0.1794,7.6249707490205765e-06,1.00000761449337e-06,1.5208031982183456e-05
13,0,no_drift,single,single_only,5,0,0,0,0,0,0,0.39748300799999997,8.00006091594696e-06,5.830079317092896e-07,1.7042038962244987e-05
13,0,no_drift,single,single_only,6,0,0,0,0,0,0,0.531967599403008,7.750000804662704e-06,5.408655852079391e-07,1.6666948795318604e-05
13,0,no_drift,single,single_only,7,0,0,0,0,0,0,0.6201448364899911,7.709022611379623e-06,5.420297384262085e-07,1.6791047528386116e-05
14,0,no_drift,single,single_only,0,0,0,0,5,5,5,0.12,1.00000761449337e-05,9.159557521343231e-07,6.125075742602348e-06
14,0,no_drift,single,single_only,1,0,2,2,5,5,5,0.0,7.709022611379623e-06,1.2919772416353226e-06,4.542060196399689e-06
14,0,no_drift,single,single_only,2,0,0,0,5,5,5,0.12,7.667113095521927e-06,6.249174475669861e-07,3.875000402331352e-06
14,0,no_drift,single,single_only,3,0,2,2,5,5,5,0.0,7.542083039879799e-06,1.00000761449337e-06,4.041939973831177e-06
14,0,no_drift,single,single_only,4,0,4,4,5,5,5,0.0,7.790978997945786e-06,1.500127837061882e-06,1.3499986380338669e-05
14,0,no_drift,single,single_only,5,0,0,0,5,5,5,0.1992,7.666880264878273e-06,5.420297384262085e-07,1.0958174243569374e-05
14,0,no_drift,single,single_only,6,0,0,0,5,5,5,0.33614591999999993,7.582828402519226e-06,5.830079317092896e-07,1.1250143870711327e-05
14,0,no_drift,single,single_only,7,0,0,0,5,5,5,0.43188076339199993,7.750000804662704e-06,5.417969077825546e-07,1.0292045772075653e-05
15,0,no_drift,single,single_only,0,0,0,0,0,0,0,0.28368,9.95909795165062e-06,8.749775588512421e-07,1.733400858938694e-05
15,0,no_drift,single,single_only,1,0,2,2,0,0,0,0.09030911999999999,8.250121027231216e-06,1.3748649507761002e-06,1.491699367761612e-05
15,0,no_drift,single,single_only,2,0,0,0,0,0,0,0.22475128198656,8.041970431804657e-06,6.249174475669861e-07,1.4167046174407005e-05
15,0,no_drift,single,single_only,3,0,2,2,0,0,0,0.14056641235845121,8.834060281515121e-06,1.209089532494545e-06,1.4374963939189911e-05
15,0,no_drift,single,single_only,4,0,0,0,0,0,0,0.25794517842885245,7.4999406933784485e-06,5.420297384262085e-07,1.35831069201231e-05
15,0,no_drift,single,single_only,5,0,2,2,0,0,0,0.16895938978039224,7.500173524022102e-06,1.0828953236341476e-06,1.2791017070412636e-05
15,0,no_drift,single,single_only,6,0,0,0,0,0,0,0.2767948875518384,7.4999406933784485e-06,4.998873919248581e-07,1.3457844033837318e-05
15,0,no_drift,single,single_only,7,0,2,2,0,0,0,0.18514711199055692,7.750000804662704e-06,1.125037670135498e-06,1.3583805412054062e-05
16,0,fast_drift,single,single_only,0,1,0,20,0,0,5,0.2256,1.0042218491435051e-05,8.33999365568161e-07,4.458008334040642e-06
16,0,fast_drift,single,single_only,1,1,0,20,0,0,5,0.37779455999999995,7.916009053587914e-06,5.830079317092896e-07,3.2081734389066696e-06
16,0,fast_drift,single,single_only,2,0,4,4,0,1,1,0.0,7.58306123316288e-06,1.7918646335601807e-06,1.2541189789772034e-05
16,0,fast_drift,single,single_only,3,0,2,2,1,1,1,0.0,7.790978997945786e-06,1.084059476852417e-06,5.00003807246685e-06
16,0,fast_drift,single,single_only,4,0,0,0,1,1,1,0.11999999999999997,7.666880264878273e-06,6.2515027821064e-07,4.375120624899864e-06
16,0,fast_drift,single,single_only,5,0,2,2,1,1,0,0.0,7.958151400089264e-06,9.171199053525925e-07,4.332978278398514e-06
16,0,fast_drift,single,single_only,6,1,0,20,1,1,6,0.12,7.833819836378098e-06,5.417969077825546e-07,4.00003045797348e-06
16,0,fast_drift,single,single_only,7,0,0,0,1,1,4,0.5486695644518625,7.832888513803482e-06,4.5797787606716156e-07,9.082956239581108e-06
17,0,fast_drift,single,single_only,0,0,0,0,3,3,2,0.12,1.0041985660791397e-05,8.749775588512421e-07,6.375135853886604e-06
17,0,fast_drift,single,single_only,1,0,2,2,3,3,1,0.0,8.041039109230042e-06,1.2079253792762756e-06,4.667090252041817e-06
17,0,fast_drift,single,single_only,2,0,0,0,3,3,2,0.12,7.6249707490205765e-06,5.420297384262085e-07,4.37488779425621e-06
17,0,fast_drift,single,single_only,3,0,2,2,3,7,6,0.0,7.416121661663055e-06,1.0421499609947205e-06,4.458939656615257e-06
17,0,fast_drift,single,single_only,4,0,0,0,7,7,4,0.12,7.417052984237671e-06,6.249174475669861e-07,3.875000402331352e-06
17,0,fast_drift,single,single_only,5,0,2,2,7,7,6,0.0,7.207971066236496e-06,1.0831281542778015e-06,3.833090886473656e-06
17,0,fast_drift,single,single_only,6,0,0,0,7,7,4,0.12,7.417052984237671e-06,4.5890919864177704e-07,3.875000402331352e-06
17,0,fast_drift,single,single_only,7,0,2,2,7,7,4,0.0,7.417052984237671e-06,8.749775588512421e-07,3.6670826375484467e-06
18,0,fast_drift,single,single_only,0,0,0,0,2,2,2,0.28368,9.916955605149269e-06,8.330680429935455e-07,1.7999904230237007e-05
18,0,fast_drift,single,single_only,1,0,0,0,2,2,2,0.4599256780799999,8.125090971589088e-06,7.499475032091141e-07,1.5124911442399025e-05
18,0,fast_drift,single,single_only,2,0,2,2,2,2,6,0.40665263615999997,7.750000804662704e-06,1.3329554349184036e-06,1.391582190990448e-05
18,0,fast_drift,single,single_only,3,1,4,24,2,6,7,0.12,7.666880264878273e-06,1.5830155462026596e-06,3.084074705839157e-06
18,0,fast_drift,single,single_only,4,1,0,20,6,6,7,0.3579168,7.417052984237671e-06,5.830079317092896e-07,2.5830231606960297e-06
18,0,fast_drift,single,single_only,5,0,2,2,6,7,7,0.3153216,7.541151717305183e-06,1.0419171303510666e-06,1.4124903827905655e-05
18,0,fast_drift,single,single_only,6,1,0,20,7,7,6,0.4600538989056,7.750000804662704e-06,7.08969309926033e-07,1.2208009138703346e-05
18,0,fast_drift,single,single_only,7,0,0,0,7,7,6,0.555675555936967,7.458031177520752e-06,4.591420292854309e-07,1.1167023330926895e-05
19,0,fast_drift,single,single_only,0,1,0,20,3,3,1,0.21017249999999998,9.54093411564827e-06,9.171199053525925e-07,1.7249956727027893e-05
19,0,fast_drift,single,single_only,1,1,0,20,3,3,5,0.35078541695999993,8.041970431804657e-06,6.249174475669861e-07,1.454097218811512e-05
19,0,fast_drift,single,single_only,2,0,4,4,3,1,1,0.08765999999999999,7.4999406933784485e-06,1.709209755063057e-06,1.729186624288559e-05
19,0,fast_drift,single,single_only,3,1,0,20,1,1,4,0.26484218496,7.833819836378098e-06,6.2515027821064e-07,1.3208016753196716e-05
19,0,fast_drift,single,single_only,4,0,0,0,1,1,5,0.38597953135159296,7.750000804662704e-06,5.00120222568512e-07,1.4999881386756897e-05
19,0,fast_drift,single,single_only,5,0,4,4,1,7,7,0.12614063615999999,7.707858458161354e-06,1.4998950064182281e-06,1.600012183189392e-05
19,0,fast_drift,single,single_only,6,1,0,20,7,7,5,0.26596175030891517,7.583992555737495e-06,5.420297384262085e-07,1.2958887964487076e-05
19,0,fast_drift,single,single_only,7,1,0,20,7,7,5,0.36556354439247263,7.58306123316288e-06,5.00120222568512e-07,1.2749806046485901e-05
20,0,fast_drift,single,single_only,0,0,0,0,2,2,6,0.165606,1.0167015716433525e-05,7.91158527135849e-07,1.4416873455047607e-05
20,0,fast_drift,single,single_only,1,0,2,2,2,2,6,0.09030911999999999,7.95791856944561e-06,1.3331882655620575e-06,1.191697083413601e-05
20,0,fast_drift,single,single_only,2,0,0,0,2,2,2,0.22475128198656,7.4158888310194016e-06,6.670597940683365e-07,1.1625001206994057e-05
20,0,fast_drift,single,single_only,3,0,2,2,2,2,2,0.14056641235845121,7.6249707490205765e-06,1.1669471859931946e-06,1.1249911040067673e-05
20,0,fast_drift,single,single_only,4,1,0,20,2,2,7,0.25794517842885245,7.750000804662704e-06,5.830079317092896e-07,2.874992787837982e-06
20,0,fast_drift,single,single_only,5,1,4,24,2,6,7,0.2112,7.542083039879799e-06,1.541106030344963e-06,3.291061148047447e-06
20,0,fast_drift,single,single_only,6,0,0,0,6,6,6,0.41433676799999997,7.58306123316288e-06,6.670597940683365e-07,1.200009137392044e-05
20,0,fast_drift,single,single_only,7,0,0,0,6,6,6,0.5434489935790079,7.6249707490205765e-06,5.00120222568512e-07,1.1415919288992882e-05
21,0,fast_drift,single,single_only,0,0,0,0,1,1,1,0.1992,9.416835382580757e-06,9.578652679920197e-07,1.500011421740055e-05
21,0,fast_drift,single,single_only,1,0,0,0,1,1,1,0.33614591999999993,8.249888196587563e-06,7.501803338527679e-07,1.1958181858062744e-05
21,0,fast_drift,single,single_only,2,0,4,4,1,1,1,0.0,7.707858458161354e-06,1.834006980061531e-06,1.1249911040067673e-05
21,0,fast_drift,single,single_only,3,1,0,20,1,1,7,0.1992,7.542083039879799e-06,7.499475032091141e-07,1.3749813660979271e-05
21,0,fast_drift,single,single_only,4,1,0,20,1,1,6,0.33614592,7.666880264878273e-06,7.920898497104645e-07,1.1041993275284767e-05
21,0,fast_drift,single,single_only,5,0,4,4,1,3,7,0.0,7.792143151164055e-06,1.6670674085617065e-06,1.0624993592500687e-05
21,0,fast_drift,single,single_only,6,0,0,0,3,3,3,0.1992,7.542083039879799e-06,5.420297384262085e-07,1.0624993592500687e-05
21,0,fast_drift,single,single_only,7,0,0,0,3,3,7,0.33614591999999993,7.583992555737495e-06,4.998873919248581e-07,1.0375166311860085e-05
22,0,fast_drift,single,single_only,0,0,0,0,0,0,0,0.12,9.750016033649445e-06,9.168870747089386e-07,6.167218089103699e-06
22,0,fast_drift,single,single_only,1,0,2,2,0,0,0,0.0,8.167000487446785e-06,1.333886757493019e-06,4.9578957259655e-06
22,0,fast_drift,single,single_only,2,1,0,20,0,0,6,0.12,8.083879947662354e-06,6.249174475669861e-07,4.708999767899513e-06
22,0,fast_drift,single,single_only,3,0,2,2,0,4,7,0.0,7.750000804662704e-06,1.375097781419754e-06,4.166970029473305e-06
22,0,fast_drift,single,single_only,4,0,0,0,4,4,4,0.12,7.582828402519226e-06,5.420297384262085e-07,3.915978595614433e-06
22,0,fast_drift,single,single_only,5,0,4,4,4,4,4,0.132,7.4589625000953674e-06,1.500127837061882e-06,1.537497155368328e-05
22,0,fast_drift,single,single_only,6,1,0,20,4,4,0,0.36136780799999996,1.0041985660791397e-05,7.080379873514175e-07,1.537497155368328e-05
22,0,fast_drift,single,single_only,7,0,0,0,4,4,4,0.507364611883008,8.041970431804657e-06,5.420297384262085e-07,1.300009898841381e-05
23,0,fast_drift,single,single_only,0,0,0,0,0,0,0,0.28368,1.00000761449337e-05,9.168870747089386e-07,1.691700890660286e-05
23,0,fast_drift,single,single_only,1,0,0,0,0,0,0,0.4599256780799999,7.834052667021751e-06,6.249174475669861e-07,1.4165882021188736e-05
23,0,fast_drift,single,single_only,2,0,4,4,0,0,0,0.0,7.750000804662704e-06,1.6668345779180527e-06,1.1874828487634659e-05
23,0,fast_drift,single,single_only,3,1,0,20,0,0,2,0.2256,7.916009053587914e-06,6.249174475669861e-07,1.35831069201231e-05
23,0,fast_drift,single,single_only,4,0,0,0,0,0,0,0.37779455999999995,7.6249707490205765e-06,5.830079317092896e-07,1.0541873052716255e-05
23,0,fast_drift,single,single_only,5,0,2,2,0,4,6,0.0,7.708091288805008e-06,1.291045919060707e-06,4.915986210107803e-06
23,0,fast_drift,single,single_only,6,1,0,20,4,4,3,0.12,7.95908272266388e-06,6.2515027821064e-07,4.332978278398514e-06
23,0,fast_drift,single,single_only,7,0,2,2,4,0,3,0.0,7.750000804662704e-06,9.59029421210289e-07,4.041008651256561e-06
24,0,data_shift,single,single_only,0,0,0,0,6,6,2,0.2256,9.834067896008492e-06,7.920898497104645e-07,1.5584053471684456e-05
24,0,data_shift,single,single_only,1,0,0,0,6,6,2,0.37779455999999995,7.916009053587914e-06,6.249174475669861e-07,1.2917211279273033e-05
24,0,data_shift,single,single_only,2,0,4,4,6,6,2,0.0,7.750000804662704e-06,1.7080456018447876e-06,1.2874836102128029e-05
24,0,data_shift,single,single_only,3,0,0,0,6,6,2,0.2256,7.457798346877098e-06,6.249174475669861e-07,1.2415926903486252e-05
24,0,data_shift,single,single_only,4,1,0,20,6,6,0,0.37779455999999995,7.417052984237671e-06,5.830079317092896e-07,1.1041993275284767e-05
24,0,data_shift,single,single_only,5,0,4,4,6,4,4,0.0,7.333001121878624e-06,1.5420373529195786e-06,1.2708129361271858e-05
24,0,data_shift,single,single_only,6,0,0,0,4,4,4,0.2256,7.6249707490205765e-06,5.841720849275589e-07,1.2625008821487427e-05
