panel,method,label_executions,reference_executions,total_workflows,selector_seconds,initial_fit_seconds,acquisition_elapsed_seconds,design_build_seconds,training_cost_scope
0,single_only,1312,80,1392,0.0,0.07288341596722603,0.07419249881058931,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
2,full_joint,2912,80,2992,9.456649422645569e-06,0.06899049994535744,0.1551262920256704,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
2,random_16,1568,80,1648,6.841658614575863e-05,0.0699712501373142,0.08338179206475616,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
2,random_32,1824,80,1904,0.00023345835506916046,0.0699712501373142,0.0968544171191752,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
2,occupancy_16,1568,80,1648,0.0639226664789021,0.07476487499661744,0.1545000420883298,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
2,occupancy_32,1824,80,1904,0.12129541509784758,0.07476487499661744,0.22797129210084677,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
2,decision_16,1568,80,1648,0.17276404215954244,0.07683425000868738,0.2652307499665767,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
2,decision_32,1824,80,1904,0.3207866239827126,0.07683425000868738,0.42794012487865984,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
2,any_exact,0,0,0,0.0,0.0,0.0,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
2,never,0,0,0,0.0,0.0,0.0,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
3,single_only,1312,80,1392,0.0,0.06925850012339652,0.07047499995678663,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
3,full_joint,2912,80,2992,9.46270301938057e-06,0.07439874997362494,0.15294991596601903,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
3,random_16,1568,80,1648,7.124966941773891e-05,0.07811095798388124,0.09134808299131691,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
3,random_32,1824,80,1904,0.0002364593092352152,0.07811095798388124,0.10464987391605973,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
3,occupancy_16,1568,80,1648,0.06560929049737751,0.0712003749795258,0.15300754201598465,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
3,occupancy_32,1824,80,1904,0.1233186253812164,0.0712003749795258,0.23567316704429686,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
3,decision_16,1568,80,1648,0.1743302911054343,0.07023729081265628,0.2599745406769216,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
3,decision_32,1824,80,1904,0.32249266747385263,0.07023729081265628,0.42243904061615467,0.08567579090595245,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
3,any_exact,0,0,0,0.0,0.0,0.0,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
3,never,0,0,0,0.0,0.0,0.0,0.0,standalone_cost; do_not_sum_nested16_and32_as_actual_runs
