arm,case_id,episode_id,phase,family,goal_mode,change,updates_attempted,updates_committed,rejected_updates,minimal_business_update_all_attempts,row_guard_attempts,selection_guard_attempts,first_write_row_guard,first_write_selection_guard,resolves_before_first_attempt,queries_after_success,resolver_queries_after_success,id_queries_after_success,events
generic,x07,primary_x07_generic,primary,dispatch,current,irrelevant,1,1,0,True,0,1,False,True,1,2,1,1,"[[0,""select_batch"",null],[2,""update_batch"",null],[3,""get_batch"",null],[4,""select_batch"",null]]"
generic,x02,primary_x02_generic,primary,routing,current,protected,2,1,1,True,2,2,True,True,1,1,1,0,"[[0,""resolve_service"",null],[2,""update_config"",""ROW_VERSION_CONFLICT""],[3,""resolve_service"",null],[4,""update_config"",null],[5,""resolve_service"",null]]"
minimal,x05,primary_x05_minimal,primary,routing,literal,protected,2,1,1,True,2,0,True,False,0,1,0,1,"[[0,""get_config"",null],[2,""update_config"",""ROW_VERSION_CONFLICT""],[3,""get_config"",null],[4,""update_config"",null],[5,""get_config"",null]]"
generic,x01,primary_x01_generic,primary,routing,current,irrelevant,1,1,0,True,1,1,True,True,1,2,1,1,"[[0,""resolve_service"",null],[2,""update_config"",null],[3,""resolve_service"",null],[4,""get_config"",null]]"
generic,x04,primary_x04_generic,primary,routing,literal,selection,1,1,0,True,1,0,True,False,0,1,0,1,"[[0,""get_config"",null],[2,""update_config"",null],[3,""get_config"",null]]"
generic,x00,primary_x00_generic,primary,routing,current,stable,1,1,0,True,1,1,True,True,1,2,1,1,"[[0,""resolve_service"",null],[1,""update_config"",null],[2,""get_config"",null],[3,""resolve_service"",null]]"
intent,x10,primary_x10_intent,primary,dispatch,literal,selection,1,1,0,True,1,0,True,False,0,1,0,1,"[[0,""get_batch"",null],[2,""update_batch"",null],[3,""get_batch"",null]]"
minimal,x06,primary_x06_minimal,primary,dispatch,current,stable,1,1,0,True,0,1,False,True,1,1,0,1,"[[0,""select_batch"",null],[1,""update_batch"",null],[2,""get_batch"",null]]"
minimal,x01,primary_x01_minimal,primary,routing,current,irrelevant,1,1,0,True,1,1,True,True,1,1,1,0,"[[0,""resolve_service"",null],[2,""update_config"",null],[3,""resolve_service"",null]]"
minimal,x02,primary_x02_minimal,primary,routing,current,protected,2,1,1,True,2,2,True,True,1,2,1,1,"[[0,""resolve_service"",null],[2,""update_config"",""ROW_VERSION_CONFLICT""],[3,""resolve_service"",null],[4,""get_config"",null],[5,""update_config"",null],[6,""resolve_service"",null],[7,""get_config"",null]]"
minimal,x08,primary_x08_minimal,primary,dispatch,current,protected,2,1,1,True,2,2,True,True,1,1,0,1,"[[0,""select_batch"",null],[2,""update_batch"",""ROW_VERSION_CONFLICT""],[3,""select_batch"",null],[4,""get_batch"",null],[5,""update_batch"",null],[6,""get_batch"",null]]"
generic,x10,primary_x10_generic,primary,dispatch,literal,selection,1,1,0,True,1,0,True,False,0,1,0,1,"[[0,""get_batch"",null],[2,""update_batch"",null],[3,""get_batch"",null]]"
minimal,x03,primary_x03_minimal,primary,routing,current,selection,2,1,1,True,0,2,False,True,1,1,1,0,"[[0,""resolve_service"",null],[2,""update_config"",""SELECTION_CONFLICT""],[3,""resolve_service"",null],[4,""update_config"",null],[5,""resolve_service"",null]]"
intent,x00,primary_x00_intent,primary,routing,current,stable,1,1,0,True,0,1,False,True,1,1,1,0,"[[0,""resolve_service"",null],[1,""update_config"",null],[2,""resolve_service"",null]]"
intent,x02,primary_x02_intent,primary,routing,current,protected,2,1,1,True,2,2,True,True,1,2,1,1,"[[0,""resolve_service"",null],[2,""update_config"",""ROW_VERSION_CONFLICT""],[3,""resolve_service"",null],[4,""get_config"",null],[5,""update_config"",null],[6,""resolve_service"",null],[7,""get_config"",null]]"
both,x02,primary_x02_both,primary,routing,current,protected,2,1,1,True,2,2,True,True,1,1,1,0,"[[0,""resolve_service"",null],[2,""update_config"",""ROW_VERSION_CONFLICT""],[3,""resolve_service"",null],[4,""get_config"",null],[5,""update_config"",null],[6,""resolve_service"",null]]"
generic,x08,primary_x08_generic,primary,dispatch,current,protected,1,1,0,True,0,1,False,True,1,2,1,1,"[[0,""select_batch"",null],[2,""update_batch"",null],[3,""get_batch"",null],[4,""select_batch"",null]]"
minimal,x10,primary_x10_minimal,primary,dispatch,literal,selection,1,1,0,True,1,0,True,False,0,1,0,1,"[[0,""get_batch"",null],[2,""update_batch"",null],[3,""get_batch"",null]]"
intent,x09,primary_x09_intent,primary,dispatch,current,selection,2,1,1,True,0,2,False,True,1,3,1,2,"[[0,""select_batch"",null],[2,""update_batch"",""SELECTION_CONFLICT""],[3,""select_batch"",null],[4,""update_batch"",null],[5,""select_batch"",null],[6,""get_batch"",null],[7,""get_batch"",null]]"
both,x04,primary_x04_both,primary,routing,literal,selection,1,1,0,True,1,0,True,False,0,1,0,1,"[[0,""get_config"",null],[2,""update_config"",null],[3,""get_config"",null]]"
generic,x09,primary_x09_generic,primary,dispatch,current,selection,2,1,1,True,2,2,True,True,1,2,1,1,"[[0,""select_batch"",null],[2,""update_batch"",""SELECTION_CONFLICT""],[3,""select_batch"",null],[4,""update_batch"",null],[5,""get_batch"",null],[6,""select_batch"",null]]"
both,x01,primary_x01_both,primary,routing,current,irrelevant,1,1,0,True,1,1,True,True,1,2,1,1,"[[0,""resolve_service"",null],[2,""update_config"",null],[3,""resolve_service"",null],[4,""get_config"",null]]"
intent,x01,primary_x01_intent,primary,routing,current,irrelevant,1,1,0,True,1,1,True,True,1,2,1,1,"[[0,""resolve_service"",null],[2,""update_config"",null],[3,""resolve_service"",null],[4,""get_config"",null]]"
intent,x04,primary_x04_intent,primary,routing,literal,selection,1,1,0,True,1,0,True,False,0,1,0,1,"[[0,""get_config"",null],[2,""update_config"",null],[3,""get_config"",null]]"
minimal,x04,primary_x04_minimal,primary,routing,literal,selection,1,1,0,True,1,0,True,False,0,1,0,1,"[[0,""get_config"",null],[2,""update_config"",null],[3,""get_config"",null]]"
generic,x03,primary_x03_generic,primary,routing,current,selection,2,1,1,True,2,2,True,True,1,2,1,1,"[[0,""resolve_service"",null],[2,""update_config"",""SELECTION_CONFLICT""],[3,""resolve_service"",null],[4,""update_config"",null],[5,""resolve_service"",null],[6,""get_config"",null]]"
