stream,step,task_type,same_probe_choice,same_plan_payload,same_answer_payload,same_all_semantics,same_task_relevant_semantics,only_checked_at_differs,recheck_probes,myopic_probes,recheck_checked_at,myopic_checked_at,recheck_success,myopic_success,recheck_reference_correct,myopic_reference_correct,recheck_answer,myopic_answer
2,1,1,False,False,False,True,True,True,[1],[],"[0, 2]","[0, 0]",True,True,True,True,"{""total"": null, ""count"": 14}","{""total"": null, ""count"": 14}"
2,2,0,True,False,False,True,True,True,[0],[0],"[3, 2]","[3, 0]",True,True,True,True,"{""total"": 1239.85, ""count"": null}","{""total"": 1239.85, ""count"": null}"
2,3,0,True,False,False,True,True,True,[],[],"[3, 2]","[3, 0]",True,True,True,True,"{""total"": 1239.85, ""count"": null}","{""total"": 1239.85, ""count"": null}"
2,4,0,False,False,False,True,True,True,[0],[],"[5, 2]","[3, 0]",True,True,True,True,"{""total"": 1239.85, ""count"": null}","{""total"": 1239.85, ""count"": null}"
2,5,1,True,False,False,True,True,True,[1],[1],"[5, 6]","[3, 6]",False,True,True,True,"{""total"": null, ""count"": 12}","{""total"": null, ""count"": 11}"
2,6,1,True,False,False,True,True,True,[],[],"[5, 6]","[3, 6]",True,True,True,True,"{""total"": null, ""count"": 14}","{""total"": null, ""count"": 14}"
2,7,0,True,True,True,True,True,False,[0],[0],"[8, 6]","[8, 6]",True,True,True,True,"{""total"": 1239.85, ""count"": null}","{""total"": 1239.85, ""count"": null}"
2,8,3,True,True,True,True,True,False,[],[],"[8, 6]","[8, 6]",True,True,True,True,"{""total"": null, ""count"": 20}","{""total"": null, ""count"": 20}"
2,9,2,False,False,False,True,True,True,"[0, 1]",[1],"[10, 10]","[8, 10]",True,True,True,True,"{""total"": 1239.85, ""count"": 15}","{""total"": 1239.85, ""count"": 15}"
2,10,2,False,False,False,True,True,True,[],[0],"[10, 10]","[11, 10]",True,True,True,True,"{""total"": 1239.85, ""count"": 14}","{""total"": 1239.85, ""count"": 14}"
2,11,2,True,False,False,True,True,True,[],[],"[10, 10]","[11, 10]",True,True,True,True,"{""total"": 1239.85, ""count"": 9}","{""total"": 1239.85, ""count"": 9}"
3,0,2,True,True,True,True,True,False,[],[],"[0, 0]","[0, 0]",True,True,True,True,"{""total"": 974.24, ""count"": 8}","{""total"": 974.24, ""count"": 8}"
3,1,2,False,False,False,True,True,True,"[0, 1]",[],"[2, 2]","[0, 0]",True,True,True,True,"{""total"": 974.24, ""count"": 7}","{""total"": 974.24, ""count"": 7}"
3,2,2,False,False,False,False,False,False,[],"[0, 1]","[2, 2]","[3, 3]",False,True,False,True,"{""total"": 974.24, ""count"": 13}","{""total"": 974.24, ""count"": 14}"
3,3,2,False,False,False,False,False,False,"[0, 1]",[],"[4, 4]","[3, 3]",True,False,True,False,"{""total"": 974.24, ""count"": 8}","{""total"": 974.24, ""count"": 9}"
3,4,3,True,False,False,False,True,False,[],[],"[4, 4]","[3, 3]",True,True,True,True,"{""total"": null, ""count"": 20}","{""total"": null, ""count"": 20}"
3,5,3,True,False,False,False,True,False,[],[],"[4, 4]","[3, 3]",True,True,True,True,"{""total"": null, ""count"": 20}","{""total"": null, ""count"": 20}"
3,6,3,True,False,False,False,True,False,[],[],"[4, 4]","[3, 3]",True,True,True,True,"{""total"": null, ""count"": 20}","{""total"": null, ""count"": 20}"
3,7,1,True,False,False,True,True,True,[1],[1],"[4, 8]","[3, 8]",True,True,True,True,"{""total"": null, ""count"": 11}","{""total"": null, ""count"": 11}"
3,8,1,True,False,False,True,True,True,[],[],"[4, 8]","[3, 8]",True,True,True,True,"{""total"": null, ""count"": 10}","{""total"": null, ""count"": 10}"
3,9,1,False,False,False,True,True,True,[1],[],"[4, 10]","[3, 8]",True,True,True,True,"{""total"": null, ""count"": 15}","{""total"": null, ""count"": 15}"
3,10,0,True,False,False,True,True,True,[0],[0],"[11, 10]","[11, 8]",True,True,True,True,"{""total"": 974.24, ""count"": null}","{""total"": 974.24, ""count"": null}"
3,11,0,True,False,False,True,True,True,[],[],"[11, 10]","[11, 8]",True,True,True,True,"{""total"": 974.24, ""count"": null}","{""total"": 974.24, ""count"": null}"
