stream,step,method,task_type,cutoff,probe_count,proxy_cost_not_currency,amount_status,endpoint_status,stale_related,missing_related,plan_schema_valid_recomputed,answer_schema_valid,interface_failure,json_parse_failure,truncated,missing_call_records,answer_value_correct,end_to_end_success,reference_executor_correct,plan_follows_supplied_memory,answer_follows_tool_and_plan,stale_propagation_consistent
0,3,never,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,3,recheck,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,3,ttl,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,4,always,1,6,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,4,myopic,1,6,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,4,never,1,6,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,4,recheck,1,6,1,0.18,fresh,fresh,False,False,False,False,True,False,False,0,False,False,True,False,False,False
0,4,ttl,1,6,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,5,always,1,12,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,5,myopic,1,12,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,5,never,1,12,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,5,recheck,1,12,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,5,ttl,1,12,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,6,always,3,,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,6,myopic,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,6,never,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,6,recheck,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,6,ttl,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,7,always,0,,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,7,myopic,0,,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,7,never,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,7,recheck,0,,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,7,ttl,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,8,always,2,8,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,8,myopic,2,8,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,8,never,2,8,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,8,recheck,2,8,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,8,ttl,2,8,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,9,always,2,7,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,9,myopic,2,7,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,9,never,2,7,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,9,recheck,2,7,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,9,ttl,2,7,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,10,always,2,9,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,10,myopic,2,9,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,10,never,2,9,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,10,recheck,2,9,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,10,ttl,2,9,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,11,always,2,13,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,11,myopic,2,13,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,11,never,2,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,11,recheck,2,13,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
0,11,ttl,2,13,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,0,always,2,11,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,0,myopic,2,11,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,0,never,2,11,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,0,recheck,2,11,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,0,ttl,2,11,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,1,always,2,14,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,1,myopic,2,14,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,1,never,2,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,1,recheck,2,14,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,1,ttl,2,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,2,always,2,12,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,2,myopic,2,12,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,2,never,2,12,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,2,recheck,2,12,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,2,ttl,2,12,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,3,always,2,9,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,3,myopic,2,9,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,3,never,2,9,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,3,recheck,2,9,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,3,ttl,2,9,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,4,always,2,14,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,4,myopic,2,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,4,never,2,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,4,recheck,2,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,4,ttl,2,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,5,always,2,11,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,5,myopic,2,11,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,5,never,2,11,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,5,recheck,2,11,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,5,ttl,2,11,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,6,always,2,8,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,6,myopic,2,8,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
1,6,never,2,8,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
1,6,recheck,2,8,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
1,6,ttl,2,8,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
1,7,always,2,8,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,7,myopic,2,8,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,7,never,2,8,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
1,7,recheck,2,8,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,False,False,True,True,False,False
1,7,ttl,2,8,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
1,8,always,2,14,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,8,myopic,2,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,8,never,2,14,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
1,8,recheck,2,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,8,ttl,2,14,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,9,always,1,11,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,9,myopic,1,11,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,9,never,1,11,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,9,recheck,1,11,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,9,ttl,1,11,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
1,10,always,1,13,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,10,myopic,1,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,10,never,1,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,10,recheck,1,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,10,ttl,1,13,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
1,11,always,1,9,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,11,myopic,1,9,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,11,never,1,9,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,11,recheck,1,9,1,0.18,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
1,11,ttl,1,9,2,0.36,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,0,always,1,8,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,0,myopic,1,8,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,0,never,1,8,0,0.0,fresh,fresh,False,False,False,False,True,False,False,0,False,False,True,False,False,False
2,0,recheck,1,8,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,0,ttl,1,8,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,1,always,1,13,2,0.44,fresh,fresh,False,False,False,False,True,False,False,0,False,False,True,False,False,False
2,1,myopic,1,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,1,never,1,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,1,recheck,1,13,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,1,ttl,1,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,2,always,0,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,2,myopic,0,,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,2,never,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,2,recheck,0,,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,2,ttl,0,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,3,always,0,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,3,myopic,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,3,never,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,3,recheck,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,3,ttl,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,4,always,0,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,4,myopic,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,4,never,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,4,recheck,0,,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,4,ttl,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,5,always,1,10,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,5,myopic,1,10,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,5,never,1,10,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,5,recheck,1,10,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,False,False,True,True,False,False
2,5,ttl,1,10,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,6,always,1,13,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,6,myopic,1,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,6,never,1,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,6,recheck,1,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,6,ttl,1,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,7,always,0,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,7,myopic,0,,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,7,never,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,7,recheck,0,,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,7,ttl,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,8,always,3,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,8,myopic,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,8,never,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,8,recheck,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,8,ttl,3,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,9,always,2,14,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,9,myopic,2,14,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,9,never,2,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,9,recheck,2,14,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,9,ttl,2,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,10,always,2,13,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,10,myopic,2,13,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,10,never,2,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,10,recheck,2,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,10,ttl,2,13,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,11,always,2,8,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,11,myopic,2,8,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,11,never,2,8,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,11,recheck,2,8,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
2,11,ttl,2,8,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,0,always,2,7,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,0,myopic,2,7,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,0,never,2,7,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,0,recheck,2,7,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,0,ttl,2,7,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,1,always,2,6,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,1,myopic,2,6,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,1,never,2,6,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,1,recheck,2,6,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,1,ttl,2,6,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,2,always,2,13,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,2,myopic,2,13,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,2,never,2,13,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
3,2,recheck,2,13,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
3,2,ttl,2,13,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,3,always,2,7,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,3,myopic,2,7,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
3,3,never,2,7,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,3,recheck,2,7,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,3,ttl,2,7,0,0.0,fresh,stale,True,False,True,True,False,False,False,0,False,False,False,True,True,True
3,4,always,3,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,4,myopic,3,,0,0.0,stale,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,4,never,3,,0,0.0,stale,stale,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,4,recheck,3,,0,0.0,stale,stale,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,4,ttl,3,,0,0.0,stale,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,5,always,3,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,5,myopic,3,,0,0.0,fresh,stale,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,5,never,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,5,recheck,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,5,ttl,3,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,6,always,3,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,6,myopic,3,,0,0.0,fresh,stale,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,6,never,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,6,recheck,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,6,ttl,3,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,7,always,1,10,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,7,myopic,1,10,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,7,never,1,10,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,7,recheck,1,10,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,7,ttl,1,10,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,8,always,1,9,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,8,myopic,1,9,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,8,never,1,9,0,0.0,fresh,fresh,False,False,False,False,True,False,False,0,False,False,True,False,False,False
3,8,recheck,1,9,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,8,ttl,1,9,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,9,always,1,14,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,9,myopic,1,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,9,never,1,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,9,recheck,1,14,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,9,ttl,1,14,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,10,always,0,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,10,myopic,0,,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,10,never,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,10,recheck,0,,1,0.22,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,10,ttl,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,11,always,0,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,11,myopic,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,11,never,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,11,recheck,0,,0,0.0,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
3,11,ttl,0,,2,0.44,fresh,fresh,False,False,True,True,False,False,False,0,True,True,True,True,True,False
