stream,condition,step,replicate,probe_actions_differ,actual_new_probe_action_diff,relevant_evidence_differ,request_body_differ,recheck_success,myopic_success,recheck_plan,myopic_plan,recheck_evidence,myopic_evidence,gold,recheck_answer,myopic_answer,J_delta
0,matched_low,9,primary,False,False,False,False,True,True,"{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}","{""count"":null,""total"":962.89}",0.0
0,matched_low,10,primary,False,False,False,False,True,True,"{""time_bound"":15}","{""time_bound"":15}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":15,""total"":null}","{""count"":15,""total"":null}","{""count"":15,""total"":null}",0.0
0,matched_low,11,primary,False,False,False,False,False,False,"{""time_bound"":15}","{""time_bound"":15}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":15,""total"":null}","{""count"":16,""total"":null}","{""count"":16,""total"":null}",0.0
1,matched_low,0,primary,False,False,False,False,True,True,"{""time_bound"":7}","{""time_bound"":7}","{""endpoint_inclusive"":true}","{""endpoint_inclusive"":true}","{""count"":8,""total"":null}","{""count"":8,""total"":null}","{""count"":8,""total"":null}",0.0
1,matched_low,1,primary,True,True,False,False,True,True,"{""time_bound"":13}","{""time_bound"":13}","{""endpoint_inclusive"":true}","{""endpoint_inclusive"":true}","{""count"":14,""total"":null}","{""count"":14,""total"":null}","{""count"":14,""total"":null}",0.22
1,matched_low,2,primary,True,True,False,False,True,True,"{""time_bound"":8}","{""time_bound"":8}","{""endpoint_inclusive"":true}","{""endpoint_inclusive"":true}","{""count"":9,""total"":null}","{""count"":9,""total"":null}","{""count"":9,""total"":null}",-0.22
1,matched_low,3,primary,True,True,False,False,True,True,"{""time_bound"":14}","{""time_bound"":14}","{""endpoint_inclusive"":true}","{""endpoint_inclusive"":true}","{""count"":15,""total"":null}","{""count"":15,""total"":null}","{""count"":15,""total"":null}",0.22
1,matched_low,4,primary,False,False,False,False,True,True,"{""time_bound"":12}","{""time_bound"":12}","{""endpoint_inclusive"":true}","{""endpoint_inclusive"":true}","{""count"":13,""total"":null}","{""count"":13,""total"":null}","{""count"":13,""total"":null}",0.0
1,matched_low,5,primary,False,False,False,False,True,True,"{""time_bound"":9}","{""time_bound"":9}","{""endpoint_inclusive"":true}","{""endpoint_inclusive"":true}","{""count"":10,""total"":null}","{""count"":10,""total"":null}","{""count"":10,""total"":null}",0.0
1,matched_low,5,repeat,False,False,False,False,True,True,"{""time_bound"":9}","{""time_bound"":9}","{""endpoint_inclusive"":true}","{""endpoint_inclusive"":true}","{""count"":10,""total"":null}","{""count"":10,""total"":null}","{""count"":10,""total"":null}",0.0
1,matched_low,6,primary,False,False,False,False,True,True,"{""time_bound"":5}","{""time_bound"":5}","{""endpoint_inclusive"":true}","{""endpoint_inclusive"":true}","{""count"":6,""total"":null}","{""count"":6,""total"":null}","{""count"":6,""total"":null}",0.0
1,matched_low,7,primary,True,True,True,True,True,False,"{""time_bound"":14}","{""time_bound"":13}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":true}","{""count"":14,""total"":null}","{""count"":14,""total"":null}","{""count"":13,""total"":null}",-0.78
1,matched_low,8,primary,True,True,False,False,True,True,"{""time_bound"":7}","{""time_bound"":7}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":7,""total"":null}","{""count"":7,""total"":null}","{""count"":7,""total"":null}",-0.22
1,matched_low,9,primary,True,True,False,False,True,True,"{""amount_divisor"":100,""time_bound"":12}","{""amount_divisor"":100,""time_bound"":12}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""count"":12,""total"":784.98}","{""count"":12,""total"":784.98}","{""count"":12,""total"":784.98}",0.22
1,matched_low,10,primary,False,False,False,False,True,True,"{""amount_divisor"":100,""time_bound"":6}","{""amount_divisor"":100,""time_bound"":6}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""count"":6,""total"":784.98}","{""count"":6,""total"":784.98}","{""count"":6,""total"":784.98}",0.0
1,matched_low,11,primary,True,True,True,True,False,True,"{""amount_divisor"":100,""time_bound"":6}","{""amount_divisor"":100,""time_bound"":5}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""count"":6,""total"":784.98}","{""count"":7,""total"":784.98}","{""count"":6,""total"":784.98}",0.78
2,matched_low,0,primary,False,False,False,False,True,True,"{""amount_divisor"":100,""time_bound"":11}","{""amount_divisor"":100,""time_bound"":11}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""count"":12,""total"":1114.26}","{""count"":12,""total"":1114.26}","{""count"":12,""total"":1114.26}",0.0
2,matched_low,1,primary,True,True,False,False,True,True,"{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""count"":null,""total"":1114.26}","{""count"":null,""total"":1114.26}","{""count"":null,""total"":1114.26}",0.22
2,matched_low,2,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
2,matched_low,3,primary,False,False,False,False,True,True,"{""time_bound"":7}","{""time_bound"":7}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":7,""total"":null}","{""count"":7,""total"":null}","{""count"":7,""total"":null}",0.0
2,matched_low,4,primary,False,False,False,False,True,True,"{""time_bound"":11}","{""time_bound"":11}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":11,""total"":null}","{""count"":11,""total"":null}","{""count"":11,""total"":null}",0.0
2,matched_low,5,primary,True,True,False,False,True,True,"{""time_bound"":7}","{""time_bound"":7}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":7,""total"":null}","{""count"":7,""total"":null}","{""count"":7,""total"":null}",0.22
2,matched_low,5,repeat,True,False,False,False,True,True,"{""time_bound"":7}","{""time_bound"":7}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":7,""total"":null}","{""count"":7,""total"":null}","{""count"":7,""total"":null}",0.0
2,matched_low,6,primary,True,True,False,False,True,True,"{""time_bound"":9}","{""time_bound"":9}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":9,""total"":null}","{""count"":9,""total"":null}","{""count"":9,""total"":null}",-0.22
2,matched_low,7,primary,True,True,False,False,True,True,"{""time_bound"":8}","{""time_bound"":8}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":8,""total"":null}","{""count"":8,""total"":null}","{""count"":8,""total"":null}",0.22
2,matched_low,8,primary,False,False,False,False,True,True,"{""time_bound"":12}","{""time_bound"":12}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":12,""total"":null}","{""count"":12,""total"":null}","{""count"":12,""total"":null}",0.0
2,matched_low,9,primary,False,False,False,False,True,True,"{""amount_divisor"":100,""time_bound"":13}","{""amount_divisor"":100,""time_bound"":13}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""count"":13,""total"":1114.26}","{""count"":13,""total"":1114.26}","{""count"":13,""total"":1114.26}",0.0
2,matched_low,10,primary,False,False,False,False,True,True,"{""amount_divisor"":100,""time_bound"":11}","{""amount_divisor"":100,""time_bound"":11}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""count"":11,""total"":1114.26}","{""count"":11,""total"":1114.26}","{""count"":11,""total"":1114.26}",0.0
2,matched_low,11,primary,False,False,False,False,False,False,"{""amount_divisor"":100,""time_bound"":13}","{""amount_divisor"":100,""time_bound"":13}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""amount_divisor"":100,""endpoint_inclusive"":false}","{""count"":13,""total"":1114.26}","{""count"":14,""total"":1114.26}","{""count"":14,""total"":1114.26}",0.0
3,matched_low,0,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
3,matched_low,1,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
3,matched_low,2,primary,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":11}","{""amount_divisor"":1,""time_bound"":11}","{""amount_divisor"":1,""endpoint_inclusive"":false}","{""amount_divisor"":1,""endpoint_inclusive"":false}","{""count"":11,""total"":1045.46}","{""count"":11,""total"":1045.46}","{""count"":11,""total"":1045.46}",0.0
3,matched_low,3,primary,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":6}","{""amount_divisor"":1,""time_bound"":6}","{""amount_divisor"":1,""endpoint_inclusive"":false}","{""amount_divisor"":1,""endpoint_inclusive"":false}","{""count"":6,""total"":1045.46}","{""count"":6,""total"":1045.46}","{""count"":6,""total"":1045.46}",0.0
3,matched_low,4,primary,True,True,True,True,True,False,"{""amount_divisor"":100,""time_bound"":7}","{""amount_divisor"":1,""time_bound"":8}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":false}","{""count"":8,""total"":1045.46}","{""count"":8,""total"":1045.46}","{""count"":9,""total"":104546.0}",-1.56
3,matched_low,5,primary,True,True,True,True,False,True,"{""amount_divisor"":100}","{""amount_divisor"":1}","{""amount_divisor"":100}","{""amount_divisor"":1}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":10.454600000000001}","{""count"":null,""total"":1045.46}",0.78
3,matched_low,5,repeat,True,False,True,True,False,True,"{""amount_divisor"":100}","{""amount_divisor"":1}","{""amount_divisor"":100}","{""amount_divisor"":1}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":10.454600000000001}","{""count"":null,""total"":1045.46}",1.0
3,matched_low,6,primary,True,True,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":1045.46}",0.22
3,matched_low,7,primary,False,False,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":1045.46}",0.0
3,matched_low,8,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
3,matched_low,9,primary,False,False,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":1045.46}",0.0
3,matched_low,10,primary,False,False,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":1045.46}",0.0
3,matched_low,11,primary,False,False,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":1045.46}","{""count"":null,""total"":1045.46}",0.0
4,matched_high,0,primary,False,False,False,False,True,True,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}",0.0
4,matched_high,1,primary,False,False,False,False,False,False,"{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""amount_divisor"":1}","{""count"":null,""total"":997.69}","{""count"":null,""total"":99769.0}","{""count"":null,""total"":99769.0}",0.0
4,matched_high,2,primary,True,True,True,True,True,False,"{""amount_divisor"":100}","{""amount_divisor"":1}","{""amount_divisor"":100}","{""amount_divisor"":1}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":99769.0}",-0.6
4,matched_high,3,primary,False,False,True,True,True,False,"{""amount_divisor"":100}","{""amount_divisor"":1}","{""amount_divisor"":100}","{""amount_divisor"":1}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":99769.0}",-1.0
4,matched_high,4,primary,False,False,True,True,True,False,"{""amount_divisor"":100}","{""amount_divisor"":1}","{""amount_divisor"":100}","{""amount_divisor"":1}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":99769.0}",-1.0
4,matched_high,5,primary,False,False,False,False,True,True,"{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}",0.0
4,matched_high,5,repeat,False,False,False,False,True,True,"{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}",0.0
4,matched_high,6,primary,False,False,False,False,True,True,"{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}",0.0
4,matched_high,7,primary,False,False,False,False,True,True,"{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}",0.0
4,matched_high,8,primary,True,True,False,False,True,True,"{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}",0.4
4,matched_high,9,primary,False,False,False,False,True,True,"{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}",0.0
4,matched_high,10,primary,False,False,False,False,True,True,"{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}",0.0
4,matched_high,11,primary,True,True,False,False,True,True,"{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""amount_divisor"":100}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}","{""count"":null,""total"":997.69}",-0.4
5,matched_high,0,primary,False,False,False,False,True,True,"{""time_bound"":10}","{""time_bound"":10}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":10,""total"":null}","{""count"":10,""total"":null}","{""count"":10,""total"":null}",0.0
5,matched_high,1,primary,False,False,False,False,True,True,"{""time_bound"":12}","{""time_bound"":12}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":12,""total"":null}","{""count"":12,""total"":null}","{""count"":12,""total"":null}",0.0
5,matched_high,2,primary,True,True,False,False,True,True,"{""time_bound"":12}","{""time_bound"":12}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":12,""total"":null}","{""count"":12,""total"":null}","{""count"":12,""total"":null}",0.4
5,matched_high,3,primary,False,False,False,False,True,True,"{""time_bound"":15}","{""time_bound"":15}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":15,""total"":null}","{""count"":15,""total"":null}","{""count"":15,""total"":null}",0.0
5,matched_high,4,primary,False,False,False,False,True,True,"{""time_bound"":13}","{""time_bound"":13}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":13,""total"":null}","{""count"":13,""total"":null}","{""count"":13,""total"":null}",0.0
5,matched_high,5,primary,False,False,False,False,True,True,"{""time_bound"":11}","{""time_bound"":11}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":11,""total"":null}","{""count"":11,""total"":null}","{""count"":11,""total"":null}",0.0
5,matched_high,5,repeat,False,False,False,False,True,True,"{""time_bound"":11}","{""time_bound"":11}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":11,""total"":null}","{""count"":11,""total"":null}","{""count"":11,""total"":null}",0.0
5,matched_high,6,primary,False,False,False,False,True,True,"{""time_bound"":14}","{""time_bound"":14}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":14,""total"":null}","{""count"":14,""total"":null}","{""count"":14,""total"":null}",0.0
5,matched_high,7,primary,False,False,False,False,True,True,"{""time_bound"":14}","{""time_bound"":14}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":14,""total"":null}","{""count"":14,""total"":null}","{""count"":14,""total"":null}",0.0
5,matched_high,8,primary,True,True,False,False,True,True,"{""time_bound"":10}","{""time_bound"":10}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":10,""total"":null}","{""count"":10,""total"":null}","{""count"":10,""total"":null}",0.4
5,matched_high,9,primary,False,False,False,False,True,True,"{""time_bound"":12}","{""time_bound"":12}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":12,""total"":null}","{""count"":12,""total"":null}","{""count"":12,""total"":null}",0.0
5,matched_high,10,primary,False,False,False,False,True,True,"{""time_bound"":13}","{""time_bound"":13}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":false}","{""count"":13,""total"":null}","{""count"":13,""total"":null}","{""count"":13,""total"":null}",0.0
5,matched_high,11,primary,True,True,True,True,False,True,"{""time_bound"":8}","{""time_bound"":7}","{""endpoint_inclusive"":false}","{""endpoint_inclusive"":true}","{""count"":8,""total"":null}","{""count"":9,""total"":null}","{""count"":8,""total"":null}",0.6
6,matched_high,0,primary,False,False,False,False,True,True,"{""amount_divisor"":100,""time_bound"":6}","{""amount_divisor"":100,""time_bound"":6}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""count"":7,""total"":879.34}","{""count"":7,""total"":879.34}","{""count"":7,""total"":879.34}",0.0
6,matched_high,1,primary,False,False,False,False,False,False,"{""amount_divisor"":100,""time_bound"":12}","{""amount_divisor"":100,""time_bound"":12}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""count"":13,""total"":879.34}","{""count"":13,""total"":8.7934}","{""count"":13,""total"":8.7934}",0.0
6,matched_high,2,primary,True,True,True,True,True,False,"{""amount_divisor"":1,""time_bound"":11}","{""amount_divisor"":100,""time_bound"":11}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""count"":12,""total"":879.34}","{""count"":12,""total"":879.34}","{""count"":12,""total"":8.7934}",-0.19999999999999996
6,matched_high,3,primary,False,False,True,True,False,False,"{""amount_divisor"":1,""time_bound"":11}","{""amount_divisor"":100,""time_bound"":11}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""count"":12,""total"":879.34}","{""count"":11,""total"":879.34}","{""count"":11,""total"":8.7934}",-1.0
6,matched_high,4,primary,False,False,True,True,False,False,"{""amount_divisor"":1,""time_bound"":13}","{""amount_divisor"":100,""time_bound"":13}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":100,""endpoint_inclusive"":true}","{""count"":14,""total"":879.34}","{""count"":13,""total"":879.34}","{""count"":13,""total"":8.7934}",-1.0
6,matched_high,5,primary,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":10}","{""amount_divisor"":1,""time_bound"":10}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":11,""total"":879.34}","{""count"":11,""total"":879.34}","{""count"":11,""total"":879.34}",0.0
6,matched_high,5,repeat,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":10}","{""amount_divisor"":1,""time_bound"":10}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":11,""total"":879.34}","{""count"":11,""total"":879.34}","{""count"":11,""total"":879.34}",0.0
6,matched_high,6,primary,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":10}","{""amount_divisor"":1,""time_bound"":10}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":11,""total"":879.34}","{""count"":11,""total"":879.34}","{""count"":11,""total"":879.34}",0.0
6,matched_high,7,primary,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":6}","{""amount_divisor"":1,""time_bound"":6}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":7,""total"":879.34}","{""count"":7,""total"":879.34}","{""count"":7,""total"":879.34}",0.0
6,matched_high,8,primary,True,True,False,False,True,True,"{""amount_divisor"":1,""time_bound"":10}","{""amount_divisor"":1,""time_bound"":10}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":11,""total"":879.34}","{""count"":11,""total"":879.34}","{""count"":11,""total"":879.34}",0.8
6,matched_high,9,primary,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":14}","{""amount_divisor"":1,""time_bound"":14}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":15,""total"":879.34}","{""count"":15,""total"":879.34}","{""count"":15,""total"":879.34}",0.0
6,matched_high,10,primary,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":8}","{""amount_divisor"":1,""time_bound"":8}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":9,""total"":879.34}","{""count"":9,""total"":879.34}","{""count"":9,""total"":879.34}",0.0
6,matched_high,11,primary,True,True,False,False,True,True,"{""amount_divisor"":1,""time_bound"":9}","{""amount_divisor"":1,""time_bound"":9}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":10,""total"":879.34}","{""count"":10,""total"":879.34}","{""count"":10,""total"":879.34}",-0.8
7,matched_high,0,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
7,matched_high,1,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
7,matched_high,2,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
7,matched_high,3,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
7,matched_high,4,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
7,matched_high,5,primary,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
7,matched_high,5,repeat,False,False,False,False,True,True,{},{},{},{},"{""count"":20,""total"":null}","{""count"":20,""total"":null}","{""count"":20,""total"":null}",0.0
7,matched_high,6,primary,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":5}","{""amount_divisor"":1,""time_bound"":5}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":6,""total"":1009.89}","{""count"":6,""total"":1009.89}","{""count"":6,""total"":1009.89}",0.0
7,matched_high,7,primary,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":10}","{""amount_divisor"":1,""time_bound"":10}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":11,""total"":1009.89}","{""count"":11,""total"":1009.89}","{""count"":11,""total"":1009.89}",0.0
7,matched_high,8,primary,False,False,False,False,True,True,"{""amount_divisor"":1,""time_bound"":6}","{""amount_divisor"":1,""time_bound"":6}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":7,""total"":1009.89}","{""count"":7,""total"":1009.89}","{""count"":7,""total"":1009.89}",0.0
7,matched_high,9,primary,True,True,False,False,True,True,"{""amount_divisor"":1,""time_bound"":9}","{""amount_divisor"":1,""time_bound"":9}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""amount_divisor"":1,""endpoint_inclusive"":true}","{""count"":10,""total"":1009.89}","{""count"":10,""total"":1009.89}","{""count"":10,""total"":1009.89}",0.8
