condition,menu,method,tasks,successes,failures,credits,task_cost,semantic_mismatches,stale_but_correct,success_rate,mean_task_cost,mean_brier
matched,shared,task_rollout2,128,97,31,126,37.3,61,22,0.7578125,0.29140625,0.15402805864823385
matched,single,age_paced,128,92,36,128,42.40000000000006,70,22,0.71875,0.3312500000000005,0.16004404173340228
matched,single,any_exact,128,91,37,128,43.40000000000004,72,23,0.7109375,0.3390625000000003,0.17067168422626894
matched,single,never,128,64,64,0,64.0,122,22,0.5,0.5,0.21451640392302707
matched,single,semantic_exact,128,92,36,128,42.400000000000034,72,24,0.71875,0.33125000000000027,0.1745738559683683
matched,single,single_effect_exact,128,92,36,128,42.40000000000005,77,28,0.71875,0.3312500000000004,0.16940223368458998
matched,single,task_exact,128,92,36,128,42.400000000000034,78,28,0.71875,0.33125000000000027,0.1701498290845732
matched,single,task_myopic,128,101,27,128,33.40000000000002,59,24,0.7890625,0.26093750000000016,0.13159521257610668
matched,single,task_rollout2,128,94,34,128,40.400000000000034,73,27,0.734375,0.31562500000000027,0.16427578156560907
no_drift,shared,age_paced,128,128,0,126,6.300000000000002,0,0,1.0,0.04921875000000001,0.08611135800579538
no_drift,shared,any_exact,128,128,0,126,6.300000000000001,0,0,1.0,0.049218750000000006,0.06029836679417399
no_drift,shared,never,128,128,0,0,0.0,0,0,1.0,0.0,0.23883869935665605
no_drift,shared,semantic_exact,128,128,0,126,6.300000000000001,0,0,1.0,0.049218750000000006,0.06029836679417399
no_drift,shared,single_effect_exact,128,128,0,125,6.25,0,0,1.0,0.048828125,0.061440811067343816
no_drift,shared,task_exact,128,128,0,123,6.15,0,0,1.0,0.048046875,0.06069445125365195
no_drift,shared,task_myopic,128,128,0,123,6.15,0,0,1.0,0.048046875,0.13435260355909784
no_drift,shared,task_rollout2,128,128,0,126,6.300000000000002,0,0,1.0,0.04921875000000001,0.06486381795038129
no_drift,single,age_paced,128,128,0,128,6.399999999999995,0,0,1.0,0.04999999999999996,0.0989618844185996
no_drift,single,any_exact,128,128,0,128,6.3999999999999995,0,0,1.0,0.049999999999999996,0.08516000791582105
no_drift,single,never,128,128,0,0,0.0,0,0,1.0,0.0,0.23883869935665605
no_drift,single,semantic_exact,128,128,0,128,6.399999999999997,0,0,1.0,0.049999999999999975,0.0786021435393904
no_drift,single,single_effect_exact,128,128,0,128,6.399999999999999,0,0,1.0,0.04999999999999999,0.0716483632528455
no_drift,single,task_exact,128,128,0,126,6.299999999999999,0,0,1.0,0.04921874999999999,0.07178499834978745
no_drift,single,task_myopic,128,128,0,124,6.2,0,0,1.0,0.0484375,0.13802622798508876
no_drift,single,task_rollout2,128,128,0,126,6.3,0,0,1.0,0.04921875,0.07433500254763004
