logical_id,method,phase,stream,step,status,finish_reason,prompt_tokens,completion_tokens,cached_input_tokens,reasoning_tokens,visible_token_difference,issues,latency_seconds,estimate,currency,price_reason
r2/rc/0/1/ttl/plan,ttl,plan,0,1,ok,stop,249,267,0,254,13,[],1.9507383750751615,,UNKNOWN,prices_unknown
r2/rc/0/1/ttl/answer,ttl,answer,0,1,ok,stop,214,146,0,136,10,[],1.1809883750975132,,UNKNOWN,prices_unknown
r2/rc/0/2/recheck/plan,recheck,plan,0,2,ok,stop,249,311,0,298,13,[],1.8235167500097305,,UNKNOWN,prices_unknown
r2/rc/0/2/recheck/answer,recheck,answer,0,2,ok,stop,214,101,0,91,10,[],1.2025600839406252,,UNKNOWN,prices_unknown
r2/rc/0/2/myopic/plan,myopic,plan,0,2,ok,stop,249,157,0,144,13,[],1.53722675004974,,UNKNOWN,prices_unknown
r2/rc/0/2/myopic/answer,myopic,answer,0,2,ok,stop,214,174,0,164,10,[],1.2246854160912335,,UNKNOWN,prices_unknown
r2/rc/0/2/never/plan,never,plan,0,2,ok,stop,249,152,0,139,13,[],1.3908196249976754,,UNKNOWN,prices_unknown
r2/rc/0/2/never/answer,never,answer,0,2,ok,stop,214,292,0,280,12,[],1.8160833329893649,,UNKNOWN,prices_unknown
r2/rc/0/2/ttl/plan,ttl,plan,0,2,ok,stop,249,245,0,232,13,[],1.80005033290945,,UNKNOWN,prices_unknown
r2/rc/0/2/ttl/answer,ttl,answer,0,2,ok,stop,214,39,0,29,10,[],0.8128752501215786,,UNKNOWN,prices_unknown
r2/rc/0/2/always/plan,always,plan,0,2,ok,stop,249,202,0,189,13,[],1.4634995409287512,,UNKNOWN,prices_unknown
r2/rc/0/2/always/answer,always,answer,0,2,ok,stop,214,339,0,329,10,[],1.8844413328915834,,UNKNOWN,prices_unknown
r2/rc/0/3/myopic/plan,myopic,plan,0,3,ok,stop,249,219,0,206,13,[],1.597754375077784,,UNKNOWN,prices_unknown
r2/rc/0/3/myopic/answer,myopic,answer,0,3,ok,stop,214,264,0,254,10,[],1.8595464581158012,,UNKNOWN,prices_unknown
r2/rc/0/3/never/plan,never,plan,0,3,ok,stop,249,226,0,213,13,[],1.7716727920342237,,UNKNOWN,prices_unknown
r2/rc/0/3/never/answer,never,answer,0,3,ok,stop,214,113,0,101,12,[],1.0353039170149714,,UNKNOWN,prices_unknown
r2/rc/0/3/ttl/plan,ttl,plan,0,3,ok,stop,249,442,0,429,13,[],2.6624701670370996,,UNKNOWN,prices_unknown
r2/rc/0/3/ttl/answer,ttl,answer,0,3,ok,stop,214,112,0,102,10,[],1.211717416997999,,UNKNOWN,prices_unknown
r2/rc/0/3/always/plan,always,plan,0,3,ok,stop,249,176,0,163,13,[],1.1772160830441862,,UNKNOWN,prices_unknown
r2/rc/0/3/always/answer,always,answer,0,3,ok,stop,214,119,0,109,10,[],1.247571624815464,,UNKNOWN,prices_unknown
r2/rc/0/3/recheck/plan,recheck,plan,0,3,ok,stop,249,382,0,369,13,[],2.0167694590054452,,UNKNOWN,prices_unknown
r2/rc/0/3/recheck/answer,recheck,answer,0,3,ok,stop,214,78,0,68,10,[],0.9364285420160741,,UNKNOWN,prices_unknown
r2/rc/0/4/never/plan,never,plan,0,4,ok,stop,253,654,0,641,13,[],3.6089166249148548,,UNKNOWN,prices_unknown
r2/rc/0/4/never/answer,never,answer,0,4,ok,stop,220,942,0,932,10,[],4.440540916984901,,UNKNOWN,prices_unknown
r2/rc/0/4/ttl/plan,ttl,plan,0,4,ok,stop,253,947,0,934,13,[],4.425708208000287,,UNKNOWN,prices_unknown
r2/rc/0/4/ttl/answer,ttl,answer,0,4,ok,stop,220,379,0,369,10,[],2.4765841248445213,,UNKNOWN,prices_unknown
r2/rc/0/4/always/plan,always,plan,0,4,ok,stop,253,1054,0,1041,13,[],5.181710707955062,,UNKNOWN,prices_unknown
r2/rc/0/4/always/answer,always,answer,0,4,ok,stop,220,279,0,269,10,[],1.5567125410307199,,UNKNOWN,prices_unknown
r2/rc/0/4/recheck/plan,recheck,plan,0,4,ok,stop,253,609,0,596,13,[],3.0900399580132216,,UNKNOWN,prices_unknown
r2/rc/0/4/recheck/answer,recheck,answer,0,4,ok,stop,224,173,0,163,10,[],1.0743750829715282,,UNKNOWN,prices_unknown
r2/rc/0/4/myopic/plan,myopic,plan,0,4,ok,stop,253,951,0,938,13,[],4.486925832927227,,UNKNOWN,prices_unknown
r2/rc/0/4/myopic/answer,myopic,answer,0,4,ok,stop,220,554,0,544,10,[],2.966362457955256,,UNKNOWN,prices_unknown
r2/rc/0/5/ttl/plan,ttl,plan,0,5,ok,stop,253,927,0,914,13,[],4.027412457857281,,UNKNOWN,prices_unknown
r2/rc/0/5/ttl/answer,ttl,answer,0,5,ok,stop,220,1290,0,1280,10,[],6.15688949986361,,UNKNOWN,prices_unknown
r2/rc/0/5/always/plan,always,plan,0,5,ok,stop,253,1914,0,1899,15,[],8.378537999931723,,UNKNOWN,prices_unknown
r2/rc/0/5/always/answer,always,answer,0,5,ok,stop,220,1417,0,1407,10,[],6.357287124963477,,UNKNOWN,prices_unknown
r2/rc/0/5/recheck/plan,recheck,plan,0,5,ok,stop,253,1669,0,1656,13,[],7.1313567091710865,,UNKNOWN,prices_unknown
r2/rc/0/5/recheck/answer,recheck,answer,0,5,ok,stop,220,492,0,482,10,[],2.7305142087861896,,UNKNOWN,prices_unknown
r2/rc/0/5/myopic/plan,myopic,plan,0,5,ok,stop,253,1110,0,1097,13,[],5.01288262498565,,UNKNOWN,prices_unknown
r2/rc/0/5/myopic/answer,myopic,answer,0,5,ok,stop,220,635,0,625,10,[],3.17601783410646,,UNKNOWN,prices_unknown
r2/rc/0/5/never/plan,never,plan,0,5,ok,stop,253,857,0,844,13,[],4.35376995918341,,UNKNOWN,prices_unknown
r2/rc/0/5/never/answer,never,answer,0,5,ok,stop,220,464,0,454,10,[],2.219507875153795,,UNKNOWN,prices_unknown
r2/rc/0/6/always/plan,always,plan,0,6,ok,stop,249,467,0,454,13,[],2.698353457963094,,UNKNOWN,prices_unknown
r2/rc/0/6/always/answer,always,answer,0,6,ok,stop,214,185,0,175,10,[],1.3536217079963535,,UNKNOWN,prices_unknown
r2/rc/0/6/recheck/plan,recheck,plan,0,6,ok,stop,249,226,0,213,13,[],1.7129077920690179,,UNKNOWN,prices_unknown
r2/rc/0/6/recheck/answer,recheck,answer,0,6,ok,stop,214,111,0,101,10,[],1.066953333793208,,UNKNOWN,prices_unknown
r2/rc/0/6/myopic/plan,myopic,plan,0,6,ok,stop,249,235,0,222,13,[],2.640042959013954,,UNKNOWN,prices_unknown
r2/rc/0/6/myopic/answer,myopic,answer,0,6,ok,stop,214,284,0,274,10,[],2.436366416979581,,UNKNOWN,prices_unknown
r2/rc/0/6/never/plan,never,plan,0,6,ok,stop,249,217,0,204,13,[],1.3253099999856204,,UNKNOWN,prices_unknown
r2/rc/0/6/never/answer,never,answer,0,6,ok,stop,214,118,0,108,10,[],1.2263347499538213,,UNKNOWN,prices_unknown
r2/rc/0/6/ttl/plan,ttl,plan,0,6,ok,stop,249,193,0,180,13,[],1.4510400830768049,,UNKNOWN,prices_unknown
r2/rc/0/6/ttl/answer,ttl,answer,0,6,ok,stop,214,114,0,104,10,[],1.024202749831602,,UNKNOWN,prices_unknown
r2/rc/0/7/recheck/plan,recheck,plan,0,7,ok,stop,246,480,0,467,13,[],2.700149458833039,,UNKNOWN,prices_unknown
r2/rc/0/7/recheck/answer,recheck,answer,0,7,ok,stop,216,123,0,110,13,[],1.560022708028555,,UNKNOWN,prices_unknown
r2/rc/0/7/myopic/plan,myopic,plan,0,7,ok,stop,246,183,0,170,13,[],1.1157939590048045,,UNKNOWN,prices_unknown
r2/rc/0/7/myopic/answer,myopic,answer,0,7,ok,stop,216,112,0,99,13,[],1.2180856249760836,,UNKNOWN,prices_unknown
r2/rc/0/7/never/plan,never,plan,0,7,ok,stop,246,266,0,253,13,[],1.738260457990691,,UNKNOWN,prices_unknown
r2/rc/0/7/never/answer,never,answer,0,7,ok,stop,216,144,0,131,13,[],1.6575875419657677,,UNKNOWN,prices_unknown
r2/rc/0/7/ttl/plan,ttl,plan,0,7,ok,stop,246,939,0,926,13,[],4.963871208019555,,UNKNOWN,prices_unknown
r2/rc/0/7/ttl/answer,ttl,answer,0,7,ok,stop,216,125,0,112,13,[],1.4988952910061926,,UNKNOWN,prices_unknown
r2/rc/0/7/always/plan,always,plan,0,7,ok,stop,246,918,0,905,13,[],4.551717959111556,,UNKNOWN,prices_unknown
r2/rc/0/7/always/answer,always,answer,0,7,ok,stop,216,114,0,101,13,[],1.5366465412080288,,UNKNOWN,prices_unknown
r2/rc/0/8/myopic/plan,myopic,plan,0,8,ok,stop,268,549,0,536,13,[],2.5759437910746783,,UNKNOWN,prices_unknown
r2/rc/0/8/myopic/answer,myopic,answer,0,8,ok,stop,247,646,0,633,13,[],3.1626257500611246,,UNKNOWN,prices_unknown
r2/rc/0/8/never/plan,never,plan,0,8,ok,stop,268,889,0,876,13,[],4.305307291913778,,UNKNOWN,prices_unknown
r2/rc/0/8/never/answer,never,answer,0,8,ok,stop,247,555,0,542,13,[],2.8515296659898013,,UNKNOWN,prices_unknown
r2/rc/0/8/ttl/plan,ttl,plan,0,8,ok,stop,268,516,0,503,13,[],2.995976292062551,,UNKNOWN,prices_unknown
r2/rc/0/8/ttl/answer,ttl,answer,0,8,ok,stop,247,543,0,530,13,[],2.9337119159754366,,UNKNOWN,prices_unknown
r2/rc/0/8/always/plan,always,plan,0,8,ok,stop,268,2856,128,2843,13,[],12.617759917164221,,UNKNOWN,prices_unknown
r2/rc/0/8/always/answer,always,answer,0,8,ok,stop,247,361,0,348,13,[],2.2921595838852227,,UNKNOWN,prices_unknown
r2/rc/0/8/recheck/plan,recheck,plan,0,8,ok,stop,268,570,128,557,13,[],2.9085341249592602,,UNKNOWN,prices_unknown
r2/rc/0/8/recheck/answer,recheck,answer,0,8,ok,stop,247,1352,0,1339,13,[],6.320902083069086,,UNKNOWN,prices_unknown
r2/rc/0/9/never/plan,never,plan,0,9,ok,stop,268,638,0,625,13,[],3.3349113748408854,,UNKNOWN,prices_unknown
r2/rc/0/9/never/answer,never,answer,0,9,ok,stop,247,395,0,382,13,[],2.172478166176006,,UNKNOWN,prices_unknown
r2/rc/0/9/ttl/plan,ttl,plan,0,9,ok,stop,268,723,0,710,13,[],3.6827193340286613,,UNKNOWN,prices_unknown
r2/rc/0/9/ttl/answer,ttl,answer,0,9,ok,stop,247,656,0,643,13,[],3.1680194169748574,,UNKNOWN,prices_unknown
r2/rc/0/9/always/plan,always,plan,0,9,ok,stop,268,694,0,681,13,[],3.728315999964252,,UNKNOWN,prices_unknown
r2/rc/0/9/always/answer,always,answer,0,9,ok,stop,247,653,0,640,13,[],3.4369540421757847,,UNKNOWN,prices_unknown
r2/rc/0/9/recheck/plan,recheck,plan,0,9,ok,stop,268,2005,0,1992,13,[],8.024512416915968,,UNKNOWN,prices_unknown
r2/rc/0/9/recheck/answer,recheck,answer,0,9,ok,stop,247,485,0,472,13,[],2.3591983339283615,,UNKNOWN,prices_unknown
r2/rc/0/9/myopic/plan,myopic,plan,0,9,ok,stop,268,570,128,557,13,[],2.690277790883556,,UNKNOWN,prices_unknown
r2/rc/0/9/myopic/answer,myopic,answer,0,9,ok,stop,247,533,0,520,13,[],2.3924191249534488,,UNKNOWN,prices_unknown
r2/rc/0/10/ttl/plan,ttl,plan,0,10,ok,stop,268,1184,0,1171,13,[],5.376825249986723,,UNKNOWN,prices_unknown
r2/rc/0/10/ttl/answer,ttl,answer,0,10,ok,stop,247,361,0,348,13,[],1.6359300001058728,,UNKNOWN,prices_unknown
r2/rc/0/10/always/plan,always,plan,0,10,ok,stop,268,955,0,942,13,[],4.121364208869636,,UNKNOWN,prices_unknown
r2/rc/0/10/always/answer,always,answer,0,10,ok,stop,247,996,0,983,13,[],4.3550506248138845,,UNKNOWN,prices_unknown
r2/rc/0/10/recheck/plan,recheck,plan,0,10,ok,stop,268,387,0,374,13,[],2.3064084579236805,,UNKNOWN,prices_unknown
r2/rc/0/10/recheck/answer,recheck,answer,0,10,ok,stop,247,2751,0,2735,16,[],11.557372458977625,,UNKNOWN,prices_unknown
r2/rc/0/10/myopic/plan,myopic,plan,0,10,ok,stop,268,1100,128,1087,13,[],5.157385082915425,,UNKNOWN,prices_unknown
r2/rc/0/10/myopic/answer,myopic,answer,0,10,ok,stop,247,1107,0,1094,13,[],4.892301750136539,,UNKNOWN,prices_unknown
r2/rc/0/10/never/plan,never,plan,0,10,ok,stop,268,2070,0,2057,13,[],9.373438749928027,,UNKNOWN,prices_unknown
r2/rc/0/10/never/answer,never,answer,0,10,ok,stop,247,449,0,436,13,[],2.6993525000289083,,UNKNOWN,prices_unknown
r2/rc/0/11/always/plan,always,plan,0,11,ok,stop,268,618,0,605,13,[],3.619287749985233,,UNKNOWN,prices_unknown
r2/rc/0/11/always/answer,always,answer,0,11,ok,stop,247,578,0,565,13,[],2.9673248750623316,,UNKNOWN,prices_unknown
r2/rc/0/11/recheck/plan,recheck,plan,0,11,ok,stop,268,902,0,889,13,[],4.286881749983877,,UNKNOWN,prices_unknown
r2/rc/0/11/recheck/answer,recheck,answer,0,11,ok,stop,247,421,0,408,13,[],1.8956949170678854,,UNKNOWN,prices_unknown
r2/rc/0/11/myopic/plan,myopic,plan,0,11,ok,stop,268,1145,128,1132,13,[],5.726441542152315,,UNKNOWN,prices_unknown
r2/rc/0/11/myopic/answer,myopic,answer,0,11,ok,stop,247,622,0,609,13,[],2.9914628751575947,,UNKNOWN,prices_unknown
r2/rc/0/11/never/plan,never,plan,0,11,ok,stop,268,774,0,761,13,[],3.731754041975364,,UNKNOWN,prices_unknown
r2/rc/0/11/never/answer,never,answer,0,11,ok,stop,247,284,0,271,13,[],1.5396273331716657,,UNKNOWN,prices_unknown
r2/rc/0/11/ttl/plan,ttl,plan,0,11,ok,stop,268,798,128,785,13,[],4.051382374949753,,UNKNOWN,prices_unknown
r2/rc/0/11/ttl/answer,ttl,answer,0,11,ok,stop,247,628,0,615,13,[],3.109033750137314,,UNKNOWN,prices_unknown
r2/rc/1/shared_initial,shared_prefix,shared_prefix,1,,ok,stop,209,212,0,197,15,[],1.4370664998423308,,UNKNOWN,prices_unknown
r2/rc/1/0/myopic/plan,myopic,plan,1,0,ok,stop,268,1943,0,1930,13,[],8.503488417016342,,UNKNOWN,prices_unknown
r2/rc/1/0/myopic/answer,myopic,answer,1,0,ok,stop,247,538,0,525,13,[],3.237678000004962,,UNKNOWN,prices_unknown
r2/rc/1/0/never/plan,never,plan,1,0,ok,stop,268,965,128,952,13,[],4.682140332879499,,UNKNOWN,prices_unknown
r2/rc/1/0/never/answer,never,answer,1,0,ok,stop,247,374,0,361,13,[],2.081279957899824,,UNKNOWN,prices_unknown
r2/rc/1/0/ttl/plan,ttl,plan,1,0,ok,stop,268,736,128,723,13,[],3.551734209060669,,UNKNOWN,prices_unknown
r2/rc/1/0/ttl/answer,ttl,answer,1,0,ok,stop,247,289,0,276,13,[],1.8514944999478757,,UNKNOWN,prices_unknown
r2/rc/1/0/recheck/plan,recheck,plan,1,0,ok,stop,268,1762,128,1749,13,[],7.7302604170981795,,UNKNOWN,prices_unknown
r2/rc/1/0/recheck/answer,recheck,answer,1,0,ok,stop,247,397,0,384,13,[],1.9614793751388788,,UNKNOWN,prices_unknown
r2/rc/1/0/always/plan,always,plan,1,0,ok,stop,268,1058,0,1045,13,[],4.9518230829853565,,UNKNOWN,prices_unknown
r2/rc/1/0/always/answer,always,answer,1,0,ok,stop,247,829,0,816,13,[],4.271665999898687,,UNKNOWN,prices_unknown
r2/rc/1/1/never/plan,never,plan,1,1,ok,stop,268,526,0,513,13,[],3.1921842920128256,,UNKNOWN,prices_unknown
r2/rc/1/1/never/answer,never,answer,1,1,ok,stop,247,477,0,464,13,[],2.426037667086348,,UNKNOWN,prices_unknown
r2/rc/1/1/ttl/plan,ttl,plan,1,1,ok,stop,268,516,128,503,13,[],2.749034791951999,,UNKNOWN,prices_unknown
r2/rc/1/1/ttl/answer,ttl,answer,1,1,ok,stop,247,530,0,517,13,[],2.824854041915387,,UNKNOWN,prices_unknown
r2/rc/1/1/recheck/plan,recheck,plan,1,1,ok,stop,268,1004,0,991,13,[],4.173268459038809,,UNKNOWN,prices_unknown
r2/rc/1/1/recheck/answer,recheck,answer,1,1,ok,stop,247,376,0,363,13,[],2.1081095829140395,,UNKNOWN,prices_unknown
r2/rc/1/1/always/plan,always,plan,1,1,ok,stop,268,812,128,799,13,[],4.106220166897401,,UNKNOWN,prices_unknown
r2/rc/1/1/always/answer,always,answer,1,1,ok,stop,247,457,0,444,13,[],3.0751942091155797,,UNKNOWN,prices_unknown
r2/rc/1/1/myopic/plan,myopic,plan,1,1,ok,stop,268,1595,128,1582,13,[],7.194898125017062,,UNKNOWN,prices_unknown
r2/rc/1/1/myopic/answer,myopic,answer,1,1,ok,stop,247,692,0,679,13,[],3.308255583047867,,UNKNOWN,prices_unknown
r2/rc/1/2/ttl/plan,ttl,plan,1,2,ok,stop,268,721,0,708,13,[],3.447528125019744,,UNKNOWN,prices_unknown
r2/rc/1/2/ttl/answer,ttl,answer,1,2,ok,stop,247,216,0,203,13,[],1.5017629591748118,,UNKNOWN,prices_unknown
r2/rc/1/2/recheck/plan,recheck,plan,1,2,ok,stop,268,741,0,728,13,[],3.983730458887294,,UNKNOWN,prices_unknown
r2/rc/1/2/recheck/answer,recheck,answer,1,2,ok,stop,247,289,0,276,13,[],1.8768347909208387,,UNKNOWN,prices_unknown
r2/rc/1/2/always/plan,always,plan,1,2,ok,stop,268,792,128,779,13,[],3.6862564999610186,,UNKNOWN,prices_unknown
r2/rc/1/2/always/answer,always,answer,1,2,ok,stop,247,335,0,322,13,[],1.8715813329908997,,UNKNOWN,prices_unknown
r2/rc/1/2/myopic/plan,myopic,plan,1,2,ok,stop,268,666,128,653,13,[],3.5222163749858737,,UNKNOWN,prices_unknown
r2/rc/1/2/myopic/answer,myopic,answer,1,2,ok,stop,247,1010,0,997,13,[],4.7586337921675295,,UNKNOWN,prices_unknown
r2/rc/1/2/never/plan,never,plan,1,2,ok,stop,268,633,0,620,13,[],3.2597399579826742,,UNKNOWN,prices_unknown
r2/rc/1/2/never/answer,never,answer,1,2,ok,stop,247,814,0,801,13,[],3.960989832878113,,UNKNOWN,prices_unknown
r2/rc/1/3/recheck/plan,recheck,plan,1,3,ok,stop,268,1315,0,1302,13,[],5.89296704204753,,UNKNOWN,prices_unknown
r2/rc/1/3/recheck/answer,recheck,answer,1,3,ok,stop,247,427,0,414,13,[],2.3126721661537886,,UNKNOWN,prices_unknown
r2/rc/1/3/always/plan,always,plan,1,3,ok,stop,268,1340,128,1327,13,[],6.09618724999018,,UNKNOWN,prices_unknown
r2/rc/1/3/always/answer,always,answer,1,3,ok,stop,247,300,0,287,13,[],1.7361665840726346,,UNKNOWN,prices_unknown
r2/rc/1/3/myopic/plan,myopic,plan,1,3,ok,stop,268,1166,128,1153,13,[],5.708274958189577,,UNKNOWN,prices_unknown
r2/rc/1/3/myopic/answer,myopic,answer,1,3,ok,stop,247,387,0,374,13,[],2.0268446248956025,,UNKNOWN,prices_unknown
r2/rc/1/3/never/plan,never,plan,1,3,ok,stop,268,975,0,962,13,[],4.374612292042002,,UNKNOWN,prices_unknown
r2/rc/1/3/never/answer,never,answer,1,3,ok,stop,247,428,0,415,13,[],2.4699605419300497,,UNKNOWN,prices_unknown
r2/rc/1/3/ttl/plan,ttl,plan,1,3,ok,stop,268,809,0,796,13,[],3.5633779580239207,,UNKNOWN,prices_unknown
r2/rc/1/3/ttl/answer,ttl,answer,1,3,ok,stop,247,914,0,898,16,[],4.127346666995436,,UNKNOWN,prices_unknown
r2/rc/1/4/always/plan,always,plan,1,4,ok,stop,268,769,0,756,13,[],3.78550725011155,,UNKNOWN,prices_unknown
r2/rc/1/4/always/answer,always,answer,1,4,ok,stop,247,669,0,656,13,[],3.178806958021596,,UNKNOWN,prices_unknown
r2/rc/1/4/myopic/plan,myopic,plan,1,4,ok,stop,268,1407,0,1394,13,[],6.289104375056922,,UNKNOWN,prices_unknown
r2/rc/1/4/myopic/answer,myopic,answer,1,4,ok,stop,247,393,0,380,13,[],2.320362249854952,,UNKNOWN,prices_unknown
r2/rc/1/4/never/plan,never,plan,1,4,ok,stop,268,906,0,893,13,[],4.643016000045463,,UNKNOWN,prices_unknown
r2/rc/1/4/never/answer,never,answer,1,4,ok,stop,247,867,0,854,13,[],4.609350957907736,,UNKNOWN,prices_unknown
r2/rc/1/4/ttl/plan,ttl,plan,1,4,ok,stop,268,762,0,749,13,[],4.006781459087506,,UNKNOWN,prices_unknown
r2/rc/1/4/ttl/answer,ttl,answer,1,4,ok,stop,247,578,0,565,13,[],3.0370193331036717,,UNKNOWN,prices_unknown
r2/rc/1/4/recheck/plan,recheck,plan,1,4,ok,stop,268,1319,128,1306,13,[],6.515300124883652,,UNKNOWN,prices_unknown
r2/rc/1/4/recheck/answer,recheck,answer,1,4,ok,stop,247,397,0,384,13,[],2.3755356250330806,,UNKNOWN,prices_unknown
r2/rc/1/5/myopic/plan,myopic,plan,1,5,ok,stop,268,901,0,888,13,[],3.8715998749248683,,UNKNOWN,prices_unknown
r2/rc/1/5/myopic/answer,myopic,answer,1,5,ok,stop,247,494,0,481,13,[],2.3801852089818567,,UNKNOWN,prices_unknown
r2/rc/1/5/never/plan,never,plan,1,5,ok,stop,268,966,0,953,13,[],4.273308000061661,,UNKNOWN,prices_unknown
r2/rc/1/5/never/answer,never,answer,1,5,ok,stop,247,263,0,250,13,[],1.7961132091004401,,UNKNOWN,prices_unknown
r2/rc/1/5/ttl/plan,ttl,plan,1,5,ok,stop,268,679,128,666,13,[],3.1531627089716494,,UNKNOWN,prices_unknown
r2/rc/1/5/ttl/answer,ttl,answer,1,5,ok,stop,247,476,0,463,13,[],2.655694165965542,,UNKNOWN,prices_unknown
r2/rc/1/5/recheck/plan,recheck,plan,1,5,ok,stop,268,1567,128,1554,13,[],6.902818042086437,,UNKNOWN,prices_unknown
r2/rc/1/5/recheck/answer,recheck,answer,1,5,ok,stop,247,595,0,582,13,[],3.710003334097564,,UNKNOWN,prices_unknown
r2/rc/1/5/always/plan,always,plan,1,5,ok,stop,268,753,128,740,13,[],3.625397250056267,,UNKNOWN,prices_unknown
r2/rc/1/5/always/answer,always,answer,1,5,ok,stop,247,379,0,366,13,[],1.7676864159293473,,UNKNOWN,prices_unknown
r2/rc/1/6/never/plan,never,plan,1,6,ok,stop,268,778,0,765,13,[],3.9476703330874443,,UNKNOWN,prices_unknown
r2/rc/1/6/never/answer,never,answer,1,6,ok,stop,247,1177,0,1164,13,[],5.466916708974168,,UNKNOWN,prices_unknown
r2/rc/1/6/ttl/plan,ttl,plan,1,6,ok,stop,268,1155,0,1142,13,[],5.583690125029534,,UNKNOWN,prices_unknown
r2/rc/1/6/ttl/answer,ttl,answer,1,6,ok,stop,247,822,0,809,13,[],3.9771361669991165,,UNKNOWN,prices_unknown
r2/rc/1/6/recheck/plan,recheck,plan,1,6,ok,stop,268,610,128,597,13,[],3.204192374832928,,UNKNOWN,prices_unknown
r2/rc/1/6/recheck/answer,recheck,answer,1,6,ok,stop,247,591,0,578,13,[],2.616780708078295,,UNKNOWN,prices_unknown
r2/rc/1/6/always/plan,always,plan,1,6,ok,stop,268,190,0,177,13,[],1.071079749846831,,UNKNOWN,prices_unknown
r2/rc/1/6/always/answer,always,answer,1,6,ok,stop,247,235,0,222,13,[],1.6929058330133557,,UNKNOWN,prices_unknown
r2/rc/1/6/myopic/plan,myopic,plan,1,6,ok,stop,268,1506,128,1493,13,[],6.87222083308734,,UNKNOWN,prices_unknown
r2/rc/1/6/myopic/answer,myopic,answer,1,6,ok,stop,247,557,0,544,13,[],3.088265083031729,,UNKNOWN,prices_unknown
r2/rc/1/7/ttl/plan,ttl,plan,1,7,ok,stop,268,1131,128,1118,13,[],5.396429582964629,,UNKNOWN,prices_unknown
r2/rc/1/7/ttl/answer,ttl,answer,1,7,ok,stop,247,517,0,504,13,[],2.997438916005194,,UNKNOWN,prices_unknown
r2/rc/1/7/recheck/plan,recheck,plan,1,7,ok,stop,268,2158,0,2145,13,[],9.671952999895439,,UNKNOWN,prices_unknown
r2/rc/1/7/recheck/answer,recheck,answer,1,7,ok,stop,247,5722,0,5709,13,[],23.814702583942562,,UNKNOWN,prices_unknown
r2/rc/1/7/always/plan,always,plan,1,7,ok,stop,268,300,128,287,13,[],1.9192467080429196,,UNKNOWN,prices_unknown
r2/rc/1/7/always/answer,always,answer,1,7,ok,stop,247,138,0,125,13,[],1.2553568750154227,,UNKNOWN,prices_unknown
r2/rc/1/7/myopic/plan,myopic,plan,1,7,ok,stop,268,261,128,248,13,[],1.7940383329987526,,UNKNOWN,prices_unknown
