seed,method,success,task_loss,probes_per_task,objective,sql_calls,cpu_ms,unchanged_schema
30008,myopic,0.5,0.35,0.25,0.38,68,2.525710999975672,True
30008,recheck,0.875,0.075,0.5,0.135,78,2.9861019999088967,True
30009,never,0.7,0.2375,0.05,0.2435,57,2.5959359999205844,True
30009,fresh,1.0,0.0,1.425,0.17099999999999999,112,3.073121999932482,True
30009,myopic,0.75,0.15,0.3,0.186,67,2.8542640000068786,True
30009,recheck,0.9,0.05,0.525,0.11299999999999999,76,3.0688760000430193,True
30010,never,1.0,0.0,0.05,0.006,8,1.9921699999940756,True
30010,fresh,1.0,0.0,0.2,0.024,14,2.0474930000773384,True
30010,myopic,1.0,0.0,0.125,0.015,11,2.0254799999293027,True
30010,recheck,1.0,0.0,0.15,0.018,12,2.452469999980167,True
30011,never,0.925,0.0375,0.05,0.0435,26,2.262055000073815,True
30011,fresh,1.0,0.0,0.65,0.078,50,2.3043090000101074,True
30011,myopic,0.95,0.025,0.15,0.043,30,2.249567000035313,True
30011,recheck,1.0,0.0,0.225,0.027000000000000003,33,2.7546139999685693,True
30012,never,0.525,0.45,0.05,0.45599999999999996,54,2.7423859999089473,True
30012,fresh,1.0,0.0,1.35,0.16199999999999998,106,2.6565570000229854,True
30012,myopic,0.8,0.1375,0.325,0.17650000000000002,65,2.599801999963347,True
30012,recheck,0.925,0.0625,0.55,0.1285,74,3.037789000018165,True
30013,never,0.675,0.275,0.05,0.281,44,2.499251000017466,True
30013,fresh,1.0,0.0,1.1,0.13199999999999998,86,2.636227000039071,True
30013,myopic,1.0,0.0,0.325,0.039,55,2.4961660000144548,True
30013,recheck,0.925,0.075,0.5,0.135,62,2.9701580000391914,True
30014,never,1.0,0.0,0.05,0.006,18,2.186692000009316,True
30014,fresh,1.0,0.0,0.45,0.054000000000000006,34,2.2320799999988594,True
30014,myopic,1.0,0.0,0.175,0.020999999999999998,23,2.1916690000125527,True
30014,recheck,1.0,0.0,0.275,0.032999999999999995,27,2.677839000057247,True
30015,never,0.675,0.2875,0.05,0.2935,48,2.5435879999804456,True
30015,fresh,1.0,0.0,1.2,0.144,94,2.625680000051034,True
30015,myopic,0.75,0.2125,0.275,0.2455,57,2.5543230000266703,True
30015,recheck,0.925,0.0375,0.425,0.0885,63,3.032572000051914,True
30016,never,0.8,0.1625,0.05,0.1685,20,2.145489999975325,True
30016,fresh,1.0,0.0,0.5,0.06,38,2.1740319999707935,True
30016,myopic,0.9,0.075,0.175,0.096,25,2.216447000023436,True
30016,recheck,0.95,0.0375,0.25,0.0675,28,2.6482250000299246,True
30017,never,0.7,0.2125,0.05,0.2185,32,2.3488850000603634,True
30017,fresh,1.0,0.0,0.8,0.096,62,2.374302999896827,True
30017,myopic,0.95,0.025,0.225,0.052000000000000005,39,2.3927009999624715,True
30017,recheck,0.95,0.025,0.325,0.064,43,3.125561000047128,True
30018,never,0.975,0.0125,0.05,0.0185,49,2.5795419999212754,True
30018,fresh,1.0,0.0,1.225,0.147,96,2.5188910000224496,True
30018,myopic,1.0,0.0,0.225,0.027000000000000003,56,2.41571499998372,True
30018,recheck,1.0,0.0,0.375,0.045,62,2.849486000059187,True
30019,never,0.6,0.325,0.05,0.331,38,2.4109590000307435,True
30019,fresh,1.0,0.0,0.95,0.11399999999999999,74,2.4635669999497622,True
30019,myopic,0.85,0.075,0.225,0.10200000000000001,45,2.449025000032634,True
30019,recheck,0.95,0.025,0.375,0.06999999999999999,51,2.9196409999485695,True
30020,never,0.95,0.025,0.05,0.031,50,2.5578890000588217,True
30020,fresh,1.0,0.0,1.25,0.15,98,2.5697669999544814,True
30020,myopic,0.875,0.0625,0.225,0.0895,57,2.513201000056142,True
30020,recheck,0.975,0.0125,0.375,0.057499999999999996,63,3.581815999950777,True
30021,never,0.575,0.375,0.05,0.381,41,3.3314089999976204,True
30021,fresh,1.0,0.0,1.025,0.123,80,4.539864000093985,True
30021,myopic,0.9,0.05,0.225,0.077,48,4.75362400004542,True
30021,recheck,1.0,0.0,0.4,0.048,55,3.135816999929375,True
30022,never,0.675,0.1625,0.05,0.1685,40,3.558400999963851,True
30022,fresh,1.0,0.0,1.0,0.12,78,3.238010000018221,True
30022,myopic,0.925,0.0375,0.175,0.058499999999999996,45,3.1627569999272964,True
30022,recheck,0.95,0.025,0.35,0.06699999999999999,52,3.8491169999588237,True
30023,never,0.875,0.0875,0.05,0.0935,58,3.0488060000379846,True
30023,fresh,1.0,0.0,1.45,0.174,114,3.2194710000794657,True
30023,myopic,0.9,0.075,0.275,0.10800000000000001,67,3.0807239999148806,True
30023,recheck,0.925,0.0625,0.5,0.12250000000000001,76,3.3734329999788315,True
30024,never,1.0,0.0,0.05,0.006,18,2.2200419999762744,True
30024,fresh,1.0,0.0,0.45,0.054000000000000006,34,3.8964379999697485,True
30024,myopic,1.0,0.0,0.175,0.020999999999999998,23,2.6979900000014823,True
30024,recheck,1.0,0.0,0.225,0.027000000000000003,25,3.470459000027404,True
30025,never,0.825,0.175,0.05,0.181,14,3.788196000073185,True
30025,fresh,1.0,0.0,0.35,0.041999999999999996,26,5.529158000058487,True
30025,myopic,0.875,0.125,0.15,0.143,18,2.1680739999965226,True
30025,recheck,0.925,0.075,0.175,0.096,19,4.421785999966232,True
30026,never,0.9,0.075,0.05,0.081,44,3.3496720000130153,True
30026,fresh,1.0,0.0,1.1,0.13199999999999998,86,2.8321409999989555,True
30026,myopic,0.925,0.0625,0.3,0.0985,54,3.0378989999917394,True
30026,recheck,0.975,0.0125,0.45,0.0665,60,4.33024899996326,True
30027,never,0.25,0.6875,0.05,0.6935,67,3.707564000023922,True
30027,fresh,1.0,0.0,1.675,0.20099999999999998,132,3.4508090000144875,True
30027,myopic,0.5,0.3,0.25,0.32999999999999996,75,3.022515999987263,True
30027,recheck,0.875,0.0625,0.5,0.12250000000000001,85,3.290459000027113,True
30028,never,0.725,0.275,0.05,0.281,35,2.5904370000944255,True
30028,fresh,1.0,0.0,0.875,0.10500000000000001,68,2.686893000031887,True
30028,myopic,0.875,0.125,0.225,0.152,42,2.550218000010318,True
30028,recheck,0.975,0.025,0.35,0.06699999999999999,47,4.584791000070254,True
30029,never,0.575,0.425,0.05,0.43099999999999994,37,2.9381299999613475,True
30029,fresh,1.0,0.0,0.925,0.11099999999999999,72,2.4574779999966267,True
30029,myopic,0.825,0.175,0.3,0.211,47,2.4932920000537706,True
30029,recheck,0.925,0.075,0.45,0.129,53,3.1373189999612805,True
30030,never,0.4,0.6,0.05,0.606,40,3.3085659999869677,True
30030,fresh,1.0,0.0,1.0,0.12,78,2.8569680000600783,True
30030,myopic,0.775,0.175,0.225,0.202,47,2.5774990000400066,True
30030,recheck,0.95,0.05,0.35,0.092,52,3.330419000008078,True
30031,never,0.9,0.05,0.05,0.05600000000000001,24,4.652743000065129,True
30031,fresh,1.0,0.0,0.6,0.072,46,2.480021999986093,True
30031,myopic,1.0,0.0,0.175,0.020999999999999998,29,2.2375979999651463,True
30031,recheck,1.0,0.0,0.25,0.03,32,2.675646000056986,True
