hazard,rho,price,method,parameter,objective
0.01,0.9,0.12,ttl,20.0,0.0396796875
0.01,0.9,0.12,ttl,40.0,0.0516796875
0.01,0.9,0.12,entropy,0.01,0.11062499999999999
0.01,0.9,0.12,entropy,0.03,0.047328125
0.01,0.9,0.12,entropy,0.06,0.04250781249999999
0.01,0.9,0.12,entropy,0.1,0.047710937499999995
0.01,0.9,0.12,entropy,0.18,0.04346875
0.01,0.9,0.12,entropy,0.3,0.06791406250000001
0.01,0.9,0.12,entropy,0.45,0.09021874999999999
0.01,0.9,0.12,random,0.0,0.09025781249999999
0.01,0.9,0.12,random,0.1,0.047453125
0.01,0.9,0.12,random,0.25,0.055632812499999997
0.01,0.9,0.12,random,0.5,0.0784453125
0.01,0.9,0.12,random,0.75,0.11243749999999998
0.01,0.9,0.12,random,1.0,0.1464375
0.01,0.9,0.35,ttl,1.0,0.42710937499999996
0.01,0.9,0.35,ttl,2.0,0.23164062499999996
0.01,0.9,0.35,ttl,3.0,0.1650390625
0.01,0.9,0.35,ttl,5.0,0.116328125
0.01,0.9,0.35,ttl,8.0,0.09281249999999999
0.01,0.9,0.35,ttl,12.0,0.0809375
0.01,0.9,0.35,ttl,20.0,0.06968749999999999
0.01,0.9,0.35,ttl,40.0,0.07234375
0.01,0.9,0.35,entropy,0.01,0.31906249999999997
0.01,0.9,0.35,entropy,0.03,0.1298046875
0.01,0.9,0.35,entropy,0.06,0.096953125
0.01,0.9,0.35,entropy,0.1,0.087421875
0.01,0.9,0.35,entropy,0.18,0.07078124999999999
0.01,0.9,0.35,entropy,0.3,0.08660156249999999
0.01,0.9,0.35,entropy,0.45,0.1026171875
0.01,0.9,0.35,random,0.0,0.10175781249999999
0.01,0.9,0.35,random,0.1,0.08734375
0.01,0.9,0.35,random,0.25,0.13613281249999998
0.01,0.9,0.35,random,0.5,0.22273437499999998
0.01,0.9,0.35,random,0.75,0.325546875
0.01,0.9,0.35,random,1.0,0.42710937499999996
0.05,0.2,0.04,ttl,1.0,0.048468750000000005
0.05,0.2,0.04,ttl,2.0,0.040828125
0.05,0.2,0.04,ttl,3.0,0.0399140625
0.05,0.2,0.04,ttl,5.0,0.0418671875
0.05,0.2,0.04,ttl,8.0,0.0628984375
0.05,0.2,0.04,ttl,12.0,0.0886875
0.05,0.2,0.04,ttl,20.0,0.1177265625
0.05,0.2,0.04,ttl,40.0,0.16407812500000002
0.05,0.2,0.04,entropy,0.01,0.048468750000000005
0.05,0.2,0.04,entropy,0.03,0.04684375
0.05,0.2,0.04,entropy,0.06,0.040507812500000004
0.05,0.2,0.04,entropy,0.1,0.039226562500000006
0.05,0.2,0.04,entropy,0.18,0.048859375
0.05,0.2,0.04,entropy,0.3,0.0678125
0.05,0.2,0.04,entropy,0.45,0.131375
0.05,0.2,0.04,random,0.0,0.22071093749999998
0.05,0.2,0.04,random,0.1,0.13932031250000002
0.05,0.2,0.04,random,0.25,0.09721093750000001
0.05,0.2,0.04,random,0.5,0.067359375
0.05,0.2,0.04,random,0.75,0.056257812500000004
0.05,0.2,0.04,random,1.0,0.048468750000000005
0.05,0.2,0.12,ttl,1.0,0.14540625000000001
0.05,0.2,0.12,ttl,2.0,0.109828125
0.05,0.2,0.12,ttl,3.0,0.09591406250000001
0.05,0.2,0.12,ttl,5.0,0.0844296875
0.05,0.2,0.12,ttl,8.0,0.0943984375
0.05,0.2,0.12,ttl,12.0,0.11231250000000001
0.05,0.2,0.12,ttl,20.0,0.13341406249999999
0.05,0.2,0.12,ttl,40.0,0.172703125
0.05,0.2,0.12,entropy,0.01,0.14540625000000001
0.05,0.2,0.12,entropy,0.03,0.13553125
0.05,0.2,0.12,entropy,0.06,0.11394531249999999
0.05,0.2,0.12,entropy,0.1,0.09541406250000001
0.05,0.2,0.12,entropy,0.18,0.090796875
0.05,0.2,0.12,entropy,0.3,0.09593750000000001
0.05,0.2,0.12,entropy,0.45,0.145375
0.05,0.2,0.12,random,0.0,0.22471093749999999
0.05,0.2,0.12,random,0.1,0.1522578125
0.05,0.2,0.12,random,0.25,0.12264843750000001
0.05,0.2,0.12,random,0.5,0.115359375
0.05,0.2,0.12,random,0.75,0.1277578125
0.05,0.2,0.12,random,1.0,0.14540625000000001
0.05,0.2,0.35,ttl,1.0,0.4241015625
0.05,0.2,0.35,ttl,2.0,0.308203125
0.05,0.2,0.35,ttl,3.0,0.25691406250000004
0.05,0.2,0.35,ttl,5.0,0.206796875
0.05,0.2,0.35,ttl,8.0,0.18496093749999998
0.05,0.2,0.35,ttl,12.0,0.180234375
0.05,0.2,0.35,ttl,20.0,0.178515625
0.05,0.2,0.35,ttl,40.0,0.19749999999999998
0.05,0.2,0.35,entropy,0.01,0.4241015625
0.05,0.2,0.35,entropy,0.03,0.39050781249999994
0.05,0.2,0.35,entropy,0.06,0.325078125
0.05,0.2,0.35,entropy,0.1,0.256953125
0.05,0.2,0.35,entropy,0.18,0.21136718749999997
0.05,0.2,0.35,entropy,0.3,0.17679687499999996
0.05,0.2,0.35,entropy,0.45,0.185625
0.05,0.2,0.35,random,0.0,0.23621093749999997
0.05,0.2,0.35,random,0.1,0.189453125
0.05,0.2,0.35,random,0.25,0.19578124999999996
0.05,0.2,0.35,random,0.5,0.253359375
0.05,0.2,0.35,random,0.75,0.33332031249999994
0.05,0.2,0.35,random,1.0,0.4241015625
0.05,0.9,0.04,ttl,1.0,0.048812499999999995
0.05,0.9,0.04,ttl,2.0,0.035250000000000004
0.05,0.9,0.04,ttl,3.0,0.033703125
0.05,0.9,0.04,ttl,5.0,0.0438203125
0.05,0.9,0.04,ttl,8.0,0.0551484375
0.05,0.9,0.04,ttl,12.0,0.07425
0.05,0.9,0.04,ttl,20.0,0.0785390625
0.05,0.9,0.04,ttl,40.0,0.115546875
0.05,0.9,0.04,entropy,0.01,0.048812499999999995
0.05,0.9,0.04,entropy,0.03,0.045875
0.05,0.9,0.04,entropy,0.06,0.0365703125
0.05,0.9,0.04,entropy,0.1,0.037539062500000005
0.05,0.9,0.04,entropy,0.18,0.043640625
0.05,0.9,0.04,entropy,0.3,0.068265625
0.05,0.9,0.04,entropy,0.45,0.10767187499999999
0.05,0.9,0.04,random,0.0,0.2070390625
0.05,0.9,0.04,random,0.1,0.11057031249999998
0.05,0.9,0.04,random,0.25,0.072828125
0.05,0.9,0.04,random,0.5,0.04790625
0.05,0.9,0.04,random,0.75,0.04467968750000001
0.05,0.9,0.04,random,1.0,0.048812499999999995
0.05,0.9,0.12,ttl,1.0,0.1464375
0.05,0.9,0.12,ttl,2.0,0.08762500000000001
0.05,0.9,0.12,ttl,3.0,0.07064062499999998
0.05,0.9,0.12,ttl,5.0,0.0685703125
0.05,0.9,0.12,ttl,8.0,0.0733359375
0.05,0.9,0.12,ttl,12.0,0.08837499999999998
0.05,0.9,0.12,ttl,20.0,0.0889765625
0.05,0.9,0.12,ttl,40.0,0.12273437499999998
0.05,0.9,0.12,entropy,0.01,0.1464375
0.05,0.9,0.12,entropy,0.03,0.13106249999999997
0.05,0.9,0.12,entropy,0.06,0.0958828125
0.05,0.9,0.12,entropy,0.1,0.0753515625
0.05,0.9,0.12,entropy,0.18,0.06889062500000001
0.05,0.9,0.12,entropy,0.3,0.084328125
0.05,0.9,0.12,entropy,0.45,0.11723437499999999
0.05,0.9,0.12,random,0.0,0.21103906249999999
0.05,0.9,0.12,random,0.1,0.12444531249999997
0.05,0.9,0.12,random,0.25,0.100828125
0.05,0.9,0.12,random,0.5,0.09809375000000001
0.05,0.9,0.12,random,0.75,0.11880468749999999
0.05,0.9,0.12,random,1.0,0.1464375
0.05,0.9,0.35,ttl,1.0,0.42710937499999996
0.05,0.9,0.35,ttl,2.0,0.238203125
0.05,0.9,0.35,ttl,3.0,0.17683593749999998
0.05,0.9,0.35,ttl,5.0,0.13972656249999998
0.05,0.9,0.35,ttl,8.0,0.125625
0.05,0.9,0.35,ttl,12.0,0.128984375
0.05,0.9,0.35,ttl,20.0,0.118984375
0.05,0.9,0.35,ttl,40.0,0.14339843749999998
0.05,0.9,0.35,entropy,0.01,0.42710937499999996
0.05,0.9,0.35,entropy,0.03,0.3759765625
0.05,0.9,0.35,entropy,0.06,0.26640624999999996
0.05,0.9,0.35,entropy,0.1,0.18406249999999996
0.05,0.9,0.35,entropy,0.18,0.141484375
0.05,0.9,0.35,entropy,0.3,0.1305078125
0.05,0.9,0.35,entropy,0.45,0.1447265625
0.05,0.9,0.35,random,0.0,0.2225390625
0.05,0.9,0.35,random,0.1,0.16433593749999997
0.05,0.9,0.35,random,0.25,0.18132812499999998
0.05,0.9,0.35,random,0.5,0.24238281249999996
0.05,0.9,0.35,random,0.75,0.3319140625
0.05,0.9,0.35,random,1.0,0.42710937499999996
0.15,0.2,0.04,ttl,1.0,0.048468750000000005
0.15,0.2,0.04,ttl,2.0,0.054929687500000005
0.15,0.2,0.04,ttl,3.0,0.0668671875
0.15,0.2,0.04,ttl,5.0,0.0904609375
0.15,0.2,0.04,ttl,8.0,0.1179375
0.15,0.2,0.04,ttl,12.0,0.14997656250000002
0.15,0.2,0.04,ttl,20.0,0.174875
0.15,0.2,0.04,ttl,40.0,0.21540625000000002
0.15,0.2,0.04,entropy,0.01,0.048468750000000005
0.15,0.2,0.04,entropy,0.03,0.048468750000000005
0.15,0.2,0.04,entropy,0.06,0.048468750000000005
0.15,0.2,0.04,entropy,0.1,0.04903125
0.15,0.2,0.04,entropy,0.18,0.048281250000000005
0.15,0.2,0.04,entropy,0.3,0.0719453125
0.15,0.2,0.04,entropy,0.45,0.1316875
0.15,0.2,0.04,random,0.0,0.23660937499999998
0.15,0.2,0.04,random,0.1,0.20951562499999998
0.15,0.2,0.04,random,0.25,0.1523671875
0.15,0.2,0.04,random,0.5,0.10857031250000002
0.15,0.2,0.04,random,0.75,0.0794609375
0.15,0.2,0.04,random,1.0,0.048468750000000005
0.15,0.2,0.12,ttl,1.0,0.14540625000000001
0.15,0.2,0.12,ttl,2.0,0.1239296875
0.15,0.2,0.12,ttl,3.0,0.1228671875
0.15,0.2,0.12,ttl,5.0,0.1330234375
0.15,0.2,0.12,ttl,8.0,0.1494375
0.15,0.2,0.12,ttl,12.0,0.1736015625
0.15,0.2,0.12,ttl,20.0,0.19056250000000002
0.15,0.2,0.12,ttl,40.0,0.22403125000000002
0.15,0.2,0.12,entropy,0.01,0.14540625000000001
0.15,0.2,0.12,entropy,0.03,0.14540625000000001
0.15,0.2,0.12,entropy,0.06,0.14540625000000001
0.15,0.2,0.12,entropy,0.1,0.13771875
0.15,0.2,0.12,entropy,0.18,0.12171874999999999
0.15,0.2,0.12,entropy,0.3,0.1257578125
0.15,0.2,0.12,entropy,0.45,0.165375
0.15,0.2,0.12,random,0.0,0.240609375
0.15,0.2,0.12,random,0.1,0.22245312500000003
0.15,0.2,0.12,random,0.25,0.1778046875
0.15,0.2,0.12,random,0.5,0.1565703125
0.15,0.2,0.12,random,0.75,0.1509609375
0.15,0.2,0.12,random,1.0,0.14540625000000001
0.15,0.2,0.35,ttl,1.0,0.4241015625
0.15,0.2,0.35,ttl,2.0,0.32230468749999996
0.15,0.2,0.35,ttl,3.0,0.28386718749999995
0.15,0.2,0.35,ttl,5.0,0.255390625
0.15,0.2,0.35,ttl,8.0,0.24
0.15,0.2,0.35,ttl,12.0,0.24152343750000002
0.15,0.2,0.35,ttl,20.0,0.2356640625
0.15,0.2,0.35,ttl,40.0,0.248828125
0.15,0.2,0.35,entropy,0.01,0.4241015625
0.15,0.2,0.35,entropy,0.03,0.4241015625
0.15,0.2,0.35,entropy,0.06,0.4241015625
0.15,0.2,0.35,entropy,0.1,0.3926953125
0.15,0.2,0.35,entropy,0.18,0.33285156250000003
0.15,0.2,0.35,entropy,0.3,0.28046874999999993
0.15,0.2,0.35,entropy,0.45,0.2622265625
0.15,0.2,0.35,random,0.0,0.25210937499999997
0.15,0.2,0.35,random,0.1,0.2596484375
0.15,0.2,0.35,random,0.25,0.2509375
0.15,0.2,0.35,random,0.5,0.2945703125
0.15,0.2,0.35,random,0.75,0.3565234375
0.15,0.2,0.35,random,1.0,0.4241015625
0.15,0.9,0.04,ttl,1.0,0.048812499999999995
0.15,0.9,0.04,ttl,2.0,0.05634375
0.15,0.9,0.04,ttl,3.0,0.0696796875
0.15,0.9,0.04,ttl,5.0,0.09964062499999998
0.15,0.9,0.04,ttl,8.0,0.1301875
0.15,0.9,0.04,ttl,12.0,0.16096875000000002
0.15,0.9,0.04,ttl,20.0,0.1696328125
0.15,0.9,0.04,ttl,40.0,0.176875
0.15,0.9,0.04,entropy,0.01,0.048812499999999995
0.15,0.9,0.04,entropy,0.03,0.048812499999999995
0.15,0.9,0.04,entropy,0.06,0.048812499999999995
0.15,0.9,0.04,entropy,0.1,0.05196875
0.15,0.9,0.04,entropy,0.18,0.05637500000000001
0.15,0.9,0.04,entropy,0.3,0.0835703125
0.15,0.9,0.04,entropy,0.45,0.1448046875
0.15,0.9,0.04,random,0.0,0.21387499999999998
0.15,0.9,0.04,random,0.1,0.15584375
0.15,0.9,0.04,random,0.25,0.12298437499999999
0.15,0.9,0.04,random,0.5,0.0853671875
0.15,0.9,0.04,random,0.75,0.05827343749999999
0.15,0.9,0.04,random,1.0,0.048812499999999995
0.15,0.9,0.12,ttl,1.0,0.1464375
0.15,0.9,0.12,ttl,2.0,0.10871875
0.15,0.9,0.12,ttl,3.0,0.10661718749999999
0.15,0.9,0.12,ttl,5.0,0.124390625
0.15,0.9,0.12,ttl,8.0,0.148375
0.15,0.9,0.12,ttl,12.0,0.17509375000000002
0.15,0.9,0.12,ttl,20.0,0.1800703125
0.15,0.9,0.12,ttl,40.0,0.18406250000000002
0.15,0.9,0.12,entropy,0.01,0.1464375
0.15,0.9,0.12,entropy,0.03,0.1464375
0.15,0.9,0.12,entropy,0.06,0.1464375
0.15,0.9,0.12,entropy,0.1,0.13715624999999998
0.15,0.9,0.12,entropy,0.18,0.11568749999999998
0.15,0.9,0.12,entropy,0.3,0.1190703125
0.15,0.9,0.12,entropy,0.45,0.1644921875
0.15,0.9,0.12,random,0.0,0.21787499999999999
0.15,0.9,0.12,random,0.1,0.16971875
0.15,0.9,0.12,random,0.25,0.15098437499999998
0.15,0.9,0.12,random,0.5,0.1355546875
0.15,0.9,0.12,random,0.75,0.13239843750000002
0.15,0.9,0.12,random,1.0,0.1464375
0.15,0.9,0.35,ttl,1.0,0.42710937499999996
0.15,0.9,0.35,ttl,2.0,0.259296875
0.15,0.9,0.35,ttl,3.0,0.21281249999999996
0.15,0.9,0.35,ttl,5.0,0.195546875
0.15,0.9,0.35,ttl,8.0,0.2006640625
0.15,0.9,0.35,ttl,12.0,0.21570312500000002
0.15,0.9,0.35,ttl,20.0,0.210078125
0.15,0.9,0.35,ttl,40.0,0.20472656250000001
0.15,0.9,0.35,entropy,0.01,0.42710937499999996
0.15,0.9,0.35,entropy,0.03,0.42710937499999996
0.15,0.9,0.35,entropy,0.06,0.42710937499999996
0.15,0.9,0.35,entropy,0.1,0.3820703125
0.15,0.9,0.35,entropy,0.18,0.2862109375
0.15,0.9,0.35,entropy,0.3,0.2211328125
0.15,0.9,0.35,entropy,0.45,0.22109374999999998
0.15,0.9,0.35,random,0.0,0.22937499999999994
0.15,0.9,0.35,random,0.1,0.209609375
0.15,0.9,0.35,random,0.25,0.231484375
0.15,0.9,0.35,random,0.5,0.27984374999999995
0.15,0.9,0.35,random,0.75,0.34550781249999996
0.15,0.9,0.35,random,1.0,0.42710937499999996
