condition,seed,family,method,cost,normalized_cost,planning_ms,execution_ms,probes,recomputed_blocks,retained_hypotheses,fallback,states_evaluated,initial_digest,final_digest,current_ok,state_ok,followup_ok,complete
truth_omitted,20005,general,exact,14.5216,0.8321833810888252,33.06653300001017,1.612238999996407,2,2,4,False,4905,8cc0884194bf20fd4474262a557f70e8d99095a8dbd36b2c1758c2c41110035b,2835678baae09ad123c8f30df023d5f9e49d22b7420a0414544ad2082029996f,True,False,False,False
covered,20006,general,exact,17.45,1.0,39.71326699991096,2.0039080001197362,1,3,12,False,5445,e86a0fc5bc5fafb1328a8c2bafa46d9241655f2327903a1597874c5a55f99b7c,d60bae1b6a26b65dfce95b5ec13a02a767d97de2585fda8ea09b24a6c0c9d7b9,True,True,True,True
truth_omitted,20006,general,exact,10.45,0.5988538681948424,33.33411400012665,1.6734219999534616,2,2,4,False,4905,e86a0fc5bc5fafb1328a8c2bafa46d9241655f2327903a1597874c5a55f99b7c,734cc71209b1eba2ff4ad8c92e0498ab9fc7a319716fe9f492059012acf26a96,False,False,False,False
covered,20007,general,exact,18.45,1.0,39.616442000010466,1.7861710000488529,2,3,4,False,5445,ec7b1d7675d1ea9ceb795f6e76c23267c6d94eefdadf405b63ffac0cf7cca9b0,68b0a23cbc1e67ba7d0751574d3f9febe171e948add10967769f30a0abd5c15e,True,True,True,True
truth_omitted,20007,general,exact,18.45,1.0,34.93079999998372,1.6132210000705527,2,3,8,True,4824,ec7b1d7675d1ea9ceb795f6e76c23267c6d94eefdadf405b63ffac0cf7cca9b0,68b0a23cbc1e67ba7d0751574d3f9febe171e948add10967769f30a0abd5c15e,True,True,True,True
covered,20008,general,exact,15.45,1.0,38.74103800001194,1.733159999957934,2,3,4,False,5445,c5eb9d7b5c2b29d62350a8f3c8adc1339aeedd556ba3c1d66a3d09188b2c8a36,f41d1f21a46e9d4e14145220c9d1402195d48ee8f525634d259f19984f495a64,True,True,True,True
truth_omitted,20008,general,exact,15.45,1.0,34.467429000073935,1.5459579999514972,2,3,8,True,4824,c5eb9d7b5c2b29d62350a8f3c8adc1339aeedd556ba3c1d66a3d09188b2c8a36,f41d1f21a46e9d4e14145220c9d1402195d48ee8f525634d259f19984f495a64,True,True,True,True
covered,20009,general,exact,12.635,0.6496143958868895,39.05260600004112,1.8395689999124443,3,2,4,False,5445,33d12a716aeb54ac398c61f2f5bf7e3d258506807cde6f7b2f71cb745c0add2b,63f03da08b1edbcf95b4d9d67390b36b78c43a80fa35e3d566e77534c7c499ca,True,True,True,True
truth_omitted,20009,general,exact,19.45,1.0,33.898454999985006,1.736024000024372,2,3,4,False,4905,33d12a716aeb54ac398c61f2f5bf7e3d258506807cde6f7b2f71cb745c0add2b,63f03da08b1edbcf95b4d9d67390b36b78c43a80fa35e3d566e77534c7c499ca,True,True,True,True
covered,20010,general,exact,15.0161,0.9128328267477204,38.73791499995605,1.6448569999738538,3,2,4,False,5445,12e054172de5c1dfd74fde2d64dc05c11439ff88cc569458d0405c370af17538,087fcc8243e523f9c20080068aa3d9b9a045cbc9d84b094da33d7b14b5a55235,True,True,True,True
truth_omitted,20010,general,exact,9.7677,0.5937811550151976,33.62037700003384,1.5307369999391085,2,1,4,False,4905,12e054172de5c1dfd74fde2d64dc05c11439ff88cc569458d0405c370af17538,fd8867410a537ea77c167d64d56ebb6af84fd153f8b63d5a4bd264db30c87bd1,True,False,False,False
covered,20011,general,exact,13.45,1.0,38.274568999895564,1.5142610001248613,1,3,16,False,5445,9dc9b1421df1acf4de570a2beef405aa56a88879a5458990f62b210b5f6fa00c,c2faef9916210f0ceced1b4daa39d59fe63dc0077e4b9eecc36e8b6d3a300331,True,True,True,True
truth_omitted,20011,general,exact,10.45,0.7769516728624535,33.94137000009323,1.6095529999802238,2,2,4,False,4905,9dc9b1421df1acf4de570a2beef405aa56a88879a5458990f62b210b5f6fa00c,136d9ac99fca27812f04f0c91a09c212b12bcfb741d69ddc36761497ef79aa09,True,False,False,False
covered,20012,general,exact,19.316399999999998,1.3367750865051902,38.72329099999661,1.8358849999913218,4,3,4,False,5445,4839ce47d6a01c39c6a7eedd81b42053656660727b19891cffbad1cd269cbc40,e059264a01b66bcf55304f60f1bcf343d6181d6938979f6b92548692673b0431,True,True,True,True
truth_omitted,20012,general,exact,7.5944,0.5255640138408305,33.17888499998389,1.9347229999766569,2,1,4,False,4905,4839ce47d6a01c39c6a7eedd81b42053656660727b19891cffbad1cd269cbc40,40d17be9daa17f9f8cbddd1b9711b4482075efa058968261b282c17703521429,False,False,False,False
covered,20013,general,exact,15.8887,1.0995640138408305,38.873987999977544,1.7374870000139708,3,3,4,False,5445,277252d119871de8697c24ae6b986853b6a704a10aabe118aea6460a4cdfe0e3,7ebe1ebb06c984ad87c0f96b394e58f5f52a865eeecdc2132bf417e0eb498ee9,True,True,True,True
truth_omitted,20013,general,exact,8.8887,0.6151349480968858,33.63616100011768,1.5916779998406128,2,1,4,False,4905,277252d119871de8697c24ae6b986853b6a704a10aabe118aea6460a4cdfe0e3,81f938a8bc2d54a2a5c7c0f84aa52a0699cd76090259ca077f560378c144e246,True,False,False,False
covered,20014,general,exact,16.1345,0.7521911421911421,38.4387340000103,1.7144619999953647,3,2,4,False,5445,da759191ad96ac4cd2b6f9214db406ec3c0aa3ed1fac33df285927b7262317e5,e3f466bfd057e6eb2a197ece7427fde76d65b4c95257e921c5e37df1bda63347,True,True,True,True
truth_omitted,20014,general,exact,21.45,1.0,35.24788899994746,1.5651280001520718,2,3,4,False,4824,da759191ad96ac4cd2b6f9214db406ec3c0aa3ed1fac33df285927b7262317e5,e3f466bfd057e6eb2a197ece7427fde76d65b4c95257e921c5e37df1bda63347,True,True,True,True
covered,20015,general,exact,11.8338,0.6084215938303342,38.53470899991862,1.6576560001340113,3,2,4,False,5445,0fc12a0e6bfe4803b1cd37e72e5e426328e66ab8448a7a394d4eec5058073d0e,84ba48fdf0c598a3a71520513856c98ecefab4f8a25f6f7de19506ca2b3d707c,True,True,True,True
truth_omitted,20015,general,exact,16.4584,0.846190231362468,52.192997000020114,13.999156999943807,2,2,4,False,4905,0fc12a0e6bfe4803b1cd37e72e5e426328e66ab8448a7a394d4eec5058073d0e,171605d4d9614acb23dcfd49633de8e9043f84363033c6ac9f133789eb9ec6af,True,False,False,False
covered,20016,general,exact,18.45,1.0,38.54397300005985,1.854481999998825,2,3,8,False,5445,196d91f6add0b87fbb5cba5ef2ee7d57c86285e1eec071ee80e86b7989bcfb7f,54f85d5473e175cd839338f3d5fc82fb82d08f44a3e4d17006fbd712069c9961,True,True,True,True
truth_omitted,20016,general,exact,14.497399999999999,0.7857669376693767,33.688299999880655,1.6454470001008303,2,2,4,False,4905,196d91f6add0b87fbb5cba5ef2ee7d57c86285e1eec071ee80e86b7989bcfb7f,8a2a6e95c771c725a5edaa191a3518513eea41e584dd3000022da1fdc5f26900,True,False,False,False
covered,20017,general,exact,16.0005,0.7127171492204899,38.249020999955974,1.6426640000872794,3,1,4,False,5445,c7733e5b357c37b341552f90abaa205151d13da35a6562332aa3008ec36382c0,ea1a2ad59865d1ff9accf13063361048f9d6d2a5a47adf14bc6d8d01c8c572ef,True,True,True,True
truth_omitted,20017,general,exact,22.45,1.0,34.37846500003161,1.8011109999633845,2,3,8,True,4725,c7733e5b357c37b341552f90abaa205151d13da35a6562332aa3008ec36382c0,ea1a2ad59865d1ff9accf13063361048f9d6d2a5a47adf14bc6d8d01c8c572ef,True,True,True,True
covered,20018,general,exact,21.45,1.0,39.12840999987566,1.6231350001589817,1,3,16,False,5445,36f7278de35b3f9e3835bbe114c09dd2b8aea781dac3178657f475798590a858,e30dd9ecf4f9b4af79261f0519131526ae674566ac259ca029fac9f1cb646a05,True,True,True,True
truth_omitted,20018,general,exact,15.45,0.7202797202797203,33.75366800003121,1.5426940000224931,2,2,4,False,4878,36f7278de35b3f9e3835bbe114c09dd2b8aea781dac3178657f475798590a858,30609bbe364b4f180ff3484a23b41dd16eefd4c4daf2c6efa86da00a8c280793,False,False,False,False
covered,20019,general,exact,15.622799999999998,0.8467642276422763,39.42672599987418,1.7271120001396412,3,2,4,False,5445,99a378f379fa23e9c4b6853e11b9a5eb43ec0c0b3b3fbf831eb2dba231c0bd13,d7fe3488e99e5f229b42861d835f61606d17323ea2c8f03ecf2aba2437a87da6,True,True,True,True
truth_omitted,20019,general,exact,13.45,0.7289972899728997,33.218887000089126,1.7145409998420291,2,2,4,False,4878,99a378f379fa23e9c4b6853e11b9a5eb43ec0c0b3b3fbf831eb2dba231c0bd13,c4e2ffb7c2d5a2192656bf5886d8c6fcd97c3f1debfc197d8603bf8edd0c7a0c,True,False,False,False
covered,20020,general,exact,25.017699999999998,1.1663263403263402,39.39514900002905,1.7301760000236754,4,3,4,False,5445,d433e3eb432ab3e246fc2c906f9d852c08150cb58ae8003d047bd74a56948fa6,ba280a5f1eb26cb4b7d2c99a36709659d64bff477c17148d049aaf59ee1f7d59,True,True,True,True
truth_omitted,20020,general,exact,17.45,0.8135198135198135,33.67587200000344,1.5583969999397596,2,2,4,False,4905,d433e3eb432ab3e246fc2c906f9d852c08150cb58ae8003d047bd74a56948fa6,e0b634781f8dd7a5c285a320f9c72f126f86f695737b20730b14c02fd2cbeaf4,True,False,False,False
covered,20021,general,exact,10.7425,0.6530395136778115,40.14050800003588,1.6802199999119694,3,2,4,False,5445,c1e8073641780bd55696c009fb70e07f11becfff3c48f47e1fff037a3793296a,ade766c662fa97422bf1391d650b05852269556332ad05c50a293ba43389f006,True,True,True,True
truth_omitted,20021,general,exact,11.45,0.6960486322188449,33.69661300007465,1.868210999873554,2,2,4,False,4905,c1e8073641780bd55696c009fb70e07f11becfff3c48f47e1fff037a3793296a,d78ba6e8e1c900505d63201fa699828606e259e5d6c18da9acf04ca10249d218,True,False,False,False
covered,20022,general,exact,12.212699999999998,0.6998681948424068,41.341649999935726,1.811216000078275,3,1,4,False,5445,fdda712a82ffc177343e0bc9d9a97e23dc9e24098fb04fadcde44b5a1cde6a14,c9b437a701545b6cb753c8dc2ce2cdc857d6376595d56f4bb2f99c3d9e9ad1af,True,True,True,True
truth_omitted,20022,general,exact,17.45,1.0,34.6222809999972,1.4963639999905354,2,3,8,True,4824,fdda712a82ffc177343e0bc9d9a97e23dc9e24098fb04fadcde44b5a1cde6a14,c9b437a701545b6cb753c8dc2ce2cdc857d6376595d56f4bb2f99c3d9e9ad1af,True,True,True,True
covered,20023,general,exact,13.807599999999999,0.8393677811550152,38.21425800003908,1.7224439999381502,3,2,8,False,5445,740609df9512b2cf9c553ac28c5c3aa8449046d8f92af71932604701d48ea047,de5d0be3028ca0760df65e770aa8dd6e3939fb6127ea5e17374df48790a74970,True,True,True,True
truth_omitted,20023,general,exact,7.8076,0.4746261398176292,33.70325200012303,1.6762349998771242,3,1,4,False,4905,740609df9512b2cf9c553ac28c5c3aa8449046d8f92af71932604701d48ea047,38d882b9fa3805d5e00e671c674da8fcc31e95855e96d3d428c2a3b2799d098c,True,False,False,False
covered,20024,general,exact,16.4312,0.8034816625916871,38.54486399995949,1.8696540000746609,2,2,8,False,5445,8ef9947d3c8dae2c12b654289e4ada13fd7a2b51d467dce8fbff4aed69f41522,e9822a1ba338250b424b5a35a4307980bf754432ccbde170015c60d711afcf5d,True,True,True,True
truth_omitted,20024,general,exact,12.45,0.60880195599022,33.3711249999169,1.8151820000866792,2,2,4,False,4905,8ef9947d3c8dae2c12b654289e4ada13fd7a2b51d467dce8fbff4aed69f41522,f6d05f2dc7d48e7cf814699c51153ddacb48ee4a96490ad64e38ba1452900ecf,False,False,False,False
covered,20025,general,exact,22.45,1.0,38.39196399997036,1.6003220000584406,1,3,16,False,5445,7372bbe166fec37b90aafb9d43e2916ca317c972760c581add60c2684f63f559,439413a59ab969896d6cbad4d7b368586899d180cacfcdd7faa98faff2f61cc4,True,True,True,True
truth_omitted,20025,general,exact,15.45,0.688195991091314,34.00846899990029,1.5821040001355868,2,2,4,False,4878,7372bbe166fec37b90aafb9d43e2916ca317c972760c581add60c2684f63f559,b40199a1819a2f820470c00e5393807094f93e0a904c7a0b569691cf93d6f57a,True,False,False,False
covered,20026,general,exact,18.45,1.0,38.76947300000211,1.5066380000234858,2,3,8,False,5445,2b0006b4a62cf234e032b8d914d6041d73589702122ff74b8d6377acaf34d379,0d775086cb94f9024c56132d982ec6882fe5113852e70556b90a7ca7ed5cf105,True,True,True,True
truth_omitted,20026,general,exact,13.45,0.7289972899728997,33.316412999965905,1.6127180000466979,2,2,4,False,4878,2b0006b4a62cf234e032b8d914d6041d73589702122ff74b8d6377acaf34d379,bf53a81ec6851dda9a601662a9c90dae58d23b4a62cb8cb420544880bece6a84,True,False,False,False
covered,20027,general,exact,16.0959,0.716966592427617,38.36673699993298,1.621492000026592,3,2,4,False,5445,4030ee0a981d34769c7752af67473f593af88e338781aca5b539943e14500dd3,a76f97241c98a39064f451f4ef5101301947d85e56874563deee5dae4b5d5b0a,True,True,True,True
truth_omitted,20027,general,exact,22.45,1.0,34.119538000027205,1.400018999902386,1,3,8,False,4725,4030ee0a981d34769c7752af67473f593af88e338781aca5b539943e14500dd3,a76f97241c98a39064f451f4ef5101301947d85e56874563deee5dae4b5d5b0a,True,True,True,True
covered,20028,general,exact,11.035,0.6708206686930092,37.82578600009856,1.712818999862975,3,2,4,False,5445,cefcab706e47c7308f438a2084fea59820274d121fbd0afc0f6aa8e81cccf184,5bf2a47f707373b5f3b247221bf4dd3d256ba97d4a63f4330e6fae18e8a08e77,True,True,True,True
truth_omitted,20028,general,exact,16.45,1.0,35.7753700000103,1.5482620000284442,2,3,8,True,4824,cefcab706e47c7308f438a2084fea59820274d121fbd0afc0f6aa8e81cccf184,5bf2a47f707373b5f3b247221bf4dd3d256ba97d4a63f4330e6fae18e8a08e77,True,True,True,True
covered,20029,general,exact,10.256799999999998,0.7098131487889272,38.043590999905064,1.6736520001359168,3,2,4,False,5445,aa0828b8636feff6d3fa1cd7f57671c625e5652e0a68e138e5a06d7a542d7469,ee785b6ef7d6ce6055754451d031e0ffa0705d2139b8b4b111c58026374d4b1f,True,True,True,True
truth_omitted,20029,general,exact,7.2568,0.5022006920415225,33.82316199997604,1.6688430000613153,2,1,4,False,4905,aa0828b8636feff6d3fa1cd7f57671c625e5652e0a68e138e5a06d7a542d7469,b28e7b66be83dbaf517ccb72742a7c5f47c2deefda3c65db44c52beed2777198,True,False,False,False
covered,20030,general,exact,23.45,1.0,38.163953999969635,1.7344210000374005,2,3,4,False,5445,2490df1e399d8dba5f0e4a0e3d03deade44913337917895cc282baca91693668,005bed7c79c6b505d9358f5b884ce155091bc5402c75ea0e880e62b01405d135,True,True,True,True
truth_omitted,20030,general,exact,23.45,1.0,34.88635600001544,1.5827140000510553,2,3,8,True,4824,2490df1e399d8dba5f0e4a0e3d03deade44913337917895cc282baca91693668,005bed7c79c6b505d9358f5b884ce155091bc5402c75ea0e880e62b01405d135,True,True,True,True
covered,20031,general,exact,11.5688,0.8601338289962825,38.6618399999179,1.5591380000614663,2,2,8,False,5445,c99a1c9e5c61344ac36af779e675121692ecb8a95f9cdfb0e68d6a378bd777d8,9d20fab0f69ac3eb16c282cc5e165bd498015b2178a7ff776588b8afe4c1ee83,True,True,True,True
truth_omitted,20031,general,exact,9.45,0.7026022304832713,34.10518400005458,2.038818999949399,2,2,4,False,4878,c99a1c9e5c61344ac36af779e675121692ecb8a95f9cdfb0e68d6a378bd777d8,9c002e29a28e484e31761d324186d0fb40629924878dcb62ca9ab02376d1054a,True,False,False,False
covered,20032,general,exact,15.318299999999999,0.9312036474164134,39.78462500003843,1.8392779999203412,3,2,4,False,5445,3eb1b60a3fd77f4fdbf6a869a6e9139fb3f6fb1a159fba48ac37714d393f0ea4,daf575dcdbffd2b8fdf3b1d4cf3e82871e467bf7820d7747b801c5316c5b006b,True,True,True,True
truth_omitted,20032,general,exact,16.45,1.0,34.46555599987278,1.6896540001880567,1,3,8,False,4725,3eb1b60a3fd77f4fdbf6a869a6e9139fb3f6fb1a159fba48ac37714d393f0ea4,daf575dcdbffd2b8fdf3b1d4cf3e82871e467bf7820d7747b801c5316c5b006b,True,True,True,True
covered,20033,general,exact,18.8367,0.8781678321678322,38.87243500003024,1.676525999982914,3,2,4,False,5445,0d3ea7d125f55f3b9a94361098caf8c9a50d2fd22d58b71e889586499c38a87f,5b21d621cc67da8b00c47bb441a74c604653474606d5af1f85d7d67387714eee,True,True,True,True
truth_omitted,20033,general,exact,21.45,1.0,34.93556000000808,1.4917779999450431,2,3,8,True,4824,0d3ea7d125f55f3b9a94361098caf8c9a50d2fd22d58b71e889586499c38a87f,5b21d621cc67da8b00c47bb441a74c604653474606d5af1f85d7d67387714eee,True,True,True,True
covered,20034,general,exact,17.45,1.0,38.81330699994123,1.5475810000680212,1,3,12,False,5445,72a25d50631caa022e5bcde72f35dab35c84a5c0a991194bb08bf0b277cea62b,586e56b898e2eab66265770fb9de0e3747dba87afee3ec5142678a965fe71169,True,True,True,True
truth_omitted,20034,general,exact,17.45,1.0,35.098094999966634,1.469933999942441,1,3,8,False,4824,72a25d50631caa022e5bcde72f35dab35c84a5c0a991194bb08bf0b277cea62b,586e56b898e2eab66265770fb9de0e3747dba87afee3ec5142678a965fe71169,True,True,True,True
covered,20035,general,exact,23.45,1.0,38.63771400017413,1.5854879998187243,2,3,8,False,5445,560857b3798b47351fa0e18b5bc123f26cffae882ec7bdb19f0769c7cda2c451,4d396b470e2e22b60e4758c67fa759e0d8120cf4fe99d81c709616189182d6b3,True,True,True,True
truth_omitted,20035,general,exact,16.45,0.7014925373134329,33.887569999933476,2.030975000025137,2,2,4,False,4905,560857b3798b47351fa0e18b5bc123f26cffae882ec7bdb19f0769c7cda2c451,955aac0fb9a762a83982163d787c719db1cde7cdd3d6d8fe7b4f36469c82b018,False,False,False,False
covered,20036,general,exact,9.3658,0.8179737991266376,38.960559000088324,1.9920669999464735,3,2,4,False,5445,5fcfb7d4ccadbfc44fbc3a16402f0e3b94edc2e87cbbc58b1ed3bd9ee5edddd2,0b6c054b7b4bef1b58cd983d21fc9b26e9e94a6408cbf0ff7b0fe3b20f1d74c4,True,True,True,True
truth_omitted,20036,general,exact,7.8307,0.6839039301310045,33.49499000000833,1.584757000046011,3,1,4,False,4905,5fcfb7d4ccadbfc44fbc3a16402f0e3b94edc2e87cbbc58b1ed3bd9ee5edddd2,b492ae9d061a47bbf25538b3043a9111ad0fa8991315eb6c328ba19caa54bb2c,True,False,False,False
covered,20037,general,exact,24.45,1.0,39.09880399987742,1.5490450001607314,2,3,8,False,5445,84961e5ec4977ab80e263ef250554275179290c6756b99c9367508dba2234322,7c7115fe28307c30136b1c92641e93dbf5722945c5d4f49f1f7a795e8d783b3a,True,True,True,True
truth_omitted,20037,general,exact,20.138299999999997,0.8236523517382413,33.026816999949915,1.4895350000188046,2,2,4,False,4905,84961e5ec4977ab80e263ef250554275179290c6756b99c9367508dba2234322,48005fd6d9f9477ffde05c288b0a7d37c7dba52568537d0714a5ff1192097986,True,False,False,False
covered,20038,general,exact,14.2502,0.6643449883449883,39.528949999748875,1.733801000227686,3,2,4,False,5445,60d3be4b6fa7c4fb4ece7d853af4e2a0705c681ec7542d7ec93c61bf9a2746a3,b7b2fdf6cc89cc07d1160fa2ee07e633d14a37f8175da0367855451ec5739fbe,True,True,True,True
truth_omitted,20038,general,exact,15.45,0.7202797202797203,33.175370999970255,1.560830000016722,2,2,4,False,4905,60d3be4b6fa7c4fb4ece7d853af4e2a0705c681ec7542d7ec93c61bf9a2746a3,6d6f259d961c482f6cd46be425b371343b05b56f9040f8393b647014081b31e2,True,False,False,False
covered,20039,general,exact,18.5842,0.7026162570888469,38.75354700005573,1.6650469998467088,3,2,4,False,5445,2aa1afab8494f43897ee6def97c051dcff32b4aa4683309c1d79c98aa9caf5ca,aff4112c002bd8fbc0dd2606413474f88b5bcfb34dd15a36c119578da3aa0e46,True,True,True,True
truth_omitted,20039,general,exact,18.45,0.6975425330812854,33.17264600002545,1.470104999953037,2,2,4,False,4905,2aa1afab8494f43897ee6def97c051dcff32b4aa4683309c1d79c98aa9caf5ca,095cc75d1fe42299fd5e4956ac4b8cdada26c64d72ccfc3283f4594ecd6991cd,True,False,False,False
covered,20040,general,exact,14.807099999999998,0.9583883495145631,38.93988700008322,1.7205509999485002,3,2,4,False,5445,92c98594b43ac94f10d7d71c7dac5515d74e7af5594a5ae864433d2526749c5b,366fb68182f4167fd8c2213ac6b2dfbeed9ce67933caec21c05b81a1262d7c85,True,True,True,True
truth_omitted,20040,general,exact,7.3079,0.4730032362459547,34.462691999920025,1.4884720001191454,2,1,4,False,4905,92c98594b43ac94f10d7d71c7dac5515d74e7af5594a5ae864433d2526749c5b,90bb4c8fb55c37a1ebb2ee7b995144974a239c85b84faf4b5c8689cffa726e57,True,False,False,False
covered,20041,general,exact,12.5376,0.5845034965034965,39.315079000061814,1.5811729998631563,3,1,4,False,5445,6da07b02b44d7b3b7f07b61bc6e6fe465abe3573b64173d81d0490e181aacec7,bcfae67bf58e25f241e09e476f09fc79207734516487b1735bea943943271752,True,True,True,True
truth_omitted,20041,general,exact,21.45,1.0,34.943342000019584,1.530605999960244,2,3,4,False,4725,6da07b02b44d7b3b7f07b61bc6e6fe465abe3573b64173d81d0490e181aacec7,bcfae67bf58e25f241e09e476f09fc79207734516487b1735bea943943271752,True,True,True,True
covered,20042,general,exact,25.5485,1.1380178173719377,38.79514000004747,1.6406510000024355,3,3,4,False,5445,b8f8b0e52bff8c92d19d4f374f6e5380c16e15f79ee11426879a5a84bb7cae88,3069af49eb969b6ea88230aaf97e6ad5ae2602cd6bcfbba944e867c998957aff,True,True,True,True
truth_omitted,20042,general,exact,17.45,0.77728285077951,32.997804000046926,1.490495999973973,2,2,4,False,4905,b8f8b0e52bff8c92d19d4f374f6e5380c16e15f79ee11426879a5a84bb7cae88,473a54b259d9f345dab23707eb35f54c55277a24d8425a942107803f485be1a6,True,False,False,False
covered,20043,general,exact,19.3326,0.7906993865030675,38.33529999985785,1.7973460001030617,3,2,4,False,5445,7c632d7ccd31a537d83c7e81f3f4e0eba624ba3b34925b46169e05d15f468aaf,d9b7b9c5a3d755dc80ab4d5b30af45d41bed29e20b3a7e24c6e877fb8c4df76b,True,True,True,True
truth_omitted,20043,general,exact,24.45,1.0,34.350382999946305,1.4523380000355246,2,3,4,False,4725,7c632d7ccd31a537d83c7e81f3f4e0eba624ba3b34925b46169e05d15f468aaf,d9b7b9c5a3d755dc80ab4d5b30af45d41bed29e20b3a7e24c6e877fb8c4df76b,True,True,True,True
covered,20044,general,exact,16.0089,0.654760736196319,38.405654000030154,1.6478739999001846,3,2,4,False,5445,72554b3f3415ac765b7f19f9df7297678f50b57af56fd41a93b8ac035af1c238,80e5082922090940e7d1581ecc0fca8b2ea0fd09149a254861fbe3fff0b95934,True,True,True,True
truth_omitted,20044,general,exact,24.45,1.0,35.05377800001952,1.536774999976842,2,3,8,True,4824,72554b3f3415ac765b7f19f9df7297678f50b57af56fd41a93b8ac035af1c238,80e5082922090940e7d1581ecc0fca8b2ea0fd09149a254861fbe3fff0b95934,True,True,True,True
covered,20045,general,exact,10.177399999999999,0.6186869300911854,38.92507500006559,1.6156729999465824,3,2,4,False,5445,4bf56b3915ddbb5147812dd9c1451b9b2d221c5f709b5616ce773c12585c36c6,51d199bb784d9d1124fdf115af56945fdf65fa547f9d682c239debb69149595d,True,True,True,True
truth_omitted,20045,general,exact,16.45,1.0,35.376122000116084,1.405807999958597,2,3,4,False,4824,4bf56b3915ddbb5147812dd9c1451b9b2d221c5f709b5616ce773c12585c36c6,51d199bb784d9d1124fdf115af56945fdf65fa547f9d682c239debb69149595d,True,True,True,True
covered,20046,general,exact,18.9419,1.0854957020057308,38.637755999957335,1.6818300000522868,3,3,4,False,5445,00428d7b554cd7a644497fa84dcd0e1302dd617489b9c0b125b693d81d49b197,3d6873df88ef1dc6a692769778bd2362f23f4fbed147fe6976d297bd7ffb78e3,True,True,True,True
truth_omitted,20046,general,exact,13.45,0.7707736389684814,113.5862509999015,2.1070410001584605,2,2,4,False,4878,00428d7b554cd7a644497fa84dcd0e1302dd617489b9c0b125b693d81d49b197,e19f5ce408fac92e235505fec54e638664a48377b3943233252b53b80ec11864,False,False,False,False
