condition,menu,contrast,independent_streams,mean_stream_cost_difference,ci_low,ci_high,status
fast_drift,single,task_myopic minus task_exact,16,0.18125000000000005,-0.63125,1.0564062499999995,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,shared,task_exact minus any_exact,16,-0.09062500000000007,-0.675,0.4375,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,shared,task_exact minus semantic_exact,16,-0.09062500000000007,-0.675,0.4375,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,shared,task_exact minus single_effect_exact,16,-0.00625,-0.018750000000000003,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,shared,task_rollout2 minus task_exact,16,-0.05937499999999998,-0.43124999999999997,0.31562500000000004,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,shared,task_myopic minus task_exact,16,0.6875,-0.12812500000000004,1.559375,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,paired_shared_minus_single,task_exact,16,-0.2593750000000001,-0.815625,0.18835937499999553,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,paired_shared_minus_single,task_rollout2,16,-0.19375000000000014,-0.7562500000000001,0.36874999999999986,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,paired_shared_minus_single,task_myopic,16,0.24687499999999996,-0.07625000000000012,0.6875,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,paired_shared_minus_single,single_effect_exact,16,-0.2531250000000001,-0.8125,0.18437500000000007,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,paired_shared_minus_single,any_exact,16,-0.375,-1.0000000000000002,0.3124999999999999,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,paired_shared_minus_single,semantic_exact,16,-0.5625,-1.25,0.125,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,paired_shared_minus_single,age_paced,16,-0.565625,-1.315625,0.12187499999999987,DESCRIPTIVE_NOT_CONFIRMATORY
fast_drift,paired_shared_minus_single,never,16,0.0,0.0,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,single,task_exact minus any_exact,16,-0.08750000000000008,-0.5375,0.30000000000000004,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,single,task_exact minus semantic_exact,16,-0.2750000000000002,-0.6812500000000001,0.05624999999999979,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,single,task_exact minus single_effect_exact,16,-0.006249999999999999,-0.018749999999999996,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,single,task_rollout2 minus task_exact,16,0.13125,-2.7755575615628914e-17,0.38125000000000003,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,single,task_myopic minus task_exact,16,-0.11874999999999991,-0.6812499999999997,0.44999999999999996,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,shared,task_exact minus any_exact,16,-0.20937499999999998,-0.6249999999999998,0.20312500000000006,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,shared,task_exact minus semantic_exact,16,-0.20937499999999998,-0.621875,0.18125000000000002,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,shared,task_exact minus single_effect_exact,16,0.11875,0.0,0.35624999999999996,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,shared,task_rollout2 minus task_exact,16,0.19375000000000006,-0.11875000000000008,0.5593750000000002,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,shared,task_myopic minus task_exact,16,0.6343750000000001,0.13429687500000004,1.1844531249999997,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,paired_shared_minus_single,task_exact,16,-0.56875,-1.203125,0.049999999999999906,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,paired_shared_minus_single,task_rollout2,16,-0.50625,-1.0062499999999996,-0.0031250000000000583,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,paired_shared_minus_single,task_myopic,16,0.18437499999999998,-0.1312500000000001,0.625,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,paired_shared_minus_single,single_effect_exact,16,-0.6937500000000001,-1.2593750000000001,-0.19062500000000007,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,paired_shared_minus_single,any_exact,16,-0.44687500000000013,-0.8979687500000001,-0.015546875000000472,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,paired_shared_minus_single,semantic_exact,16,-0.6343750000000002,-1.2000000000000004,-0.13437500000000016,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,paired_shared_minus_single,age_paced,16,-0.3187500000000002,-0.7593750000000002,0.1812499999999998,DESCRIPTIVE_NOT_CONFIRMATORY
data_shift,paired_shared_minus_single,never,16,0.0,0.0,0.0,DESCRIPTIVE_NOT_CONFIRMATORY
