cohort,scenario,variant,official_similarity,terminal_valid,full_score_terminal_mismatch,original_full_and_terminal,native_tool_calls,native_tool_errors,source
settings,wifi_off,correct,1.0,True,False,True,1,0,results/native_run1/trajectories/wifi_off__correct.json
settings,wifi_off,correct_then_redundant_error,1.0,True,False,True,2,1,results/native_run1/trajectories/wifi_off__correct_then_redundant_error.json
settings,wifi_off,error_then_correct,1.0,True,False,True,2,1,results/native_run1/trajectories/wifi_off__error_then_correct.json
exploratory_additional,modify_reminder_with_recency_latest,achieve_revert_repair,1.0,True,False,True,5,0,results/supplement_run2/trajectories/modify_reminder_with_recency_latest__achieve_revert_repair.json
exploratory_additional,modify_reminder_with_recency_latest,achieve_then_revert,1.0,False,True,False,4,0,results/supplement_run2/trajectories/modify_reminder_with_recency_latest__achieve_then_revert.json
exploratory_additional,modify_reminder_with_recency_latest,claim_only,0.0,False,False,False,0,0,results/supplement_run2/trajectories/modify_reminder_with_recency_latest__claim_only.json
exploratory_additional,modify_reminder_with_recency_latest,correct,1.0,True,False,True,3,0,results/supplement_run2/trajectories/modify_reminder_with_recency_latest__correct.json
exploratory_additional,modify_reminder_with_recency_latest,error_then_correct,1.0,True,False,True,4,1,results/supplement_run2/trajectories/modify_reminder_with_recency_latest__error_then_correct.json
exploratory_additional,update_contact_relationship_with_relationship,achieve_revert_repair,1.0,True,False,True,7,0,results/supplement_run2/trajectories/update_contact_relationship_with_relationship__achieve_revert_repair.json
exploratory_additional,update_contact_relationship_with_relationship,achieve_then_revert,1.0,False,True,False,5,0,results/supplement_run2/trajectories/update_contact_relationship_with_relationship__achieve_then_revert.json
exploratory_additional,update_contact_relationship_with_relationship,claim_only,0.3333333333333333,False,False,False,0,0,results/supplement_run2/trajectories/update_contact_relationship_with_relationship__claim_only.json
exploratory_additional,update_contact_relationship_with_relationship,correct,1.0,True,False,True,3,0,results/supplement_run2/trajectories/update_contact_relationship_with_relationship__correct.json
exploratory_additional,update_contact_relationship_with_relationship,error_then_correct,1.0,True,False,True,4,1,results/supplement_run2/trajectories/update_contact_relationship_with_relationship__error_then_correct.json
exploratory_additional,update_contact_with_id_and_phone_number,achieve_revert_repair,1.0,True,False,True,3,0,results/supplement_run2/trajectories/update_contact_with_id_and_phone_number__achieve_revert_repair.json
exploratory_additional,update_contact_with_id_and_phone_number,achieve_then_revert,1.0,False,True,False,2,0,results/supplement_run2/trajectories/update_contact_with_id_and_phone_number__achieve_then_revert.json
exploratory_additional,update_contact_with_id_and_phone_number,claim_only,0.5,False,False,False,0,0,results/supplement_run2/trajectories/update_contact_with_id_and_phone_number__claim_only.json
exploratory_additional,update_contact_with_id_and_phone_number,correct,1.0,True,False,True,1,0,results/supplement_run2/trajectories/update_contact_with_id_and_phone_number__correct.json
exploratory_additional,update_contact_with_id_and_phone_number,error_then_correct,1.0,True,False,True,2,1,results/supplement_run2/trajectories/update_contact_with_id_and_phone_number__error_then_correct.json
