stream,condition,menu,method,step,q,failure,success,credits,budget_after,task_cost,semantic_mismatches,stale_but_correct,fresh_but_wrong,page_error,predicted_failure,planning_seconds,probe_seconds,tool_seconds
4,matched,single,task_exact,2,2,1,0,2,6,1.1,2,0,0,0,0.280296286272,7.3339324444532394e-06,1.2919772416353226e-06,9.584007784724236e-06
4,matched,single,task_exact,3,2,1,0,0,6,1.0,2,0,0,0,0.4082203911582843,7.542083039879799e-06,5.420297384262085e-07,8.207978680729866e-06
4,matched,single,task_exact,4,2,1,0,2,4,1.1,1,0,0,0,0.36176778375936003,7.4999406933784485e-06,1.00000761449337e-06,9.041978046298027e-06
4,matched,single,task_exact,5,2,0,1,4,0,0.2,0,0,0,0,0.07125,7.500173524022102e-06,1.5830155462026596e-06,1.1333031579852104e-05
4,matched,single,task_exact,6,2,1,0,0,0,1.0,1,0,0,0,0.32236128,7.458031177520752e-06,5.00120222568512e-07,1.8499791622161865e-05
4,matched,single,task_exact,7,0,1,0,0,0,1.0,1,0,0,0,0.3777945599999999,7.500173524022102e-06,5.420297384262085e-07,1.5292083844542503e-05
5,matched,single,task_exact,0,0,1,0,0,8,1.0,1,0,0,0,0.18435,9.832903742790222e-06,8.330680429935455e-07,1.1750031262636185e-05
5,matched,single,task_exact,1,2,1,0,0,8,1.0,1,0,0,0,0.3803642810879999,7.666880264878273e-06,5.830079317092896e-07,1.433398574590683e-05
5,matched,single,task_exact,2,2,0,1,2,6,0.1,0,0,0,0,0.280296286272,7.4999406933784485e-06,1.2919772416353226e-06,1.7584068700671196e-05
5,matched,single,task_exact,3,3,0,1,2,4,0.1,0,0,0,0,0.2074588992,7.375143468379974e-06,1.0419171303510666e-06,1.6416888684034348e-05
5,matched,single,task_exact,4,3,0,1,0,4,0.0,0,0,0,0,0.33929197611724804,7.541850209236145e-06,5.830079317092896e-07,1.5707919374108315e-05
5,matched,single,task_exact,5,3,0,1,4,0,0.2,0,0,0,0,0.132447667968,7.6249707490205765e-06,1.4170072972774506e-06,1.5415949746966362e-05
5,matched,single,task_exact,6,4,0,1,0,0,0.0,1,1,0,0,0.0734996854547497,7.250113412737846e-06,4.998873919248581e-07,2.5084009394049644e-05
5,matched,single,task_exact,7,2,1,0,0,0,1.0,1,0,0,0,0.46366051667309865,7.6249707490205765e-06,7.092021405696869e-07,1.1709053069353104e-05
6,matched,single,task_exact,0,1,0,1,0,8,0.0,0,0,0,0,0.12,9.708106517791748e-06,7.920898497104645e-07,6.291083991527557e-06
6,matched,single,task_exact,1,4,0,1,2,6,0.1,0,0,0,0,0.040112159999999994,7.500173524022102e-06,1.333886757493019e-06,1.8832972273230553e-05
6,matched,single,task_exact,2,4,0,1,0,6,0.0,0,0,0,0,0.16581373598208,7.791910320520401e-06,7.080379873514175e-07,1.7249956727027893e-05
6,matched,single,task_exact,3,3,1,0,2,4,1.1,1,0,0,1,0.346716344832,7.666880264878273e-06,1.2498348951339722e-06,3.00002284348011e-06
6,matched,single,task_exact,4,3,0,1,4,0,0.2,0,0,0,0,0.11249999999999999,7.708091288805008e-06,1.583946868777275e-06,1.6666948795318604e-05
6,matched,single,task_exact,5,3,0,1,0,0,0.0,0,0,0,0,0.3364932,8.417060598731041e-06,6.249174475669861e-07,1.654098741710186e-05
6,matched,single,task_exact,6,3,0,1,0,0,0.0,0,0,0,0,0.4789825055231999,7.541850209236145e-06,5.420297384262085e-07,1.637497916817665e-05
6,matched,single,task_exact,7,3,0,1,0,0,0.0,0,0,0,0,0.5725456484408082,7.542083039879799e-06,5.420297384262085e-07,1.4833873137831688e-05
7,matched,single,task_exact,0,2,1,0,0,8,1.0,1,0,0,1,0.280578,9.792158380150795e-06,8.330680429935455e-07,4.417030140757561e-06
7,matched,single,task_exact,1,2,1,0,0,8,1.0,1,0,0,1,0.4552693601279999,7.750000804662704e-06,6.249174475669861e-07,3.3748801797628403e-06
7,matched,single,task_exact,2,2,0,1,4,4,0.2,0,0,0,0,0.16655399999999998,7.790978997945786e-06,1.7499551177024841e-06,1.8333084881305695e-05
7,matched,single,task_exact,3,2,0,1,2,2,0.1,0,0,0,0,0.17422500000000002,7.417052984237671e-06,1.1248048394918442e-06,1.5999889001250267e-05
7,matched,single,task_exact,4,2,1,0,0,2,1.0,1,0,0,0,0.34471260479999993,7.2089023888111115e-06,6.249174475669861e-07,1.6417121514678e-05
7,matched,single,task_exact,5,2,0,1,2,0,0.1,1,1,0,0,0.2478224496,7.667113095521927e-06,1.0838266462087631e-06,1.554097980260849e-05
7,matched,single,task_exact,6,2,1,0,0,0,1.0,1,0,0,0,0.3857584232782848,8.041970431804657e-06,6.249174475669861e-07,1.541711390018463e-05
7,matched,single,task_exact,7,2,0,1,0,0,0.0,0,0,0,0,0.4799334452104256,7.3749106377363205e-06,5.420297384262085e-07,1.579197123646736e-05
8,matched,single,task_exact,0,3,0,1,0,8,0.0,0,0,0,0,0.26652,9.790994226932526e-06,8.749775588512421e-07,1.6875099390745163e-05
8,matched,single,task_exact,1,3,0,1,0,8,0.0,0,0,0,0,0.4340410483199999,7.500173524022102e-06,6.668269634246826e-07,1.4750054106116295e-05
8,matched,single,task_exact,2,3,0,1,4,4,0.2,0,0,0,0,0.144639,7.542083039879799e-06,1.834006980061531e-06,1.3791024684906006e-05
8,matched,single,task_exact,3,3,0,1,0,4,0.0,0,0,0,0,0.35094289152,7.3749106377363205e-06,5.408655852079391e-07,1.2750038877129555e-05
8,matched,single,task_exact,4,3,1,0,0,4,1.0,2,0,0,1,0.4851787515281202,7.375143468379974e-06,5.417969077825546e-07,2.7921050786972046e-06
8,matched,single,task_exact,5,3,0,1,4,0,0.2,1,1,0,0,0.20813204966399998,7.457798346877098e-06,1.4998950064182281e-06,1.2833159416913986e-05
8,matched,single,task_exact,6,3,0,1,0,0,0.0,0,0,0,0,0.3288898321865441,7.750000804662704e-06,5.41098415851593e-07,1.2208009138703346e-05
8,matched,single,task_exact,7,3,0,1,0,0,0.0,0,0,0,0,0.4128715796346745,7.4999406933784485e-06,4.998873919248581e-07,1.3250159099698067e-05
9,matched,single,task_exact,0,4,0,1,0,8,0.0,1,1,0,0,0.07344600000000001,9.709037840366364e-06,8.33999365568161e-07,1.7250189557671547e-05
9,matched,single,task_exact,1,4,0,1,0,8,0.0,1,1,0,0,0.12455120409599998,7.58306123316288e-06,6.66128471493721e-07,1.3791956007480621e-05
9,matched,single,task_exact,2,4,0,1,2,6,0.1,1,1,0,0,0.044524547712,7.333001121878624e-06,1.125037670135498e-06,1.4541903510689735e-05
9,matched,single,task_exact,3,4,0,1,0,6,0.0,2,1,0,0,0.10039999094712729,7.458031177520752e-06,5.420297384262085e-07,1.0542105883359909e-05
9,matched,single,task_exact,4,4,0,1,2,4,0.1,1,1,0,0,0.057618330978241414,7.417052984237671e-06,9.580980986356735e-07,1.291697844862938e-05
9,matched,single,task_exact,5,4,1,0,0,4,1.0,2,0,0,0,0.10829672317338361,7.58306123316288e-06,5.830079317092896e-07,1.3167038559913635e-05
9,matched,single,task_exact,6,3,1,0,4,0,1.2,1,0,0,0,0.1188,7.666880264878273e-06,1.500127837061882e-06,1.3459008187055588e-05
9,matched,single,task_exact,7,1,1,0,0,0,1.0,1,0,0,0,0.280512,7.58306123316288e-06,4.998873919248581e-07,4.250090569257736e-06
10,matched,single,task_exact,0,0,0,1,0,8,0.0,0,0,0,0,0.18435,9.750016033649445e-06,7.920898497104645e-07,1.35831069201231e-05
10,matched,single,task_exact,1,0,0,1,0,8,0.0,1,1,0,0,0.31271856,7.666880264878273e-06,6.670597940683365e-07,9.082956239581108e-06
10,matched,single,task_exact,2,0,0,1,4,4,0.2,0,0,0,0,0.0,7.667113095521927e-06,1.7499551177024841e-06,1.100008375942707e-05
10,matched,single,task_exact,3,4,0,1,2,2,0.1,0,0,0,0,0.1365,7.792143151164055e-06,1.00000761449337e-06,1.4292076230049133e-05
10,matched,single,task_exact,4,4,0,1,0,2,0.0,1,1,0,0,0.24041794079999995,7.416121661663055e-06,5.830079317092896e-07,1.4208024367690086e-05
10,matched,single,task_exact,5,4,0,1,2,0,0.1,2,1,0,0,0.050027241599999994,7.6249707490205765e-06,1.125037670135498e-06,1.5875091776251793e-05
10,matched,single,task_exact,6,4,0,1,0,0,0.0,2,1,0,0,0.1722441289463808,7.917173206806183e-06,4.998873919248581e-07,1.5875091776251793e-05
10,matched,single,task_exact,7,4,0,1,0,0,0.0,2,1,0,0,0.26338883611491093,7.792143151164055e-06,4.998873919248581e-07,1.7165904864668846e-05
11,matched,single,task_exact,0,1,0,1,0,8,0.0,0,0,0,0,0.12,9.415904060006142e-06,7.918570190668106e-07,6.250105798244476e-06
11,matched,single,task_exact,1,1,0,1,2,6,0.1,0,0,0,0,0.0,7.4999406933784485e-06,1.2081582099199295e-06,4.834029823541641e-06
11,matched,single,task_exact,2,1,0,1,0,6,0.0,0,0,0,0,0.12,7.4999406933784485e-06,4.998873919248581e-07,4.209112375974655e-06
11,matched,single,task_exact,3,1,0,1,2,4,0.1,0,0,0,0,0.0,7.209135219454765e-06,1.0419171303510666e-06,3.833090886473656e-06
11,matched,single,task_exact,4,1,0,1,0,4,0.0,0,0,0,0,0.12,7.542083039879799e-06,5.83939254283905e-07,3.917142748832703e-06
11,matched,single,task_exact,5,1,0,1,2,2,0.1,0,0,0,0,0.0,7.4999406933784485e-06,8.749775588512421e-07,3.7921126931905746e-06
11,matched,single,task_exact,6,3,1,0,2,0,1.1,1,0,0,0,0.43396860491366396,7.792143151164055e-06,1.3329554349184036e-06,1.316610723733902e-05
11,matched,single,task_exact,7,3,1,0,0,0,1.0,2,0,0,0,0.4912862182529677,7.4999406933784485e-06,6.249174475669861e-07,9.292038157582283e-06
12,matched,single,task_exact,0,2,1,0,0,8,1.0,1,0,0,0,0.277872,9.832903742790222e-06,8.33999365568161e-07,1.937500201165676e-05
12,matched,single,task_exact,1,2,1,0,0,8,1.0,1,0,0,0,0.45171256627199996,7.875030860304832e-06,7.08969309926033e-07,1.516612246632576e-05
12,matched,single,task_exact,2,1,0,1,2,6,0.1,0,0,0,0,0.0,7.875030860304832e-06,1.4579854905605316e-06,4.833098500967026e-06
12,matched,single,task_exact,3,1,0,1,0,6,0.0,0,0,0,0,0.12,7.709022611379623e-06,6.249174475669861e-07,4.290835931897163e-06
12,matched,single,task_exact,4,1,0,1,2,4,0.1,0,0,0,0,0.0,7.500173524022102e-06,1.0409858077764511e-06,4.042172804474831e-06
12,matched,single,task_exact,5,1,0,1,0,4,0.0,0,0,0,0,0.12,7.292022928595543e-06,5.420297384262085e-07,4.37488779425621e-06
12,matched,single,task_exact,6,1,0,1,2,2,0.1,0,0,0,0,0.0,7.665948942303658e-06,9.578652679920197e-07,3.875000402331352e-06
12,matched,single,task_exact,7,1,0,1,2,0,0.1,0,0,0,0,0.0,7.3749106377363205e-06,7.501803338527679e-07,3.7499703466892242e-06
13,matched,single,task_exact,0,3,0,1,0,8,0.0,0,0,0,0,0.271668,9.750016033649445e-06,7.909256964921951e-07,2.037500962615013e-05
13,matched,single,task_exact,1,4,0,1,2,6,0.1,1,1,0,0,0.12712127999999998,7.790978997945786e-06,1.2919772416353226e-06,1.679197885096073e-05
13,matched,single,task_exact,2,4,0,1,0,6,0.0,1,1,0,0,0.26670797796864,7.541850209236145e-06,7.080379873514175e-07,1.679197885096073e-05
13,matched,single,task_exact,3,4,0,1,4,2,0.2,0,0,0,0,0.052060800000000004,7.58306123316288e-06,1.834006980061531e-06,1.5624798834323883e-05
13,matched,single,task_exact,4,4,0,1,0,2,0.0,1,1,0,0,0.17380498641408,7.582828402519226e-06,5.830079317092896e-07,1.679197885096073e-05
13,matched,single,task_exact,5,4,0,1,2,0,0.1,1,1,0,0,0.06764213760860159,7.62520357966423e-06,1.00000761449337e-06,1.5125144273042679e-05
13,matched,single,task_exact,6,4,0,1,0,0,0.0,1,1,0,0,0.18366821075732645,8.500181138515472e-06,5.830079317092896e-07,1.6124919056892395e-05
13,matched,single,task_exact,7,4,0,1,0,0,0.0,1,1,0,0,0.2709866269418648,7.750000804662704e-06,5.83939254283905e-07,1.6083940863609314e-05
14,matched,single,task_exact,0,4,1,0,0,8,1.0,1,0,0,0,0.140658,9.915791451931e-06,1.00000761449337e-06,1.970888115465641e-05
14,matched,single,task_exact,1,4,0,1,2,6,0.1,1,1,0,0,0.040112159999999994,8.083181455731392e-06,1.4998950064182281e-06,1.895800232887268e-05
14,matched,single,task_exact,2,4,0,1,0,6,0.0,1,1,0,0,0.16581373598208,7.792143151164055e-06,7.499475032091141e-07,1.5709083527326584e-05
14,matched,single,task_exact,3,4,0,1,2,4,0.1,1,1,0,0,0.0607406031446016,7.416121661663055e-06,1.125037670135498e-06,1.491699367761612e-05
14,matched,single,task_exact,4,4,0,1,0,4,0.0,1,1,0,0,0.17905246450780324,7.6249707490205765e-06,6.249174475669861e-07,1.650000922381878e-05
14,matched,single,task_exact,5,4,0,1,2,2,0.1,1,1,0,0,0.07180807904585632,7.750000804662704e-06,1.125037670135498e-06,1.6458099707961082e-05
14,matched,single,task_exact,6,4,0,1,0,2,0.0,1,1,0,0,0.18626837348815145,7.708091288805008e-06,4.591420292854309e-07,1.537497155368328e-05
14,matched,single,task_exact,7,4,0,1,2,0,0.1,0,0,0,0,0.07791790439475643,7.833121344447136e-06,1.0421499609947205e-06,1.095794141292572e-05
15,matched,single,task_exact,0,0,1,0,0,8,1.0,1,0,0,1,0.2256,9.708106517791748e-06,8.330680429935455e-07,4.499917849898338e-06
15,matched,single,task_exact,1,0,1,0,0,8,1.0,1,0,0,1,0.37779455999999995,7.95791856944561e-06,6.670597940683365e-07,3.4170225262641907e-06
15,matched,single,task_exact,2,0,0,1,4,4,0.2,0,0,0,0,0.0,7.4999406933784485e-06,1.791166141629219e-06,1.2958189472556114e-05
15,matched,single,task_exact,3,0,0,1,0,4,0.0,0,0,0,0,0.18434999999999999,7.667113095521927e-06,5.830079317092896e-07,1.0666903108358383e-05
15,matched,single,task_exact,4,0,0,1,0,4,0.0,0,0,0,0,0.31271856,7.3339324444532394e-06,5.420297384262085e-07,1.037493348121643e-05
15,matched,single,task_exact,5,0,0,1,4,0,0.2,0,0,0,0,0.0,7.417052984237671e-06,1.541106030344963e-06,1.091696321964264e-05
15,matched,single,task_exact,6,0,0,1,0,0,0.0,0,0,0,0,0.18435,7.708091288805008e-06,5.830079317092896e-07,1.0458985343575478e-05
15,matched,single,task_exact,7,0,1,0,0,0,1.0,2,0,0,0,0.31271856,7.582828402519226e-06,5.00120222568512e-07,8.541159331798553e-06
16,no_drift,single,task_exact,0,0,0,1,0,8,0.0,0,0,0,0,0.2256,9.249895811080933e-06,7.501803338527679e-07,1.400010660290718e-05
16,no_drift,single,task_exact,1,2,0,1,0,8,0.0,0,0,0,0,0.45171256627199996,7.832888513803482e-06,7.080379873514175e-07,1.5875091776251793e-05
16,no_drift,single,task_exact,2,1,0,1,2,6,0.1,0,0,0,0,0.0,7.416820153594017e-06,1.2088567018508911e-06,4.792120307683945e-06
16,no_drift,single,task_exact,3,1,0,1,0,6,0.0,0,0,0,0,0.12,7.457798346877098e-06,5.408655852079391e-07,4.082918167114258e-06
16,no_drift,single,task_exact,4,1,0,1,2,4,0.1,0,0,0,0,0.0,7.333001121878624e-06,1.0409858077764511e-06,4.166970029473305e-06
16,no_drift,single,task_exact,5,1,0,1,0,4,0.0,0,0,0,0,0.12,7.250113412737846e-06,5.420297384262085e-07,4.250090569257736e-06
16,no_drift,single,task_exact,6,3,0,1,4,0,0.2,0,0,0,0,0.1188,7.166992872953415e-06,1.3329554349184036e-06,1.4666933566331863e-05
16,no_drift,single,task_exact,7,3,0,1,0,0,0.0,0,0,0,0,0.3421167168,7.416121661663055e-06,4.998873919248581e-07,1.3749813660979271e-05
17,no_drift,single,task_exact,0,1,0,1,0,8,0.0,0,0,0,0,0.12,9.624985978007317e-06,7.920898497104645e-07,6.332993507385254e-06
17,no_drift,single,task_exact,1,1,0,1,2,6,0.1,0,0,0,0,0.0,8.041970431804657e-06,1.2922100722789764e-06,4.749977961182594e-06
17,no_drift,single,task_exact,2,1,0,1,0,6,0.0,0,0,0,0,0.12,7.417052984237671e-06,5.41098415851593e-07,4.125060513615608e-06
17,no_drift,single,task_exact,3,1,0,1,2,4,0.1,0,0,0,0,0.0,7.291790097951889e-06,1.00000761449337e-06,4.375120624899864e-06
17,no_drift,single,task_exact,4,1,0,1,0,4,0.0,0,0,0,0,0.12,7.292022928595543e-06,4.998873919248581e-07,4.207948222756386e-06
17,no_drift,single,task_exact,5,1,0,1,2,2,0.1,0,0,0,0,0.0,7.3749106377363205e-06,9.171199053525925e-07,3.916909918189049e-06
17,no_drift,single,task_exact,6,1,0,1,0,2,0.0,0,0,0,0,0.12,7.417052984237671e-06,4.5890919864177704e-07,3.875000402331352e-06
17,no_drift,single,task_exact,7,2,0,1,2,0,0.1,0,0,0,0,0.5103596872647337,8.708098903298378e-06,1.0419171303510666e-06,1.60830095410347e-05
18,no_drift,single,task_exact,0,2,0,1,0,8,0.0,0,0,0,0,0.280578,9.041978046298027e-06,8.749775588512421e-07,1.71661376953125e-05
18,no_drift,single,task_exact,1,4,0,1,2,6,0.1,0,0,0,0,0.040112159999999994,7.709022611379623e-06,1.4170072972774506e-06,1.4625024050474167e-05
18,no_drift,single,task_exact,2,4,0,1,0,6,0.0,0,0,0,0,0.16581373598208,7.4999406933784485e-06,6.2515027821064e-07,1.2541888281702995e-05
18,no_drift,single,task_exact,3,4,0,1,2,4,0.1,0,0,0,0,0.0607406031446016,7.500173524022102e-06,1.125037670135498e-06,1.3709068298339844e-05
18,no_drift,single,task_exact,4,4,0,1,0,4,0.0,0,0,0,0,0.17905246450780324,7.542083039879799e-06,4.998873919248581e-07,1.233397051692009e-05
18,no_drift,single,task_exact,5,4,0,1,2,2,0.1,0,0,0,0,0.07180807904585632,7.58306123316288e-06,1.0838266462087631e-06,1.3208016753196716e-05
18,no_drift,single,task_exact,6,4,0,1,0,2,0.0,0,0,0,0,0.18626837348815145,7.291790097951889e-06,5.408655852079391e-07,1.1791009455919266e-05
18,no_drift,single,task_exact,7,4,0,1,2,0,0.1,0,0,0,0,0.07791790439475643,7.333001121878624e-06,1.0421499609947205e-06,1.2208009138703346e-05
19,no_drift,single,task_exact,0,3,0,1,0,8,0.0,0,0,0,0,0.271668,9.750016033649445e-06,8.749775588512421e-07,1.945788972079754e-05
19,no_drift,single,task_exact,1,3,0,1,0,8,0.0,0,0,0,0,0.44239993036799996,7.875030860304832e-06,6.249174475669861e-07,1.7333077266812325e-05
19,no_drift,single,task_exact,2,3,0,1,2,6,0.1,0,0,0,0,0.378965540736,7.750000804662704e-06,1.2919772416353226e-06,1.654215157032013e-05
19,no_drift,single,task_exact,3,3,0,1,4,2,0.2,0,0,0,0,0.12,7.665948942303658e-06,1.583946868777275e-06,1.629185862839222e-05
19,no_drift,single,task_exact,4,3,0,1,2,0,0.1,0,0,0,0,0.17235,8.95909033715725e-06,9.59029421210289e-07,1.5125144273042679e-05
19,no_drift,single,task_exact,5,3,0,1,0,0,0.0,0,0,0,0,0.3779309568,7.708091288805008e-06,5.830079317092896e-07,1.5750061720609665e-05
19,no_drift,single,task_exact,6,3,0,1,0,0,0.0,0,0,0,0,0.5101280185325567,7.708091288805008e-06,5.420297384262085e-07,1.5292083844542503e-05
19,no_drift,single,task_exact,7,3,0,1,0,0,0.0,0,0,0,0,0.5976673228779965,7.2498805820941925e-06,4.998873919248581e-07,1.5166820958256721e-05
20,no_drift,single,task_exact,0,4,0,1,0,8,0.0,0,0,0,0,0.140658,1.00000761449337e-05,7.918570190668106e-07,1.4874851331114769e-05
20,no_drift,single,task_exact,1,4,0,1,2,6,0.1,0,0,0,0,0.040112159999999994,7.6249707490205765e-06,1.2919772416353226e-06,1.2208940461277962e-05
20,no_drift,single,task_exact,2,4,0,1,0,6,0.0,0,0,0,0,0.16581373598208,7.583992555737495e-06,5.420297384262085e-07,1.1082971468567848e-05
20,no_drift,single,task_exact,3,4,0,1,2,4,0.1,0,0,0,0,0.0607406031446016,7.750000804662704e-06,1.0419171303510666e-06,1.0165851563215256e-05
20,no_drift,single,task_exact,4,4,0,1,0,4,0.0,0,0,0,0,0.17905246450780324,7.458031177520752e-06,4.998873919248581e-07,1.0916031897068024e-05
20,no_drift,single,task_exact,5,4,0,1,2,2,0.1,0,0,0,0,0.07180807904585632,7.4999406933784485e-06,1.0409858077764511e-06,1.1124880984425545e-05
20,no_drift,single,task_exact,6,2,0,1,2,0,0.1,0,0,0,0,0.3429894291812352,7.665948942303658e-06,9.59029421210289e-07,1.091696321964264e-05
20,no_drift,single,task_exact,7,2,0,1,0,0,0.0,0,0,0,0,0.4883360558435326,7.6249707490205765e-06,4.5821070671081543e-07,1.0791933164000511e-05
21,no_drift,single,task_exact,0,0,0,1,0,8,0.0,0,0,0,0,0.2256,9.916955605149269e-06,8.749775588512421e-07,1.6459031030535698e-05
21,no_drift,single,task_exact,1,0,0,1,0,8,0.0,0,0,0,0,0.37779455999999995,7.916009053587914e-06,6.249174475669861e-07,1.3625016435980797e-05
21,no_drift,single,task_exact,2,0,0,1,4,4,0.2,0,0,0,0,0.0,7.750000804662704e-06,1.62515789270401e-06,1.291697844862938e-05
21,no_drift,single,task_exact,3,0,0,1,0,4,0.0,0,0,0,0,0.2256,7.583992555737495e-06,5.420297384262085e-07,1.2625008821487427e-05
21,no_drift,single,task_exact,4,0,0,1,0,4,0.0,0,0,0,0,0.37779455999999995,7.458031177520752e-06,5.420297384262085e-07,1.2582866474986076e-05
21,no_drift,single,task_exact,5,1,0,1,2,2,0.1,0,0,0,0,0.0,7.709022611379623e-06,1.00000761449337e-06,5.166046321392059e-06
21,no_drift,single,task_exact,6,1,0,1,0,2,0.0,0,0,0,0,0.12,7.416820153594017e-06,4.5890919864177704e-07,4.290835931897163e-06
21,no_drift,single,task_exact,7,0,0,1,2,0,0.1,0,0,0,0,0.37322373119999996,7.750000804662704e-06,9.59029421210289e-07,1.3625016435980797e-05
22,no_drift,single,task_exact,0,1,0,1,0,8,0.0,0,0,0,0,0.12,9.832903742790222e-06,7.920898497104645e-07,6.041955202817917e-06
22,no_drift,single,task_exact,1,1,0,1,2,6,0.1,0,0,0,0,0.0,7.875030860304832e-06,1.3748649507761002e-06,4.999805241823196e-06
