logical_id,phase,arm,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cached_input_tokens,latency_seconds,monetary_cost
primary_n10_verify_confirm/turn_01,primary,verify_confirm,2999,191,3190,18,2816,1.326263374881819,UNKNOWN
primary_n10_verify_confirm/turn_02,primary,verify_confirm,3214,84,3298,8,3072,1.0691214161925018,UNKNOWN
primary_n10_verify_confirm/turn_03,primary,verify_confirm,3406,134,3540,0,3200,1.2574836660642177,UNKNOWN
primary_n10_inherited/turn_00,primary,inherited,2660,147,2807,90,2432,1.2875247087795287,UNKNOWN
primary_n10_inherited/turn_01,primary,inherited,2915,197,3112,26,2688,1.1965697908308357,UNKNOWN
primary_n10_inherited/turn_02,primary,inherited,3136,81,3217,11,2944,0.8862277502194047,UNKNOWN
primary_n10_inherited/turn_03,primary,inherited,3325,132,3457,0,3072,1.457319458015263,UNKNOWN
primary_n02_inherited/turn_00,primary,inherited,2639,193,2832,134,2432,1.713776333956048,UNKNOWN
primary_n02_inherited/turn_01,primary,inherited,2933,96,3029,21,2688,0.8488767500966787,UNKNOWN
primary_n02_inherited/turn_02,primary,inherited,3079,101,3180,0,2944,1.181907792109996,UNKNOWN
primary_n02_verify_confirm/turn_00,primary,verify_confirm,2730,119,2849,47,2560,1.2711578330490738,UNKNOWN
primary_n02_verify_confirm/turn_01,primary,verify_confirm,2950,122,3072,23,2816,1.1271987080108374,UNKNOWN
primary_n02_verify_confirm/turn_02,primary,verify_confirm,3120,86,3206,14,2944,1.1707311659120023,UNKNOWN
primary_n02_verify_confirm/turn_03,primary,verify_confirm,3371,129,3500,43,3200,1.4634597080294043,UNKNOWN
primary_n08_verify_confirm/turn_00,primary,verify_confirm,2751,130,2881,85,2560,0.8873829159419984,UNKNOWN
primary_n08_verify_confirm/turn_01,primary,verify_confirm,2989,240,3229,85,2816,2.143842959078029,UNKNOWN
primary_n08_verify_confirm/turn_02,primary,verify_confirm,3253,72,3325,7,3072,0.9359722919762135,UNKNOWN
primary_n08_verify_confirm/turn_03,primary,verify_confirm,3433,115,3548,0,3200,1.0488821249455214,UNKNOWN
primary_n08_inherited/turn_00,primary,inherited,2660,106,2766,50,2432,1.1046201658900827,UNKNOWN
primary_n08_inherited/turn_01,primary,inherited,2874,215,3089,40,2688,1.8869521669112146,UNKNOWN
primary_n08_inherited/turn_02,primary,inherited,3113,107,3220,32,2944,1.1697657499462366,UNKNOWN
primary_n08_inherited/turn_03,primary,inherited,3328,125,3453,0,3072,0.8388950841035694,UNKNOWN
primary_n11_verify_confirm/turn_00,primary,verify_confirm,2751,66,2817,10,2560,1.3031856250017881,UNKNOWN
primary_n11_verify_confirm/turn_01,primary,verify_confirm,2925,191,3116,19,2688,1.2352929168846458,UNKNOWN
primary_n11_verify_confirm/turn_02,primary,verify_confirm,3140,80,3220,7,2944,1.0887728340458125,UNKNOWN
primary_n11_verify_confirm/turn_03,primary,verify_confirm,3328,103,3431,0,3072,0.7277904578950256,UNKNOWN
primary_n11_inherited/turn_00,primary,inherited,2660,189,2849,133,2432,0.9625615840777755,UNKNOWN
primary_n11_inherited/turn_01,primary,inherited,2957,212,3169,38,2816,1.692948792129755,UNKNOWN
primary_n11_inherited/turn_02,primary,inherited,3193,76,3269,6,2944,1.265826707938686,UNKNOWN
primary_n11_inherited/turn_03,primary,inherited,3377,85,3462,0,3200,1.4642827499192208,UNKNOWN
primary_n14_inherited/turn_00,primary,inherited,2560,93,2653,39,2304,1.3667595409788191,UNKNOWN
primary_n14_inherited/turn_01,primary,inherited,2697,121,2818,43,2432,1.2997062499634922,UNKNOWN
primary_n14_inherited/turn_02,primary,inherited,2842,44,2886,4,2688,0.6331924588885158,UNKNOWN
primary_n14_inherited/turn_03,primary,inherited,2910,37,2947,6,2688,0.9720515829976648,UNKNOWN
primary_n14_inherited/turn_04,primary,inherited,2971,61,3032,0,2816,1.2836722920183092,UNKNOWN
primary_n14_verify_confirm/turn_00,primary,verify_confirm,2651,140,2791,86,2432,1.809705208055675,UNKNOWN
primary_n14_verify_confirm/turn_01,primary,verify_confirm,2835,165,3000,92,2688,1.345729042077437,UNKNOWN
primary_n14_verify_confirm/turn_02,primary,verify_confirm,3024,50,3074,4,2816,1.1637575409840792,UNKNOWN
primary_n14_verify_confirm/turn_03,primary,verify_confirm,3098,53,3151,7,2944,0.9111879169940948,UNKNOWN
primary_n14_verify_confirm/turn_04,primary,verify_confirm,3195,113,3308,25,2944,0.8364358330145478,UNKNOWN
primary_n07_inherited/turn_00,primary,inherited,2650,94,2744,53,2432,1.4962028751615435,UNKNOWN
primary_n07_inherited/turn_01,primary,inherited,2768,105,2873,10,2560,1.0511640841141343,UNKNOWN
primary_n07_inherited/turn_02,primary,inherited,2920,111,3031,0,2688,0.7989416250493377,UNKNOWN
primary_n07_verify_confirm/turn_00,primary,verify_confirm,2741,64,2805,39,2560,1.1306927499826998,UNKNOWN
primary_n07_verify_confirm/turn_01,primary,verify_confirm,2829,102,2931,15,2688,1.0321863749995828,UNKNOWN
primary_n07_verify_confirm/turn_02,primary,verify_confirm,2973,65,3038,8,2816,0.8781142910011113,UNKNOWN
primary_n07_verify_confirm/turn_03,primary,verify_confirm,3196,104,3300,0,2944,2.0510790410917252,UNKNOWN
primary_n04_inherited/turn_00,primary,inherited,2650,77,2727,39,2432,1.1934581249952316,UNKNOWN
primary_n04_inherited/turn_01,primary,inherited,2751,98,2849,10,2560,0.9157047909684479,UNKNOWN
primary_n04_inherited/turn_02,primary,inherited,2899,91,2990,0,2688,1.0367444171570241,UNKNOWN
primary_n04_verify_confirm/turn_00,primary,verify_confirm,2741,62,2803,37,2560,1.1543692080304027,UNKNOWN
primary_n04_verify_confirm/turn_01,primary,verify_confirm,2827,123,2950,36,2688,1.2116198751609772,UNKNOWN
primary_n04_verify_confirm/turn_02,primary,verify_confirm,2994,78,3072,14,2816,1.115138916997239,UNKNOWN
primary_n04_verify_confirm/turn_03,primary,verify_confirm,3232,98,3330,0,3072,1.2804368329234421,UNKNOWN
primary_n01_verify_confirm/turn_00,primary,verify_confirm,2730,171,2901,99,2560,1.362711041001603,UNKNOWN
primary_n01_verify_confirm/turn_01,primary,verify_confirm,3002,174,3176,63,2816,1.3590402079280466,UNKNOWN
primary_n01_verify_confirm/turn_02,primary,verify_confirm,3222,87,3309,17,3072,1.4139468751382083,UNKNOWN
primary_n01_verify_confirm/turn_03,primary,verify_confirm,3471,177,3648,0,3200,1.0618714999873191,UNKNOWN
primary_n01_inherited/turn_00,primary,inherited,2639,138,2777,61,2432,1.558584415819496,UNKNOWN
primary_n01_inherited/turn_01,primary,inherited,2878,197,3075,87,2688,1.699115833034739,UNKNOWN
primary_n01_inherited/turn_02,primary,inherited,3118,112,3230,12,2944,1.2007366251200438,UNKNOWN
primary_n03_inherited/turn_00,primary,inherited,2639,166,2805,89,2432,1.0583237919490784,UNKNOWN
primary_n03_inherited/turn_01,primary,inherited,2906,115,3021,21,2688,1.1521814591251314,UNKNOWN
primary_n03_inherited/turn_02,primary,inherited,3066,69,3135,0,2816,0.9743749161716551,UNKNOWN
primary_n03_verify_confirm/turn_00,primary,verify_confirm,2730,123,2853,51,2560,1.0390952499583364,UNKNOWN
primary_n03_verify_confirm/turn_01,primary,verify_confirm,2954,123,3077,25,2816,1.3462738750968128,UNKNOWN
primary_n03_verify_confirm/turn_02,primary,verify_confirm,3124,81,3205,10,2944,1.0287019999232143,UNKNOWN
primary_n03_verify_confirm/turn_03,primary,verify_confirm,3368,121,3489,0,3200,1.318265249952674,UNKNOWN
repeat_n10_verify_confirm/turn_00,repeat,verify_confirm,2751,97,2848,40,2560,1.0656652911566198,UNKNOWN
repeat_n10_verify_confirm/turn_01,repeat,verify_confirm,2956,343,3299,167,2816,2.2612316668964922,UNKNOWN
repeat_n10_verify_confirm/turn_02,repeat,verify_confirm,3323,79,3402,6,3072,0.607021874981001,UNKNOWN
repeat_n10_verify_confirm/turn_03,repeat,verify_confirm,3510,134,3644,0,3328,1.2333525829017162,UNKNOWN
repeat_n10_inherited/turn_00,repeat,inherited,2660,128,2788,70,2432,0.8427948749158531,UNKNOWN
repeat_n10_inherited/turn_01,repeat,inherited,2896,232,3128,58,2688,1.130520666949451,UNKNOWN
repeat_n10_inherited/turn_02,repeat,inherited,3152,76,3228,6,2944,0.9251887500286102,UNKNOWN
repeat_n10_inherited/turn_03,repeat,inherited,3336,103,3439,0,3200,0.9076737919822335,UNKNOWN
repeat_n02_inherited/turn_00,repeat,inherited,2639,151,2790,76,2432,1.30666995793581,UNKNOWN
repeat_n02_inherited/turn_01,repeat,inherited,2891,132,3023,37,2688,1.234172583092004,UNKNOWN
repeat_n02_inherited/turn_02,repeat,inherited,3071,124,3195,22,2816,1.3717132499441504,UNKNOWN
repeat_n02_verify_confirm/turn_00,repeat,verify_confirm,2730,115,2845,56,2560,1.3620662079192698,UNKNOWN
repeat_n02_verify_confirm/turn_01,repeat,verify_confirm,2946,95,3041,20,2688,1.1569777079857886,UNKNOWN
repeat_n02_verify_confirm/turn_02,repeat,verify_confirm,3087,72,3159,11,2944,0.9041289589367807,UNKNOWN
repeat_n02_verify_confirm/turn_03,repeat,verify_confirm,3322,116,3438,0,3072,1.4146546660922468,UNKNOWN
